code,raw_signal_date,outcome,end_date,peak,drawdown,peak_date,pullback_date,rejection_reasons
1210,2021-12-28,cancel_structure,2022-01-03,53.6,-0.013059701492537323,,,
1215,2023-08-16,expired_20d,2023-09-13,100.5,,,,
1218,2021-03-24,expired_20d,2021-04-23,33.8,,,,
1231,2024-12-30,expired_20d,2025-02-07,157.5,,,,
1309,2020-12-22,cancel_structure,2021-01-08,38.95,-0.12066752246469836,,,
1309,2021-04-12,reanalysis_rejected,2021-04-28,52.4,-0.10019083969465647,2021-04-19,2021-04-23,institutional_3d_nonnegative
1309,2021-04-12,cancel_structure,2021-05-04,52.4,-0.1507633587786259,,,
1314,2024-07-04,cancel_structure,2024-07-22,11.0,-0.06818181818181823,,,
1316,2025-09-04,expired_20d,2025-10-03,15.25,,,,
1319,2021-07-16,cancel_structure,2021-08-10,38.5,-0.09350649350649354,,,
1319,2022-11-29,cancel_structure,2022-11-30,48.45,-0.02063983488132093,,,
1319,2024-02-27,expired_20d,2024-03-27,126.5,,,,
1324,2023-10-05,expired_20d,2023-11-06,20.15,,,,
1339,2023-12-01,reanalysis_rejected,2023-12-27,72.8,-0.10439560439560436,2023-12-01,2023-12-22,three_days_within_12pct|three_days_above_ma60|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|institutional_3d_nonnegative|foreign_or_trust_3_of_5
1339,2023-12-01,cancel_structure,2023-12-25,72.8,-0.12637362637362637,,,
1402,2025-05-05,cancel_structure,2025-05-15,35.3,-0.08498583569405105,,,
1417,2021-05-11,cancel_structure,2021-05-13,17.15,-0.15160349854227395,,,
1419,2025-11-24,expired_20d,2025-12-22,74.0,,,,
1442,2023-11-28,expired_20d,2023-12-26,39.7,,,,
1442,2024-07-10,cancel_structure,2024-08-05,69.5,-0.13669064748201443,,,
1444,2021-06-30,cancel_structure,2021-07-07,13.65,-0.04395604395604391,,,
1444,2022-09-12,cancel_structure,2022-09-26,12.05,-0.09958506224066399,,,
1453,2022-05-18,cancel_structure,2022-06-13,36.1,-0.1897506925207757,,,
1453,2022-05-19,cancel_structure,2022-06-13,36.1,-0.1897506925207757,,,
1453,2022-08-11,cancel_structure,2022-08-12,24.4,-0.05122950819672134,,,
1473,2024-05-30,reanalysis_rejected,2024-06-17,55.0,-0.11272727272727279,2024-06-07,2024-06-12,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|three_day_volume_contracted|revenue_yoy_positive|revenue_acceleration_positive
1473,2024-05-30,cancel_structure,2024-06-17,55.0,-0.13090909090909097,,,
1476,2021-02-23,expired_20d,2021-03-24,494.5,,,,
1476,2021-04-08,expired_20d,2021-05-07,570.0,,,,
1476,2024-09-20,expired_20d,2024-10-23,569.0,,,,
1477,2021-03-24,expired_20d,2021-04-23,254.0,,,,
1477,2021-09-14,cancel_structure,2021-10-04,259.5,-0.08670520231213874,,,
1477,2022-11-04,expired_20d,2022-12-02,236.5,,,,
1477,2023-08-23,expired_20d,2023-09-20,345.5,,,,
1477,2023-11-02,reanalysis_passed,2023-11-27,399.5,-0.10262828535669588,2023-11-09,2023-11-22,
1504,2025-09-09,reanalysis_rejected,2025-09-23,93.1,-0.10741138560687435,2025-09-11,2025-09-18,three_days_within_12pct|no_new_close_low_beyond_1pct|three_day_volume_contracted|revenue_acceleration_positive|institutional_3d_nonnegative
1504,2025-09-09,cancel_structure,2025-09-19,93.1,-0.13211600429645542,,,
1513,2020-05-28,expired_20d,2020-06-29,29.2,,,,
1513,2021-03-03,cancel_structure,2021-03-05,53.9,-0.04638218923933213,,,
1513,2022-08-10,expired_20d,2022-09-07,66.3,,,,
1513,2023-01-31,expired_20d,2023-03-02,96.5,,,,
1513,2023-11-23,reanalysis_rejected,2023-12-26,129.5,-0.11196911196911197,2023-12-05,2023-12-21,institutional_3d_nonnegative|foreign_or_trust_3_of_5
1513,2023-11-23,expired_20d,2023-12-21,129.5,,,,
1513,2024-07-04,reanalysis_rejected,2024-07-29,235.5,-0.11040339702760082,2024-07-15,2024-07-22,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|market_breadth_present
1513,2024-07-04,cancel_structure,2024-07-29,235.5,-0.17622080679405516,,,
1513,2024-11-07,cancel_structure,2024-11-08,169.5,-0.014749262536873142,,,
1514,2020-06-05,expired_20d,2020-07-07,24.0,,,,
1514,2023-11-24,reanalysis_rejected,2023-12-27,89.0,-0.10224719101123592,2023-12-14,2023-12-22,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|institutional_3d_nonnegative|foreign_or_trust_3_of_5
1514,2023-11-24,expired_20d,2023-12-22,89.0,,,,
1515,2021-03-11,expired_20d,2021-04-12,106.5,,,,
1515,2021-04-01,cancel_structure,2021-04-13,106.5,-0.136150234741784,,,
1515,2021-06-25,cancel_structure,2021-06-28,82.2,-0.020681265206812682,,,
1519,2020-10-12,expired_20d,2020-11-09,53.0,,,,
1522,2024-03-28,cancel_structure,2024-04-16,59.5,-0.1310924369747899,,,
1524,2022-07-29,reanalysis_rejected,2022-08-09,26.85,-0.10055865921787721,2022-08-02,2022-08-04,revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5
1524,2022-07-29,expired_20d,2022-08-26,29.25,,,,
1524,2023-02-01,cancel_structure,2023-02-24,26.3,-0.06083650190114076,,,
1525,2023-06-19,reanalysis_rejected,2023-07-13,123.5,-0.11336032388663964,2023-06-19,2023-07-10,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive
1525,2023-06-19,reanalysis_rejected,2023-07-14,123.5,-0.10526315789473684,2023-06-19,2023-07-11,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5
1525,2023-06-19,cancel_structure,2023-07-12,123.5,-0.13765182186234814,,,
1526,2021-06-24,reanalysis_rejected,2021-07-23,61.5,-0.11544715447154474,2021-07-08,2021-07-20,three_days_within_12pct|no_new_close_low_beyond_1pct
1526,2021-06-24,cancel_structure,2021-07-21,61.5,-0.1398373983739838,,,
1528,2023-06-05,cancel_structure,2023-06-27,17.7,-0.12146892655367225,,,
1529,2023-03-20,reanalysis_rejected,2023-04-06,30.55,-0.1063829787234043,2023-03-23,2023-03-29,institutional_3d_nonnegative|foreign_or_trust_3_of_5
1529,2023-03-20,expired_20d,2023-04-20,42.25,,,,
1536,2020-04-30,cancel_structure,2020-05-04,95.4,-0.03144654088050314,,,
1536,2021-06-10,cancel_structure,2021-06-11,99.1,-0.00908173562058523,,,
1536,2022-08-26,expired_20d,2022-09-26,95.0,,,,
1560,2021-01-11,cancel_structure,2021-01-29,72.4,-0.11325966850828728,,,
1560,2021-12-13,reanalysis_rejected,2021-12-22,99.1,-0.10191725529767903,2021-12-13,2021-12-17,revenue_acceleration_positive|foreign_or_trust_3_of_5
1560,2021-12-13,reanalysis_rejected,2021-12-23,99.1,-0.1009081735620585,2021-12-13,2021-12-20,revenue_acceleration_positive
1560,2021-12-13,reanalysis_rejected,2022-01-12,121.0,-0.10330578512396693,2021-12-30,2022-01-07,foreign_or_trust_3_of_5
1560,2021-12-13,expired_20d,2022-01-11,121.0,,,,
1568,2021-04-01,reanalysis_passed,2021-04-19,36.0,-0.1152777777777777,2021-04-08,2021-04-14,
1582,2024-03-04,expired_20d,2024-04-01,93.4,,,,
1598,2021-03-29,reanalysis_rejected,2021-04-08,127.5,-0.10196078431372546,2021-03-30,2021-04-01,third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5|rising_ma60
1598,2021-03-29,reanalysis_rejected,2021-04-09,127.5,-0.10196078431372546,2021-03-30,2021-04-06,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5|rising_ma60
1598,2021-03-29,reanalysis_rejected,2021-04-12,127.5,-0.10588235294117643,2021-03-30,2021-04-07,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5|rising_ma60
1598,2021-03-29,reanalysis_rejected,2021-04-13,127.5,-0.1098039215686275,2021-03-30,2021-04-08,three_days_within_12pct|three_days_above_ma60|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5|rising_ma60
1598,2021-03-29,cancel_structure,2021-04-09,127.5,-0.12549019607843137,,,
1605,2022-04-12,reanalysis_rejected,2022-05-09,46.75,-0.10481283422459886,2022-04-28,2022-05-04,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|institutional_3d_nonnegative|market_breadth_present
1605,2022-04-12,reanalysis_rejected,2022-05-10,46.75,-0.1037433155080214,2022-04-28,2022-05-05,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|market_breadth_present
1605,2022-04-12,reanalysis_rejected,2022-05-11,46.75,-0.10802139037433145,2022-04-28,2022-05-06,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|market_breadth_present
1605,2022-04-12,cancel_structure,2022-05-09,46.75,-0.17005347593582898,,,
1608,2020-11-25,expired_20d,2020-12-23,14.55,,,,
1609,2023-05-04,expired_20d,2023-06-02,32.0,,,,
1609,2024-01-15,expired_20d,2024-02-21,36.9,,,,
1612,2020-12-21,reanalysis_rejected,2021-01-07,19.85,-0.11335012594458438,2020-12-21,2021-01-04,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive
1612,2020-12-21,reanalysis_rejected,2021-01-08,19.85,-0.10327455919395467,2020-12-21,2021-01-05,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive
1612,2020-12-21,cancel_structure,2021-01-06,19.85,-0.14609571788413112,,,
1612,2021-02-17,expired_20d,2021-03-18,21.85,,,,
1615,2024-05-08,expired_20d,2024-06-05,71.9,,,,
1616,2025-03-21,cancel_structure,2025-04-07,24.55,-0.12016293279022405,,,
1618,2021-03-19,expired_20d,2021-04-20,19.25,,,,
1618,2025-02-20,reanalysis_rejected,2025-03-12,52.6,-0.11406844106463876,2025-02-20,2025-03-07,revenue_yoy_positive|revenue_acceleration_positive
