execute_date,decision_date,side,code,layer,cash_pool,shares,raw_price,fill_price,commission,tax,reason,expected_rr
2021-07-26,2021-07-23,BUY,6582,large,shared_1m_account,700,269.0,263.4875,262.82878125,0.0,signal,1.6666666666666654
2021-08-17,2021-08-16,SELL,6582,large,shared_1m_account,700,217.5,213.15,212.61712500000002,447.615,large_hard_stop_minus_15pct,
2021-09-06,2021-09-03,BUY,4564,large,shared_1m_account,4200,46.7,45.75325,273.83320125,0.0,signal,1.6666666666666663
2022-01-18,2022-01-17,SELL,4564,large,shared_1m_account,4200,39.45,38.661,231.38608500000004,487.12860000000006,over_90d_continuation_failed,
2022-02-21,2022-02-18,BUY,1721,large,shared_1m_account,8000,23.55,23.19675,264.44295,0.0,signal,1.6666666666666663
2022-03-09,2022-03-08,SELL,1721,large,shared_1m_account,8000,19.85,19.453,221.76420000000002,466.872,large_hard_stop_minus_15pct,
2022-03-23,2022-03-22,BUY,2374,large,shared_1m_account,2500,27.3,26.84125,95.621953125,0.0,signal,1.6666666666666663
2022-05-10,2022-05-09,SELL,2374,large,shared_1m_account,2500,22.0,21.56,76.8075,161.70000000000002,large_hard_stop_minus_15pct,
2023-02-09,2023-02-08,BUY,1736,large,shared_1m_account,2400,72.4,72.102,246.58884000000003,0.0,signal,1.666666666666666
2023-05-12,2023-05-11,SELL,1736,large,shared_1m_account,2400,59.8,58.604,200.42568000000003,421.9488,portfolio_dd14_large_structure_broken,
