,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2021-01-04,1000000.0,1000000.0,1000000.0,1000000.0,1016004.5065
2021-01-05,1002201.0800000001,1000559.413,1001325.24775,1001266.47375,1018029.5065
2021-01-06,992792.9097500001,997407.01175,990269.94325,990562.88225,1028964.5065
2021-01-07,989783.3780000001,992943.5767499999,994559.94325,991266.1704999999,1052859.5065000001
2021-01-08,1000616.5198750001,994989.6807499998,995339.94325,981661.1704999999,1071489.5065000001
2021-01-11,1001660.6050000002,989216.2334999997,1010114.94325,984189.055625,1080399.5065000001
2021-01-12,991746.9936250001,987413.2264999996,1001082.4682499999,977899.0336250002,1078779.5065000001
2021-01-13,981206.8293750001,984471.3341999997,1010677.4682499999,979694.0995000001,1104699.5065000001
2021-01-14,990270.5693750001,981369.8351999997,1023612.4682499999,991114.0995000001,1094574.5065000001
2021-01-15,978009.7008750001,975776.5721999997,1008362.4682499999,971501.0407500002,1098219.5065000001
2021-01-18,977933.4141250001,970385.6043249997,992362.4682499999,960852.8958750002,1097409.5065000001
2021-01-19,975985.8741250001,962385.2243249997,990551.5717499999,953211.2688750001,1126164.5065000001
2021-01-20,966541.917875,951830.0825749998,978266.71925,942835.8633750001,1128189.5065000001
2021-01-21,964754.5608750001,942491.2315749996,1014941.71925,959599.301375,1167069.5065000001
2021-01-22,957796.9983750001,942491.2315749996,1010496.71925,951091.2763750001,1122114.5065000001
2021-01-25,957796.9983750001,945576.6058249995,1014956.71925,952752.4313750002,1107129.5065000001
2021-01-26,950533.293625,938873.2224499995,1016891.71925,948609.3148750002,1084854.5065000001
2021-01-27,947929.653375,930983.5763249996,1016221.71925,941429.4133750002,1086474.5065000001
2021-01-28,947929.653375,925824.0983249994,1010991.71925,931834.2671250002,1064604.5065000001
2021-01-29,947929.653375,918621.7353249996,1015576.82425,928396.1983750002,1047189.5064999999
2021-02-01,947929.653375,921151.6513249995,1010850.5404999999,928775.0248750002,1067844.5065000001
2021-02-02,947929.653375,919900.9348249994,985558.1357499999,909569.4501250002,1097814.5065000001
2021-02-03,947929.653375,921250.9348249994,966548.1357499999,898369.4501250002,1097004.5065000001
2021-02-04,947929.653375,920317.6638249995,950590.4948749999,888357.2992500003,1090524.5065000001
2021-02-05,947929.653375,914940.7456999995,951520.4948749999,887005.2427500002,1100649.5065000001
2021-02-17,947929.653375,915210.7456999995,950125.4948749999,882219.2865000002,1147224.5065000001
2021-02-18,952418.720375,914940.7456999995,957285.0028749999,889477.5020000002,1145604.5065000001
2021-02-19,964062.6731250001,914130.7456999995,974131.9138749999,912084.4765000003,1133454.5065000001
2021-02-22,968127.5836250001,914400.7456999995,993776.9138749999,930705.3205000003,1133049.5065000001
2021-02-23,969683.495375,915750.7456999995,1007245.3493749999,936423.4045000002,1130619.5065000001
2021-02-24,951019.5071250001,916020.7456999995,996210.3493749999,922768.3742500002,1114014.5065000001
2021-02-25,947461.00125,918180.7456999995,1026660.3493749999,945369.9946250003,1122924.5065000001
