execute_date,decision_date,side,code,layer,cash_pool,shares,raw_price,fill_price,commission,tax,reason
2021-01-05,2021-01-04,BUY,1440,swing,shared_1m_account,7200,14.95,14.651,150.31926,0.0,signal
2021-01-05,2021-01-04,BUY,2485,large,shared_1m_account,5200,20.4,20.188000000000002,149.59308000000001,0.0,signal
2021-01-05,2021-01-04,BUY,8021,large,shared_1m_account,3700,28.9,28.714,151.394565,0.0,signal
2021-01-06,2021-01-05,SELL,1440,swing,shared_1m_account,7200,14.75,14.455,148.3083,312.228,ma20_break
2021-01-06,2021-01-05,BUY,6257,short,shared_1m_account,2800,48.65,47.285,188.66715000000002,0.0,signal
2021-01-06,2021-01-05,BUY,2049,large,shared_1m_account,300,410.0,404.74,173.02635,0.0,signal
2021-01-06,2021-01-05,BUY,2338,swing,shared_1m_account,3200,41.55,40.718999999999994,185.67864,0.0,signal
2021-01-07,2021-01-06,SELL,6257,short,shared_1m_account,2800,47.0,46.06,183.7794,386.904,box_failure
2021-01-07,2021-01-06,SELL,2338,swing,shared_1m_account,3200,41.0,40.18,183.2208,385.728,ma20_break
2021-01-07,2021-01-06,BUY,6141,short,shared_1m_account,6100,33.1,32.291000000000004,280.6895175000001,0.0,signal
2021-01-11,2021-01-08,SELL,6141,short,shared_1m_account,6100,31.35,30.723000000000003,267.0596775,562.2309,box_failure
2021-01-11,2021-01-08,BUY,2368,swing,shared_1m_account,2000,52.0,51.744,147.4704,0.0,signal
2021-01-12,2021-01-11,SELL,2368,swing,shared_1m_account,2000,51.1,50.078,142.72230000000002,300.468,ma20_break
2021-01-12,2021-01-11,BUY,2006,swing,shared_1m_account,3600,37.4,36.26,186.0138,0.0,signal
2021-01-12,2021-01-11,BUY,1560,large,shared_1m_account,1900,70.0,68.306,184.938495,0.0,signal
2021-01-13,2021-01-12,SELL,2006,swing,shared_1m_account,3600,36.1,35.378,181.48914000000002,382.0824,ma20_break
2021-01-13,2021-01-12,BUY,1524,short,shared_1m_account,9700,12.05,12.103,167.29371749999999,0.0,signal
2021-01-15,2021-01-14,BUY,6414,short,shared_1m_account,300,278.5,268.03,114.58282499999999,0.0,signal
2021-01-18,2021-01-15,SELL,1524,short,shared_1m_account,9700,11.55,11.319,156.45687750000002,329.3829,ma3_break
2021-01-18,2021-01-15,BUY,1326,swing,shared_1m_account,2000,83.4,82.22200000000001,234.33270000000005,0.0,signal
2021-01-19,2021-01-18,SELL,2485,large,shared_1m_account,5200,18.2,17.836,132.16476,278.2416,trail_10pct
2021-01-19,2021-01-18,SELL,6414,short,shared_1m_account,300,268.0,262.64,112.2786,236.376,ma3_break
2021-01-19,2021-01-18,SELL,1326,swing,shared_1m_account,2000,81.5,79.87,227.6295,479.22,ma20_break
2021-01-20,2021-01-19,BUY,2395,short,shared_1m_account,200,384.5,385.14,109.7649,0.0,signal
2021-01-20,2021-01-19,BUY,8033,large,shared_1m_account,5300,17.0,16.561999999999998,125.084505,0.0,signal
