execute_date,decision_date,side,code,layer,cash_pool,shares,raw_price,fill_price,commission,tax,reason
2021-01-05,2021-01-04,BUY,2485,large,shared_1m_account,9900,20.4,20.188000000000002,284.80221,0.0,signal
2021-01-05,2021-01-04,BUY,8021,large,shared_1m_account,6900,28.9,28.714,282.330405,0.0,signal
2021-01-06,2021-01-05,BUY,2049,large,shared_1m_account,400,410.0,404.74,230.70180000000002,0.0,signal
2021-01-06,2021-01-05,BUY,2324,large,shared_1m_account,9300,21.8,21.119,279.8795475,0.0,signal
2021-01-12,2021-01-11,BUY,1560,large,shared_1m_account,1300,70.0,68.306,126.536865,0.0,signal
2021-01-19,2021-01-18,SELL,2485,large,shared_1m_account,9900,18.2,17.836,251.62137,529.7292,trail_10pct
2021-01-20,2021-01-19,BUY,8033,large,shared_1m_account,10900,17.0,16.561999999999998,257.249265,0.0,signal
2021-01-29,2021-01-28,SELL,2049,large,shared_1m_account,400,413.5,405.23,230.9811,486.276,trail_10pct
2021-02-01,2021-01-29,SELL,1560,large,shared_1m_account,1300,63.5,62.23,115.281075,242.697,trail_10pct
2021-02-02,2021-02-01,SELL,8021,large,shared_1m_account,6900,26.3,25.774,253.42285500000003,533.5218,trail_10pct
2021-02-04,2021-02-03,SELL,8033,large,shared_1m_account,10900,16.95,16.611,258.0103575,543.1797,trail_10pct
2021-02-18,2021-02-17,BUY,2492,large,shared_1m_account,700,260.0,254.31,253.674225,0.0,signal
2021-02-18,2021-02-17,BUY,1612,large,shared_1m_account,10800,17.8,17.444,268.46315999999996,0.0,signal
2021-02-19,2021-02-18,BUY,2337,large,shared_1m_account,2600,45.8,44.88399999999999,166.29521999999997,0.0,signal
2021-02-23,2021-02-22,BUY,3703,large,shared_1m_account,5400,21.1,20.923000000000002,161.00248500000004,0.0,signal
2021-03-02,2021-02-26,SELL,2492,large,shared_1m_account,700,260.5,255.29,254.65177500000001,536.109,trail_10pct
2021-03-03,2021-03-02,BUY,3058,large,shared_1m_account,12300,14.95,14.455,253.3600125,0.0,signal
2021-03-05,2021-03-04,SELL,2337,large,shared_1m_account,2600,40.65,39.836999999999996,147.596085,310.7286,trail_10pct
2021-03-12,2021-03-11,BUY,1515,large,shared_1m_account,1100,93.3,91.53200000000001,143.47641000000002,0.0,signal
2021-03-17,2021-03-16,BUY,2489,large,shared_1m_account,200,13.9,13.818,3.93813,0.0,signal
2021-03-25,2021-03-24,SELL,2489,large,shared_1m_account,200,16.8,16.464,4.69224,9.8784,trail_10pct
2021-04-14,2021-04-13,SELL,2324,large,shared_1m_account,9300,26.8,26.264,348.06365999999997,732.7656,max_60_days
2021-04-14,2021-04-13,SELL,1515,large,shared_1m_account,1100,92.1,90.258,141.479415,297.85139999999996,trail_10pct
2021-04-19,2021-04-16,BUY,6142,large,shared_1m_account,12500,19.6,19.208000000000002,342.14250000000004,0.0,signal
2021-04-20,2021-04-19,BUY,1783,large,shared_1m_account,900,37.8,36.113,46.3149225,0.0,signal
2021-04-20,2021-04-19,BUY,2509,large,shared_1m_account,1700,21.55,20.531,49.7363475,0.0,signal
2021-04-22,2021-04-21,BUY,4956,large,shared_1m_account,100,29.3,28.224,4.021920000000001,0.0,signal
2021-04-23,2021-04-22,SELL,3058,large,shared_1m_account,12300,19.95,19.551,342.6801525,721.4318999999999,trail_10pct
2021-04-23,2021-04-22,SELL,6142,large,shared_1m_account,12500,15.55,15.239,271.4446875,571.4625,trail_10pct
2021-04-27,2021-04-26,BUY,3015,large,shared_1m_account,4000,55.7,54.684,311.6988,0.0,signal
2021-04-27,2021-04-26,BUY,3711,large,shared_1m_account,1800,117.0,115.64,296.6166,0.0,signal
2021-04-28,2021-04-27,BUY,3031,large,shared_1m_account,300,22.85,22.393,9.573007500000001,0.0,signal
2021-05-03,2021-04-29,SELL,2509,large,shared_1m_account,1700,22.1,21.658,52.466505,110.4558,trail_10pct
2021-05-04,2021-05-03,SELL,1783,large,shared_1m_account,900,32.5,31.849999999999998,40.847624999999994,85.99499999999999,trail_10pct
2021-05-04,2021-05-03,SELL,3031,large,shared_1m_account,300,19.9,19.502,8.337105,17.5518,trail_10pct
2021-05-05,2021-05-04,SELL,1612,large,shared_1m_account,10800,29.5,28.91,444.92490000000004,936.684,trail_10pct
2021-05-05,2021-05-04,SELL,4956,large,shared_1m_account,100,23.4,22.932,3.26781,6.8796,trail_10pct
2021-05-06,2021-05-05,SELL,3711,large,shared_1m_account,1800,107.0,104.86,268.96590000000003,566.244,trail_10pct
2021-05-12,2021-05-11,SELL,3015,large,shared_1m_account,4000,45.7,44.786,255.2802,537.432,trail_10pct
2021-05-14,2021-05-13,SELL,3703,large,shared_1m_account,5400,26.0,25.48,196.0686,412.776,trail_10pct
