execute_date,decision_date,side,code,layer,shares,raw_price,fill_price,commission,tax,reason
2021-01-05,2021-01-04,BUY,2454,short,100,796.0,776.16,113.43,0.0,signal
2021-01-05,2021-01-04,BUY,2485,short,7000,20.4,20.188000000000002,203.49,0.0,signal
2021-01-06,2021-01-05,BUY,6257,short,4200,48.65,47.285,291.17025,0.0,signal
2021-01-07,2021-01-06,SELL,2454,short,100,794.0,778.12,113.14500000000001,238.20000000000002,ma3_break
2021-01-07,2021-01-06,SELL,2485,short,7000,19.6,19.208000000000002,195.51000000000002,411.6,box_failure
2021-01-07,2021-01-06,SELL,6257,short,4200,47.0,46.06,281.295,592.2,box_failure
2021-01-07,2021-01-06,BUY,6141,short,6100,33.1,32.291000000000004,287.72175,0.0,signal
2021-01-07,2021-01-06,BUY,3023,short,800,234.0,227.35999999999999,266.76,0.0,signal
2021-01-08,2021-01-07,BUY,1305,short,5600,28.3,27.244,225.834,0.0,signal
2021-01-08,2021-01-07,BUY,1522,short,6100,25.45,24.794,221.22412500000002,0.0,signal
2021-01-11,2021-01-08,SELL,6141,short,6100,31.35,30.723000000000003,272.509875,573.705,box_failure
2021-01-12,2021-01-11,SELL,1305,short,5600,27.5,26.95,219.45000000000002,462.0,ma3_break
2021-01-12,2021-01-11,SELL,1522,short,6100,25.15,24.647,218.616375,460.245,ma3_break
2021-01-13,2021-01-12,SELL,3023,short,800,253.5,248.43,288.99,608.4,ma3_break
2021-01-13,2021-01-12,BUY,1524,short,16200,12.05,12.103,278.17425000000003,0.0,signal
2021-01-14,2021-01-13,BUY,2454,short,100,872.0,866.3199999999999,124.26,0.0,signal
2021-01-15,2021-01-14,BUY,6414,short,600,278.5,268.03,238.1175,0.0,signal
2021-01-15,2021-01-14,BUY,4915,short,3600,52.7,51.254,270.351,0.0,signal
2021-01-18,2021-01-15,SELL,1524,short,16200,11.55,11.319,266.63175,561.33,ma3_break
2021-01-18,2021-01-15,SELL,2454,short,100,850.0,833.0,121.125,255.0,box_failure
