execute_date,decision_date,side,code,layer,cash_pool,shares,raw_price,fill_price,commission,tax,reason
2021-01-05,2021-01-04,BUY,1440,swing,shared_1m_account,7200,14.95,14.651,150.31926,0.0,signal
2021-01-06,2021-01-05,SELL,1440,swing,shared_1m_account,7200,14.75,14.455,148.3083,312.228,ma20_break
2021-01-06,2021-01-05,BUY,2338,swing,shared_1m_account,3000,41.55,40.718999999999994,174.073725,0.0,signal
2021-01-06,2021-01-05,BUY,9904,swing,shared_1m_account,4000,31.2,30.674,174.8418,0.0,signal
2021-01-07,2021-01-06,SELL,2338,swing,shared_1m_account,3000,41.0,40.18,171.7695,361.62,ma20_break
2021-01-07,2021-01-06,SELL,9904,swing,shared_1m_account,4000,30.8,30.184,172.0488,362.208,ma20_break
2021-01-08,2021-01-07,BUY,2405,swing,shared_1m_account,8900,12.3,11.809000000000001,149.76764250000002,0.0,signal
2021-01-08,2021-01-07,BUY,1714,swing,shared_1m_account,10500,10.3,9.995999999999999,149.56515,0.0,signal
2021-01-08,2021-01-07,BUY,2338,swing,shared_1m_account,2500,43.0,41.306999999999995,147.1561875,0.0,signal
2021-01-11,2021-01-08,SELL,2405,swing,shared_1m_account,8900,12.05,11.809000000000001,149.76764250000002,315.30030000000005,ma20_break
2021-01-11,2021-01-08,SELL,1714,swing,shared_1m_account,10500,10.05,9.849,147.3656625,310.2435,ma20_break
2021-01-11,2021-01-08,BUY,2368,swing,shared_1m_account,3400,52.0,51.744,250.69968000000003,0.0,signal
2021-01-12,2021-01-11,SELL,2338,swing,shared_1m_account,2500,42.0,41.16,146.6325,308.7,ma20_break
2021-01-12,2021-01-11,SELL,2368,swing,shared_1m_account,3400,51.1,50.078,242.62791,510.79560000000004,ma20_break
2021-01-12,2021-01-11,BUY,2006,swing,shared_1m_account,3800,37.4,36.26,196.3479,0.0,signal
2021-01-12,2021-01-11,BUY,2331,swing,shared_1m_account,5900,24.35,23.471,197.3324325,0.0,signal
2021-01-12,2021-01-11,BUY,1718,swing,shared_1m_account,14100,10.15,9.947000000000001,199.86009750000002,0.0,signal
2021-01-13,2021-01-12,SELL,2006,swing,shared_1m_account,3800,36.1,35.378,191.57187,403.3092,ma20_break
2021-01-13,2021-01-12,SELL,1718,swing,shared_1m_account,14100,9.76,9.5648,192.180744,404.59103999999996,ma20_break
2021-01-14,2021-01-13,BUY,1304,swing,shared_1m_account,4600,21.8,21.266,139.39863,0.0,signal
