,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2021-01-04,1000000.0,1000000.0,1000000.0,1000000.0,1016004.5065
2021-01-05,1002206.0218999999,1000562.48074,999303.61531875,1000193.070065,1018029.5065
2021-01-06,992806.0211749999,997426.0289149999,985801.754655673,988909.9788375,1028964.5065
2021-01-07,992971.7553574999,992984.3826149999,990106.754655673,991362.672805,1052859.5065000001
2021-01-08,999125.0701824999,994387.1612774999,990866.754655673,982964.989405,1071489.5065000001
2021-01-11,1000376.079605,990426.4876349999,1005591.754655673,986176.9227525,1080399.5065000001
2021-01-12,995158.8591925,995288.6105374999,996198.7221944231,978808.4159000001,1078779.5065000001
2021-01-13,989823.4169925,994198.7104074999,1005763.7221944231,983561.3538900001,1104699.5065000001
2021-01-14,988512.5157925,991273.7104074999,1018603.7221944231,989041.3538900001,1094574.5065000001
2021-01-15,988001.4154575,988392.4128824999,1003418.7221944231,977347.7710650002,1098219.5065000001
2021-01-18,991754.2104575001,980927.856683,987533.7221944231,973338.7030775001,1097409.5065000001
2021-01-19,989378.6830575,981467.856683,989128.7221944231,965400.2812525001,1126164.5065000001
2021-01-20,979734.2708075,970165.1383905,966989.677941923,945793.3215350001,1128189.5065000001
2021-01-21,977977.1901775,961703.7598955,985699.677941923,959293.3215350001,1167069.5065000001
2021-01-22,971035.7789275,961703.7598955,978439.677941923,952986.757035,1122114.5065000001
2021-01-25,971035.7789275,962607.8305955001,979544.677941923,953155.48851,1107129.5065000001
2021-01-26,963777.1870775,957698.1463555001,977869.677941923,948683.9880600001,1084854.5065000001
2021-01-27,963777.1870775,951780.4746705,978139.677941923,943975.60591,1086474.5065000001
2021-01-28,955130.7772975,952062.3704905001,965654.677941923,929460.3664500001,1064604.5065000001
2021-01-29,955130.7772975,944812.7592505001,947464.677941923,928277.01555,1047189.5064999999
2021-02-01,955130.7772975,936834.3829505001,939214.677941923,923104.96285,1067844.5065000001
2021-02-02,955130.7772975,938045.4361505001,949519.677941923,919084.96285,1097814.5065000001
2021-02-03,955130.7772975,938745.4361505001,954139.677941923,908264.96285,1097004.5065000001
2021-02-04,955130.7772975,936942.9046655002,948182.177206923,887104.3742,1090524.5065000001
2021-02-05,955130.7772975,930262.4830005001,949137.177206923,887254.3742,1100649.5065000001
2021-02-17,955130.7772975,930402.4830005001,976877.177206923,896254.3742,1147224.5065000001
2021-02-18,959633.0503425001,930262.4830005001,979931.378754423,893854.3742,1145604.5065000001
2021-02-19,966729.2468325001,929842.4830005001,980926.378754423,888754.3742,1133454.5065000001
2021-02-22,972500.8431225001,929982.4830005001,987216.378754423,891454.3742,1133049.5065000001
2021-02-23,976819.4475525001,930682.4830005001,987745.4070150481,889804.3742,1130619.5065000001
2021-02-24,958111.5098125001,930822.4830005001,980465.4070150481,886504.3742,1114014.5065000001
2021-02-25,955297.9082475001,931942.4830005001,996500.4070150481,891154.3742,1122924.5065000001
2021-02-26,944858.0829325002,928162.4830005001,991405.4070150481,886064.8114875,1089309.5065000001
2021-03-02,937144.2953325002,928473.9778680002,1006525.4070150481,880716.45945,1089714.5065000001
2021-03-03,928506.4569000002,933245.1916830002,1022610.4070150481,878497.6972699998,1105509.5065000001
2021-03-04,926580.6729000002,930356.8292830002,1015440.4070150481,873552.8619424998,1084044.5065000001
2021-03-05,943380.6729000002,918969.1786830002,1015490.4070150481,885459.0826724998,1077564.5065000001
2021-03-08,943380.6729000002,919095.5296630001,1019250.4070150481,897059.0826724998,1076754.5065000001
2021-03-09,943559.5212125003,919523.5765630002,1017735.4070150481,894267.1557974997,1072704.5065000001
2021-03-10,940143.9938125003,918287.7832730002,1021425.4070150481,888284.3920974997,1077159.5065000001
2021-03-11,936248.7643750003,918827.7832730002,1026625.4070150481,897734.3920974997,1099839.5065000001
2021-03-12,936923.8981750002,919232.7832730002,1023655.4070150481,890984.3920974997,1104294.5065000001
2021-03-15,934989.7302250002,919405.3551230001,1024210.4070150481,891284.3920974997,1101459.5065000001
2021-03-16,932633.2165750001,917100.7786730002,1042435.4070150481,891584.3920974997,1105104.5065000001
2021-03-17,945233.2165750001,919093.3455730001,1032040.4070150481,896684.3920974997,1095789.5065000001
2021-03-18,956933.2165750001,918935.1837730001,1040220.4070150481,899684.3920974997,1101459.5065000001
2021-03-19,956033.2165750001,916775.1837730001,1034365.4070150481,900584.3920974997,1084449.5065000001
2021-03-22,935333.2165750001,917720.1837730001,1038505.4070150481,902234.3920974997,1089309.5065000001
2021-03-23,924999.9384750002,918260.1837730001,1036160.4070150481,897466.0346474997,1090929.5065000001
2021-03-24,934361.4564250002,916721.1247230001,1037560.4070150481,889614.2750220248,1073919.5065000001
2021-03-25,944630.8751400001,911637.7038130001,1025585.4070150481,884993.6830170248,1077564.5065000001
2021-03-26,944630.8751400001,911413.6059430001,1029125.4070150481,896464.1449370248,1097004.5065000001
2021-03-29,954760.6739400001,919558.6059430001,1050620.407015048,904731.7242120248,1105914.5065000001
2021-03-30,953411.9714400001,919648.6059430001,1064260.407015048,901016.0947145248,1109559.5065000001
2021-03-31,942426.4519525,921178.6059430001,1069415.407015048,899306.0947145248,1100244.5065000001
2021-04-01,938437.2693275001,917713.6059430001,1084545.407015048,898166.0947145248,1108344.5065000001
2021-04-06,938906.9941275001,917308.6059430001,1110550.407015048,898016.0947145248,1123734.5065000001
2021-04-07,940196.1974625001,919468.6059430001,1123405.407015048,901676.0947145248,1124949.5065000001
2021-04-08,952981.03844,917623.6059430001,1133700.407015048,901076.0947145248,1128594.5065000001
2021-04-09,956842.2635075,919161.1064830001,1157110.407015048,900506.0947145248,1126164.5065000001
2021-04-12,930197.9093525001,914303.9377130001,1155185.407015048,898056.8213645248,1119684.5065000001
2021-04-13,921617.0450275001,911202.2787605,1131835.407015048,896556.8213645248,1119684.5065000001
2021-04-14,930012.2245775001,912484.7603705,1135020.407015048,898514.3785695247,1125759.5065000001
2021-04-15,926004.0085100001,921556.8683705,1148515.407015048,905357.9940620248,1135074.5065000001
2021-04-16,928093.3258850002,926106.8683705,1156860.407015048,910087.9940620248,1136694.5065000001
2021-04-19,929488.1539850001,930576.8683705,1165485.407015048,902320.5730820247,1138719.5065000001
2021-04-20,931637.6602775002,939066.8683705,1186370.407015048,909102.8312032747,1136694.5065000001
