decision_date,code,layer,reason,limit,stop,reward,expected_rr
2021-01-04,2317,short,expected_rr_below_1p5,97.902,91.14,105.73416,1.1582608695652177
2021-01-06,2886,swing,expected_rr_below_1p5,28.860999999999997,28.86835,33.190149999999996,-inf
2021-01-07,2458,short,expected_rr_below_1p5,156.8,146.51,169.34400000000002,1.2190476190476176
2021-01-07,2412,swing,expected_rr_below_1p5,106.82,106.869,122.84299999999999,-inf
2021-01-12,1524,short,expected_rr_below_1p5,12.103,11.025,13.071240000000001,0.8981818181818201
2021-01-12,1736,swing,expected_rr_below_1p5,91.82600000000001,92.17879999999998,105.5999,-inf
2021-01-13,1304,swing,expected_rr_below_1p5,21.266,21.32235,24.455899999999996,-inf
2021-01-14,1216,swing,expected_rr_below_1p5,65.464,65.5032,75.28359999999999,-inf
2021-01-15,1301,swing,expected_rr_below_1p5,92.61,93.0069,106.5015,-inf
2021-01-20,2455,swing,expected_rr_below_1p5,111.23,111.426,127.91449999999999,-inf
2021-01-28,2376,swing,expected_rr_below_1p5,77.322,77.371,88.9203,-inf
2021-02-01,2317,swing,expected_rr_below_1p5,110.74,111.0585,127.35099999999998,-inf
2021-02-26,3005,short,expected_rr_below_1p5,55.762,51.156,60.22296000000001,0.9685106382978735
2021-03-03,2441,swing,expected_rr_below_1p5,68.50200000000001,68.5706,78.77730000000001,-inf
2021-03-19,2402,short,expected_rr_below_1p5,20.726999999999997,19.453,22.38516,1.301538461538466
2021-03-19,2408,swing,expected_rr_below_1p5,90.64999999999999,91.3066,104.24749999999999,-inf
2021-03-23,2481,swing,expected_rr_below_1p5,51.94,52.113949999999996,59.730999999999995,-inf
2021-03-25,1440,short,expected_rr_below_1p5,17.15,16.169999999999998,18.522,1.3999999999999992
2021-03-25,2618,swing,expected_rr_below_1p5,15.043,15.131200000000002,17.299449999999997,-inf
2021-03-26,1301,swing,expected_rr_below_1p5,98.98,98.9947,113.827,-inf
2021-04-13,1711,short,expected_rr_below_1p5,19.011999999999997,17.590999999999998,20.53296,1.070344827586209
2021-04-13,2605,swing,expected_rr_below_1p5,21.217,21.351750000000003,24.399549999999998,-inf
2021-04-14,2377,swing,expected_rr_below_1p5,161.7,162.75349999999997,185.95499999999998,-inf
2021-04-14,2356,swing,expected_rr_below_1p5,26.215,26.3865,30.147249999999996,-inf
