decision_date,code,layer,reason,limit,stop,reward,expected_rr
2021-01-04,2317,short,expected_rr_below_1p5,97.902,91.14,105.73416,1.1582608695652177
2021-01-04,6168,short,expected_rr_below_1p5,19.011999999999997,17.296999999999997,20.53296,0.8868571428571442
2021-01-07,2458,short,expected_rr_below_1p5,156.8,146.51,169.34400000000002,1.2190476190476176
2021-01-07,1305,short,expected_rr_below_1p5,27.244,25.676,29.423520000000003,1.390000000000001
2021-01-12,1524,short,expected_rr_below_1p5,12.103,11.025,13.071240000000001,0.8981818181818201
2021-01-14,4938,short,expected_rr_below_1p5,76.342,70.07,82.44936,0.9737499999999991
2021-02-18,1515,short,expected_rr_below_1p5,84.37799999999999,78.204,91.12823999999999,1.0933333333333355
2021-02-19,3015,short,expected_rr_below_1p5,48.216,44.001999999999995,52.073280000000004,0.9153488372093018
2021-02-19,3019,short,expected_rr_below_1p5,92.12,83.78999999999999,99.48960000000001,0.8847058823529405
2021-02-22,2472,short,expected_rr_below_1p5,77.322,73.01,83.50776,1.4345454545454557
2021-02-26,3005,short,expected_rr_below_1p5,55.762,51.156,60.22296000000001,0.9685106382978735
2021-03-08,1308,short,expected_rr_below_1p5,24.353,22.638,26.301240000000004,1.1360000000000012
2021-03-08,6491,short,expected_rr_below_1p5,320.46,300.86,346.0968,1.308000000000002
2021-03-12,3048,short,expected_rr_below_1p5,30.331,27.587,32.75748,0.8842857142857149
2021-03-12,3040,short,expected_rr_below_1p5,49.49,46.746,53.449200000000005,1.442857142857144
2021-03-16,2489,short,expected_rr_below_1p5,13.818,12.985,14.923440000000001,1.3270588235294134
2021-03-18,3596,short,expected_rr_below_1p5,107.8,99.96,116.424,1.1000000000000008
2021-03-19,2402,short,expected_rr_below_1p5,20.726999999999997,19.453,22.38516,1.301538461538466
2021-03-25,1440,short,expected_rr_below_1p5,17.15,16.169999999999998,18.522,1.3999999999999992
2021-03-29,6116,short,expected_rr_below_1p5,14.847,13.867,16.034760000000002,1.2120000000000044
2021-03-30,9921,short,expected_rr_below_1p5,333.2,309.19,359.856,1.1102040816326537
2021-03-30,1103,short,expected_rr_below_1p5,20.09,18.914,21.697200000000002,1.3666666666666707
2021-03-31,4919,short,expected_rr_below_1p5,56.251999999999995,51.156,60.752159999999996,0.8830769230769239
2021-04-06,3669,short,expected_rr_below_1p5,92.414,85.848,99.80712000000001,1.1259701492537324
2021-04-06,6438,short,expected_rr_below_1p5,109.75999999999999,101.42999999999999,118.5408,1.0541176470588254
2021-04-13,1711,short,expected_rr_below_1p5,19.011999999999997,17.590999999999998,20.53296,1.070344827586209
2021-04-15,2498,short,expected_rr_below_1p5,35.181999999999995,33.222,37.996559999999995,1.4360000000000046
2021-04-15,9938,short,expected_rr_below_1p5,94.66799999999999,88.984,102.24144,1.3324137931034497
2021-04-16,2498,short,expected_rr_below_1p5,38.661,35.181999999999995,41.75388,0.8890140845070409
2021-04-19,1321,short,expected_rr_below_1p5,41.846000000000004,38.464999999999996,45.19368000000001,0.990144927536231
2021-04-19,1217,short,expected_rr_below_1p5,10.339,9.5452,11.166120000000001,1.041975308641975
2021-04-19,1718,short,expected_rr_below_1p5,11.27,10.633,12.1716,1.4153846153846146
2021-04-20,3532,short,expected_rr_below_1p5,164.64,153.85999999999999,177.81119999999999,1.2218181818181817
2021-04-22,5515,short,expected_rr_below_1p5,15.729000000000001,14.798,16.98732,1.351578947368419
2021-04-22,2515,short,expected_rr_below_1p5,10.878,10.045,11.748240000000001,1.0447058823529418
2021-04-22,2913,short,expected_rr_below_1p5,22.000999999999998,20.041,23.76108,0.8980000000000024
2021-04-26,2485,short,expected_rr_below_1p5,22.000999999999998,20.776,23.76108,1.4368000000000043
2021-04-26,2449,short,expected_rr_below_1p5,47.333999999999996,44.443,51.12072,1.309830508474578
2021-04-27,2485,short,expected_rr_below_1p5,24.156999999999996,22.000999999999998,26.08956,0.8963636363636379
2021-04-28,3035,short,expected_rr_below_1p5,66.444,62.523999999999994,71.75952000000001,1.3559999999999985
2021-04-28,1714,short,expected_rr_below_1p5,12.446,11.662,13.44168,1.2700000000000018
2021-07-01,1231,short,expected_rr_below_1p5,69.286,64.876,74.82888000000001,1.2568888888888923
2021-07-05,2851,short,expected_rr_below_1p5,32.928,30.037,35.56224,0.9111864406779685
2021-07-05,2597,short,expected_rr_below_1p5,169.54,157.29,183.10320000000002,1.107200000000002
2021-07-08,2915,short,expected_rr_below_1p5,97.02,89.08200000000001,104.7816,0.9777777777777794
2021-08-30,2887,short,expected_rr_below_1p5,19.208000000000002,18.081,20.744640000000004,1.3634782608695641
2021-09-14,1711,short,expected_rr_below_1p5,24.353,22.148,26.301240000000004,0.8835555555555558
2021-09-24,6409,short,expected_rr_below_1p5,1621.8999999999999,1484.7,1751.652,0.9457142857142883
2021-10-08,8033,short,expected_rr_below_1p5,16.954,15.435,18.31032,0.8929032258064517
2021-11-05,4755,short,expected_rr_below_1p5,84.672,77.02799999999999,91.44576,0.8861538461538468
2021-11-08,2618,short,expected_rr_below_1p5,23.03,21.658,24.872400000000003,1.3428571428571439
2021-11-25,2383,short,expected_rr_below_1p5,264.11,246.47,285.2388,1.1977777777777774
2021-12-20,2103,short,expected_rr_below_1p5,40.964,37.681000000000004,44.24112,0.9982089552238834
2022-03-23,4919,short,expected_rr_below_1p5,171.99,156.8,185.74920000000003,0.9058064516129047
2022-03-23,4952,short,expected_rr_below_1p5,78.4,72.814,84.67200000000001,1.122807017543858
2022-04-13,1605,short,expected_rr_below_1p5,33.614,31.261999999999997,36.30312,1.1433333333333342
2022-04-13,8478,short,expected_rr_below_1p5,168.56,158.27,182.0448,1.3104761904761921
2022-05-31,5258,short,expected_rr_below_1p5,47.726,43.413999999999994,51.54408,0.8854545454545449
2022-07-08,3504,short,expected_rr_below_1p5,84.574,76.92999999999999,91.33992,0.8851282051282056
