execute_date,decision_date,side,code,layer,cash_pool,shares,raw_price,fill_price,commission,tax,reason,expected_rr
2021-01-05,2021-01-04,BUY,1440,swing,shared_1m_account,7200,14.95,14.651,150.31926,0.0,signal,52.764705882352125
2021-01-05,2021-01-04,BUY,2485,large,shared_1m_account,5200,20.4,20.291,150.35631,0.0,signal,1.923076923076922
2021-01-05,2021-01-04,BUY,8021,large,shared_1m_account,3600,28.9,28.860500000000002,148.05436500000002,0.0,signal,1.9230769230769238
2021-01-06,2021-01-05,SELL,1440,swing,shared_1m_account,7200,14.75,14.455,148.3083,312.228,ma20_break,
2021-01-06,2021-01-05,BUY,6257,short,shared_1m_account,2800,48.65,47.285,188.66715000000002,0.0,signal,3.5090909090909244
2021-01-06,2021-01-05,BUY,2049,large,shared_1m_account,300,410.0,406.805,173.9091375,0.0,signal,1.9230769230769227
2021-01-06,2021-01-05,BUY,2338,swing,shared_1m_account,3200,41.55,40.718999999999994,185.67864,0.0,signal,60.80487804878771
2021-01-07,2021-01-06,SELL,2338,swing,shared_1m_account,3200,41.0,40.18,183.2208,385.728,ma20_break,
2021-01-07,2021-01-06,BUY,6141,short,shared_1m_account,3900,33.1,32.291000000000004,179.45723250000003,0.0,signal,2.6359999999999912
2021-01-08,2021-01-07,SELL,6257,short,shared_1m_account,2800,47.0,46.06,183.7794,386.904,ma3_break,
2021-01-11,2021-01-08,SELL,6141,short,shared_1m_account,3900,31.35,30.723000000000003,170.7430725,359.45910000000003,box_retest_below_minus_2pct,
2021-01-11,2021-01-08,BUY,2368,swing,shared_1m_account,2400,52.0,51.744,176.96448,0.0,signal,131.99999999998852
2021-01-12,2021-01-11,SELL,2368,swing,shared_1m_account,2400,51.1,50.078,171.26676000000003,360.56160000000006,ma20_break,
2021-01-12,2021-01-11,BUY,2006,swing,shared_1m_account,3400,37.4,36.26,175.6797,0.0,signal,9.327731092437048
2021-01-12,2021-01-11,BUY,1560,large,shared_1m_account,1800,70.0,68.6545,176.0987925,0.0,signal,1.923076923076922
2021-01-13,2021-01-12,SELL,2006,swing,shared_1m_account,3400,36.1,35.378,171.40641,360.8556,ma20_break,
2021-01-15,2021-01-14,BUY,6414,short,shared_1m_account,300,278.5,268.03,114.58282499999999,0.0,signal,3.646666666666673
2021-01-18,2021-01-15,BUY,1326,swing,shared_1m_account,1100,83.4,82.22200000000001,128.88298500000002,0.0,signal,12.9076923076921
2021-01-18,2021-01-15,BUY,2436,large,shared_1m_account,1800,55.4,53.2885,136.6850025,0.0,signal,1.923076923076922
2021-01-19,2021-01-18,SELL,6414,short,shared_1m_account,300,268.0,262.64,112.2786,236.376,ma3_break,
2021-01-19,2021-01-18,SELL,1326,swing,shared_1m_account,1100,81.5,79.87,125.196225,263.571,ma20_break,
2021-01-20,2021-01-19,BUY,2395,short,shared_1m_account,200,384.5,385.14,109.7649,0.0,signal,1.572000000000005
2021-01-20,2021-01-19,BUY,8033,large,shared_1m_account,5400,17.0,16.6465,128.0948175,0.0,signal,1.9230769230769236
2021-01-22,2021-01-21,SELL,2395,short,shared_1m_account,200,365.0,357.7,101.9445,214.62,ma3_break,
2021-01-25,2021-01-22,BUY,2338,swing,shared_1m_account,2200,41.7,40.915,128.268525,0.0,signal,11.92857142857146
2021-01-26,2021-01-25,BUY,3010,short,shared_1m_account,1100,82.9,81.34,127.50045,0.0,signal,2.074999999999997
2021-01-27,2021-01-26,SELL,2338,swing,shared_1m_account,2200,40.5,39.69,124.42815,261.954,ma20_break,
2021-01-28,2021-01-27,SELL,3010,short,shared_1m_account,1100,76.4,74.872,117.36186000000001,247.0776,ma3_break,
2021-01-29,2021-01-28,BUY,6176,swing,shared_1m_account,700,118.0,115.64,115.35090000000001,0.0,signal,47.19999999999909
2021-02-01,2021-01-29,SELL,6176,swing,shared_1m_account,700,114.0,111.72,111.4407,234.612,ma20_break,
