execute_date,decision_date,side,code,layer,cash_pool,shares,raw_price,fill_price,commission,tax,reason,expected_rr
2021-01-05,2021-01-04,BUY,2485,large,shared_1m_account,9800,20.4,20.291,283.36381500000005,0.0,signal,1.923076923076922
2021-01-05,2021-01-04,BUY,8021,large,shared_1m_account,6900,28.9,28.860500000000002,283.77086625000004,0.0,signal,1.9230769230769238
2021-01-06,2021-01-05,BUY,2049,large,shared_1m_account,400,410.0,406.805,231.87885,0.0,signal,1.9230769230769227
2021-01-06,2021-01-05,BUY,2324,large,shared_1m_account,9200,21.8,21.306375568410342,279.3265837018596,0.0,signal,1.923076923076923
2021-01-12,2021-01-11,BUY,1560,large,shared_1m_account,1300,70.0,68.6545,127.18246124999999,0.0,signal,1.923076923076922
2021-01-20,2021-01-19,BUY,8033,large,shared_1m_account,200,17.0,16.6465,4.7442525,0.0,signal,1.9230769230769236
2021-02-04,2021-02-03,SELL,8033,large,shared_1m_account,200,16.95,16.611,4.734135,9.966600000000001,trail_13pct_after_gain_15pct,
2021-02-18,2021-02-17,BUY,1612,large,shared_1m_account,100,17.8,17.533,2.4984525000000004,0.0,signal,1.9230769230769236
2021-02-23,2021-02-22,BUY,3703,large,shared_1m_account,100,21.1,21.02975,2.9967393749999998,0.0,signal,1.9230769230769247
2021-05-05,2021-05-04,SELL,2485,large,shared_1m_account,9800,22.05,21.609,301.76968500000004,635.3046,trail_13pct_after_gain_15pct,
2021-05-05,2021-05-04,SELL,8021,large,shared_1m_account,6900,39.0,38.22,375.79815,791.154,trail_13pct_after_gain_15pct,
2021-05-05,2021-05-04,SELL,2324,large,shared_1m_account,9200,23.5,23.03,301.9233,635.628,trail_13pct_after_gain_15pct,
2021-05-06,2021-05-05,SELL,1560,large,shared_1m_account,1300,69.0,67.62,125.26605,263.718,portfolio_dd_guard,
2021-05-06,2021-05-05,SELL,2049,large,shared_1m_account,400,385.5,377.79,215.3403,453.348,portfolio_dd_guard,
2021-05-12,2021-05-11,SELL,1612,large,shared_1m_account,100,27.0,26.46,3.77055,7.938,trail_13pct_after_gain_15pct,
2021-05-17,2021-05-14,SELL,3703,large,shared_1m_account,100,23.05,22.589,3.2189324999999998,6.776699999999999,trail_13pct_after_gain_15pct,
