execute_date,decision_date,side,code,layer,cash_pool,shares,raw_price,fill_price,commission,tax,reason,expected_rr
2021-01-05,2021-01-04,BUY,2454,short,shared_1m_account,100,796.0,776.16,110.6028,0.0,signal,1.8635294117647099
2021-01-05,2021-01-04,BUY,2485,short,shared_1m_account,7000,20.4,20.188000000000002,201.37530000000004,0.0,signal,8.23999999999979
2021-01-06,2021-01-05,BUY,6257,short,shared_1m_account,4200,48.65,47.285,283.000725,0.0,signal,3.5090909090909244
2021-01-07,2021-01-06,SELL,2454,short,shared_1m_account,100,794.0,778.12,110.88210000000001,233.436,ma3_break,
2021-01-07,2021-01-06,SELL,2485,short,shared_1m_account,7000,19.6,19.208000000000002,191.59980000000002,403.368,box_retest_below_minus_2pct,
2021-01-07,2021-01-06,BUY,6141,short,shared_1m_account,6100,33.1,32.291000000000004,280.6895175000001,0.0,signal,2.6359999999999912
2021-01-07,2021-01-06,BUY,3023,short,shared_1m_account,800,234.0,227.35999999999999,259.1904,0.0,signal,1.6872727272727284
2021-01-08,2021-01-07,SELL,6257,short,shared_1m_account,4200,47.0,46.06,275.6691,580.356,ma3_break,
2021-01-08,2021-01-07,BUY,1522,short,shared_1m_account,3500,25.45,24.794,123.660075,0.0,signal,6.746666666666663
2021-01-11,2021-01-08,SELL,6141,short,shared_1m_account,6100,31.35,30.723000000000003,267.0596775,562.2309,box_retest_below_minus_2pct,
2021-01-12,2021-01-11,SELL,1522,short,shared_1m_account,3500,25.15,24.647,122.9269125,258.7935,ma3_break,
2021-01-13,2021-01-12,SELL,3023,short,shared_1m_account,800,253.5,248.43,283.2102,596.232,ma3_break,
2021-01-14,2021-01-13,BUY,2454,short,shared_1m_account,200,872.0,866.3199999999999,246.90120000000002,0.0,signal,4.420000000000016
2021-01-15,2021-01-14,BUY,6414,short,shared_1m_account,700,278.5,268.03,267.359925,0.0,signal,3.646666666666673
2021-01-15,2021-01-14,BUY,4915,short,shared_1m_account,3800,52.7,51.254,277.54041,0.0,signal,1.6407843137254947
2021-01-18,2021-01-15,SELL,2454,short,shared_1m_account,200,850.0,833.0,237.405,499.8,box_retest_below_minus_2pct,
2021-01-19,2021-01-18,SELL,6414,short,shared_1m_account,700,268.0,262.64,261.9834,551.544,ma3_break,
2021-01-20,2021-01-19,BUY,2395,short,shared_1m_account,500,384.5,385.14,274.41225000000003,0.0,signal,1.572000000000005
2021-01-21,2021-01-20,SELL,4915,short,shared_1m_account,3800,54.9,53.802,291.33783,613.3428,ma3_break,
2021-01-22,2021-01-21,SELL,2395,short,shared_1m_account,500,365.0,357.7,254.86125,536.55,ma3_break,
2021-01-26,2021-01-25,BUY,3010,short,shared_1m_account,2300,82.9,81.34,266.59185,0.0,signal,2.074999999999997
