execute_date,decision_date,side,code,layer,cash_pool,shares,raw_price,fill_price,commission,tax,reason,expected_rr
2021-01-05,2021-01-04,BUY,1440,swing,shared_1m_account,7200,14.95,14.651,150.31926,0.0,signal,52.764705882352125
2021-01-06,2021-01-05,SELL,1440,swing,shared_1m_account,7200,14.75,14.455,148.3083,312.228,ma20_break,
2021-01-06,2021-01-05,BUY,2338,swing,shared_1m_account,3000,41.55,40.718999999999994,174.073725,0.0,signal,60.80487804878771
2021-01-06,2021-01-05,BUY,9904,swing,shared_1m_account,4000,31.2,30.674,174.8418,0.0,signal,32.37931034482773
2021-01-07,2021-01-06,SELL,2338,swing,shared_1m_account,3000,41.0,40.18,171.7695,361.62,ma20_break,
2021-01-07,2021-01-06,SELL,9904,swing,shared_1m_account,4000,30.8,30.184,172.0488,362.208,ma20_break,
2021-01-08,2021-01-07,BUY,1714,swing,shared_1m_account,10500,10.3,9.995999999999999,149.56515,0.0,signal,18.54545454545457
2021-01-08,2021-01-07,BUY,2338,swing,shared_1m_account,2500,43.0,41.306999999999995,147.1561875,0.0,signal,7.757668711656396
2021-01-11,2021-01-08,SELL,1714,swing,shared_1m_account,10500,10.05,9.849,147.3656625,310.2435,ma20_break,
2021-01-11,2021-01-08,BUY,2368,swing,shared_1m_account,2400,52.0,51.744,176.96448,0.0,signal,131.99999999998852
2021-01-12,2021-01-11,SELL,2338,swing,shared_1m_account,2500,42.0,41.16,146.6325,308.7,ma20_break,
2021-01-12,2021-01-11,SELL,2368,swing,shared_1m_account,2400,51.1,50.078,171.26676000000003,360.56160000000006,ma20_break,
2021-01-12,2021-01-11,BUY,2006,swing,shared_1m_account,4200,37.4,36.26,217.0161,0.0,signal,9.327731092437048
2021-01-12,2021-01-11,BUY,2331,swing,shared_1m_account,6500,24.35,23.471,217.4001375,0.0,signal,19.418918918918873
2021-01-13,2021-01-12,SELL,2006,swing,shared_1m_account,4200,36.1,35.378,211.73733000000001,445.7628,ma20_break,
2021-01-15,2021-01-14,BUY,2352,swing,shared_1m_account,3500,28.5,27.685,138.0789375,0.0,signal,18.626373626373542
2021-01-15,2021-01-14,BUY,2323,swing,shared_1m_account,10700,9.34,9.065,138.2185875,0.0,signal,555.0000000000856
2021-01-18,2021-01-15,SELL,2331,swing,shared_1m_account,6500,24.95,24.451,226.47738750000002,476.7945,ma20_break,
2021-01-18,2021-01-15,SELL,2352,swing,shared_1m_account,3500,27.3,26.754,133.435575,280.91700000000003,ma20_break,
2021-01-18,2021-01-15,SELL,2323,swing,shared_1m_account,10700,9.04,8.8592,135.080652,284.38032,ma20_break,
2021-01-18,2021-01-15,BUY,1303,swing,shared_1m_account,2700,72.1,70.854,272.610765,0.0,signal,9.597345132743245
2021-01-20,2021-01-19,BUY,2382,swing,shared_1m_account,1100,82.6,80.948,126.88598999999999,0.0,signal,103.24999999999099
2021-01-20,2021-01-19,BUY,2353,swing,shared_1m_account,3800,24.25,23.863,129.218145,0.0,signal,29.81632653061245
2021-01-20,2021-01-19,BUY,1216,swing,shared_1m_account,1300,67.0,65.758,121.816695,0.0,signal,40.25999999999923
2021-01-20,2021-01-19,BUY,3346,swing,shared_1m_account,1900,47.95,46.795,126.6974625,0.0,signal,24.913043478260658
2021-01-21,2021-01-20,SELL,1303,swing,shared_1m_account,2700,69.2,67.816,260.92206000000004,549.3096,ma20_break,
2021-01-21,2021-01-20,SELL,2382,swing,shared_1m_account,1100,82.0,80.36,125.96430000000001,265.188,ma20_break,
2021-01-21,2021-01-20,SELL,2353,swing,shared_1m_account,3800,23.8,23.324,126.29946000000002,265.89360000000005,ma20_break,
2021-01-21,2021-01-20,SELL,1216,swing,shared_1m_account,1300,66.0,64.67999999999999,119.81969999999998,252.25199999999995,ma20_break,
2021-01-21,2021-01-20,SELL,3346,swing,shared_1m_account,1900,46.5,45.57,123.380775,259.749,ma20_break,
2021-01-25,2021-01-22,BUY,2338,swing,shared_1m_account,2400,41.7,40.915,139.9293,0.0,signal,11.92857142857146
2021-01-26,2021-01-25,BUY,3017,swing,shared_1m_account,2100,70.4,68.208,204.11244,0.0,signal,14.108108108108071
2021-01-26,2021-01-25,BUY,8150,swing,shared_1m_account,4000,36.5,35.574,202.7718,0.0,signal,7.978021978021982
2021-01-27,2021-01-26,SELL,2338,swing,shared_1m_account,2400,40.5,39.69,135.7398,285.76800000000003,ma20_break,
