strategy,year,start_nav,end_nav,year_return,year_max_drawdown
short_layer,2021,1000000.0,934629.1082224997,-0.06537089177750033,-0.12499929610938065
short_layer,2022,934629.1082224997,898836.0870862497,-0.0382964973178741,-0.09230482370947735
short_layer,2023,898836.0870862497,763311.3209062493,-0.15077806524138349,-0.15126079720233299
short_layer,2024,756554.1831312494,698754.0784262497,-0.07639916081856146,-0.15029809120247517
short_layer,2025,698754.0784262497,659534.6374687497,-0.05612767376733019,-0.07925175003455442
short_layer,2026,659534.6374687497,659534.6374687497,0.0,0.0
swing_layer,2021,1000000.0,821562.8551354992,-0.1784371448645008,-0.17889899836351608
swing_layer,2022,821562.8551354992,765277.1966373742,-0.06851047140981292,-0.06892392422306948
swing_layer,2023,765277.1966373742,652735.2244673743,-0.14706040198833714,-0.14706040198833714
swing_layer,2024,652735.2244673743,502842.3036098745,-0.22963816757370636,-0.22991946424019782
swing_layer,2025,506821.1714148745,445312.72348737443,-0.12136124415597938,-0.13248691173727611
swing_layer,2026,445492.72348737443,443425.89946737443,-0.004639411400079951,-0.004639411400079951
large_layer,2021,1000000.0,1046241.1862062982,0.046241186206298135,-0.21726147123563244
large_layer,2022,1046091.1862062982,1012636.8522468746,-0.03198032293986475,-0.06640684670531027
large_layer,2023,1011571.8522468746,1188206.0133415973,0.17461355879207985,-0.08847732138022579
large_layer,2024,1173561.0133415973,999341.9909995077,-0.1484533146223206,-0.237559862700497
large_layer,2025,993401.9909995077,829970.1517532575,-0.16451732604422697,-0.1786488516956457
large_layer,2026,841210.1517532575,849367.2220182575,0.009696828132659707,-0.058935606265876794
combined_three_layer,2021,1000000.0,899175.7182051501,-0.10082428179484992,-0.19048600667665916
combined_three_layer,2022,900070.7182051501,833298.3864051499,-0.07418565058215898,-0.08160554588936741
combined_three_layer,2023,833298.3864051499,763526.4791673359,-0.08372980000454588,-0.1284451215379312
combined_three_layer,2024,758265.2378673359,631933.8461418074,-0.16660580680296344,-0.2659588986710849
combined_three_layer,2025,637717.8597118075,519020.09267893195,-0.18612896788952482,-0.2039472348529251
combined_three_layer,2026,519680.09267893195,517896.15559393197,-0.0034327600963197646,-0.03023810657122805
0050_BH,2021,1016004.5065,1187319.5065000001,0.1686163780809964,-0.11451760092748176
0050_BH,2022,1194609.5065000001,901389.5065,-0.2454525921688704,-0.36124275448059184
0050_BH,2023,905844.5065,1105914.5065000001,0.22086572095362156,-0.08325042345944578
0050_BH,2024,1101459.5065000001,1594344.5065000001,0.4474835407850737,-0.21586335110706478
0050_BH,2025,1580574.5065000001,2134209.5065,0.35027453481200377,-0.28323558484794076
0050_BH,2026,2177949.5065,3473949.5065,0.595055117729838,-0.15840867753860277
