code,layer,exit_reason,buy_date,sell_date,pnl,return_pct,win
2485,large,large_hard_stop_minus_15pct,2021-01-05,2021-02-02,-34199.24914000003,-0.1717388756702544,False
8033,large,trail_13pct_after_gain_15pct,2021-01-20,2021-02-04,-26.544987499999934,-0.007961798191519336,False
8021,large,trail_13pct_after_gain_15pct,2021-01-05,2021-05-05,63129.82698375001,0.31656524170058414,True
2324,large,trail_13pct_after_gain_15pct,2021-01-06,2021-05-05,14640.466886923008,0.07458287014312893,True
2492,large,large_hard_stop_minus_15pct,2021-02-18,2021-05-06,-13422.177881250005,-0.17478723556488618,False
2049,large,large_hard_stop_minus_15pct,2021-01-06,2021-05-12,-32214.96985000001,-0.19769378966212933,False
1612,large,trail_13pct_after_gain_15pct,2021-02-18,2021-05-12,43046.15687749999,0.5003381773398616,True
2337,large,large_hard_stop_minus_15pct,2021-02-19,2021-05-13,-1083.3930825000002,-0.23980924438455134,False
3703,large,trail_13pct_after_gain_15pct,2021-02-23,2021-05-17,142.93262812500006,0.06787015488033991,True
1560,large,portfolio_dd14_large_structure_broken,2021-01-12,2021-05-18,-13403.115716250002,-0.14995984300796672,False
