code,layer,exit_reason,buy_date,sell_date,pnl,return_pct,win
5284,swing,two_closes_below_ma5,2021-01-05,2021-01-07,-1635.011175000007,-0.01564323655692054,False
1707,swing,two_closes_below_ma5,2021-01-06,2021-01-08,-1498.7997500000056,-0.016736561358967644,False
4943,swing,two_closes_below_ma5,2021-01-06,2021-01-08,-4660.344920000003,-0.046771270765810974,False
5388,swing,two_closes_below_ma5,2021-01-06,2021-01-12,-3265.0103850000014,-0.031711966581450445,False
3308,swing,two_closes_below_ma5,2021-01-08,2021-01-13,-10207.228195500007,-0.05140726548002433,False
6655,swing,two_closes_below_ma5,2021-01-11,2021-01-13,-770.1116849999962,-0.008878819169445207,False
2493,swing,two_closes_below_ma5,2021-01-06,2021-01-14,-16.230515000032028,-0.00015264371303826357,False
1760,swing,two_closes_below_ma5,2021-01-13,2021-01-15,-5585.8515300000145,-0.038656192431897114,False
2313,swing,two_closes_below_ma5,2021-01-15,2021-01-19,-6767.224625000017,-0.05906214265656464,False
3311,swing,two_closes_below_ma5,2021-01-18,2021-01-20,-4823.923825000005,-0.04160276641756724,False
1762,swing,two_closes_below_ma5,2021-01-21,2021-01-25,-4701.122964999988,-0.04952174258886698,False
1316,swing,two_closes_below_ma5,2021-01-21,2021-01-25,-3979.074645000015,-0.04192000190051773,False
2349,swing,two_closes_below_ma5,2021-01-20,2021-01-27,-9560.702252500007,-0.08129119130239415,False
3312,swing,two_closes_below_ma5,2021-01-20,2021-01-29,116.03983999999764,0.0009910276481443295,True
5434,swing,two_closes_below_ma5,2021-01-20,2021-01-29,-629.4833999999973,-0.005841675612252515,False
6504,swing,two_closes_below_ma5,2021-01-21,2021-01-29,-4923.6547500000015,-0.053946110663272595,False
4133,swing,two_closes_below_ma5,2021-01-21,2021-01-29,-2695.175664999988,-0.029212486131313383,False
2421,swing,two_closes_below_ma5,2021-01-26,2021-02-01,-4010.3827049999963,-0.04443192480290443,False
1467,swing,two_closes_below_ma5,2021-02-17,2021-02-19,-4536.3553200000315,-0.05330812080848487,False
5203,swing,two_closes_below_ma5,2021-02-23,2021-03-02,-2435.1921999999904,-0.029399929744663503,False
2816,swing,two_closes_below_ma5,2021-02-26,2021-03-03,-3256.9267324999964,-0.022856610259475576,False
6191,swing,two_closes_below_ma5,2021-02-04,2021-03-09,22274.649809999944,0.12017839367633486,True
2936,swing,two_closes_below_ma5,2021-03-16,2021-03-22,-5033.791559999983,-0.05028640070252814,False
8442,swing,two_closes_below_ma5,2021-03-22,2021-03-24,-4469.515390624991,-0.0420445031099016,False
1618,swing,trail_8pct,2021-02-05,2021-03-25,21815.231812500002,0.25331925510421155,True
2243,swing,two_closes_below_ma5,2021-03-19,2021-03-25,-7642.390105000028,-0.03968536325098451,False
2349,swing,two_closes_below_ma5,2021-03-23,2021-03-25,-2940.6248724999896,-0.03836087313895443,False
2358,swing,two_closes_below_ma5,2021-03-23,2021-03-31,-981.2090749999916,-0.012892443870321561,False
2712,swing,two_closes_below_ma5,2021-04-01,2021-04-07,-3243.396974999996,-0.03267628333994234,False
6698,swing,trail_8pct,2021-03-16,2021-04-14,14684.471899999975,0.14921054011794632,True
1723,swing,two_closes_below_ma5,2021-04-13,2021-04-23,1031.3323999999993,0.011373187147708446,True
3706,swing,two_closes_below_ma5,2021-04-22,2021-04-26,-2663.2030424999975,-0.02727460797882087,False
1456,swing,two_closes_below_ma5,2021-04-14,2021-04-28,4270.266210000031,0.03535273009442234,True
1339,swing,two_closes_below_ma5,2021-04-22,2021-04-28,-2104.7371799999964,-0.021100303967672478,False
2530,swing,two_closes_below_ma5,2021-04-23,2021-04-28,-12269.453489999985,-0.06413108876853733,False
6230,swing,two_closes_below_ma5,2021-04-26,2021-05-04,-5394.287499999991,-0.061072693633793966,False
6672,swing,prior_swing_low_minus_3pct,2021-05-03,2021-05-05,-8320.047120000017,-0.08198997279939932,False
2748,swing,two_closes_below_ma5,2021-05-03,2021-05-05,-5297.9086650000245,-0.052862677441403,False
4133,swing,portfolio_dd6_reduce_layer_to_50pct,2021-05-04,2021-05-05,-7982.670360000018,-0.06443275556666365,False
3705,swing,two_closes_below_ma5,2021-05-04,2021-05-06,-3459.0315200000186,-0.027787775488361904,False
9919,swing,two_closes_below_ma5,2021-05-04,2021-05-06,-10126.185160000008,-0.07990504648354611,False
1410,swing,two_closes_below_ma5,2021-05-04,2021-05-10,-5011.954587500004,-0.03938277967391747,False
2739,swing,two_closes_below_ma5,2021-05-10,2021-05-12,-6150.83206500001,-0.058064000045072055,False
1465,swing,portfolio_dd6_reduce_layer_to_50pct,2021-05-11,2021-05-12,-4302.086075000014,-0.04604660784852188,False
9930,swing,portfolio_dd6_reduce_layer_to_50pct,2021-05-11,2021-05-12,-3503.571784999993,-0.03807375907771135,False
2816,swing,portfolio_dd6_reduce_layer_to_50pct,2021-05-11,2021-05-12,-2846.0881924999994,-0.03086625585999904,False
5880,swing,portfolio_dd9_keep_best_swing,2021-05-11,2021-05-12,-2909.7537700000103,-0.0309813114013681,False
3209,swing,portfolio_dd9_keep_best_swing,2021-05-11,2021-05-12,-3351.106079999983,-0.036171929576624316,False
2801,swing,portfolio_dd9_keep_best_swing,2021-05-11,2021-05-12,-3132.4364750000095,-0.033457184623023405,False
2886,swing,two_closes_below_ma5,2021-05-11,2021-05-13,-5924.553984999977,-0.0630810942891226,False
