,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2021-01-04,1000000.0,1000000.0,1000000.0,1000000.0,1016004.5065
2021-01-05,1000000.0,1000931.27275,999303.61531875,1000931.27275,1018029.5065
2021-01-06,1000000.0,998864.9448724999,985801.754655673,1000909.1920924999,1028964.5065
2021-01-07,1000000.0,998538.6609474999,990106.754655673,1007418.810705,1052859.5065000001
2021-01-08,1000000.0,996350.9936674999,990866.754655673,1012041.84146,1071489.5065000001
2021-01-11,1000000.0,995735.1709974998,1005591.754655673,1018081.84146,1080399.5065000001
2021-01-12,1000000.0,984859.4674274998,996198.7221944231,1004525.17236375,1078779.5065000001
2021-01-13,1000000.0,978478.2694369999,1005763.7221944231,1012311.67292925,1104699.5065000001
2021-01-14,1000000.0,974926.4427144999,1018603.7221944231,1008619.84620675,1094574.5065000001
2021-01-15,1000000.0,969783.3704694998,1003418.7221944231,1002209.84620675,1098219.5065000001
2021-01-18,1000000.0,967296.3739944998,987533.7221944231,998683.86120425,1097409.5065000001
2021-01-19,1000000.0,963372.1907444998,989128.7221944231,994863.86120425,1126164.5065000001
2021-01-20,1000000.0,956006.9547194999,966989.677941923,980757.8638055001,1128189.5065000001
2021-01-21,1000000.0,946854.8423294999,985699.677941923,989137.9893055,1167069.5065000001
2021-01-22,1000000.0,955459.8423294999,978439.677941923,1000205.8259405,1122114.5065000001
2021-01-25,1000000.0,962360.7976444999,979544.677941923,1006171.0072305001,1107129.5065000001
2021-01-26,1000000.0,956081.7615395,977869.677941923,997741.0072305001,1084854.5065000001
2021-01-27,1000000.0,948721.6158469999,978139.677941923,992711.0072305001,1086474.5065000001
2021-01-28,1000000.0,939611.6158469999,965654.677941923,983966.0072305001,1064604.5065000001
2021-01-29,1000000.0,933048.053452,947464.677941923,977096.536263,1047189.5064999999
2021-02-01,1000000.0,930386.706852,939214.677941923,979306.536263,1067844.5065000001
2021-02-02,1000000.0,930386.706852,944915.592616923,970676.536263,1097814.5065000001
2021-02-03,1000000.0,930386.706852,948555.592616923,959196.536263,1097004.5065000001
2021-02-04,1000000.0,930100.163862,944068.091881923,951315.520493,1090524.5065000001
2021-02-05,1000000.0,928712.620987,943553.091881923,950855.520493,1100649.5065000001
2021-02-17,1000000.0,940280.730472,963453.091881923,966883.629978,1147224.5065000001
2021-02-18,1000000.0,952105.730472,968247.445503173,979197.1077717501,1145604.5065000001
2021-02-19,1000000.0,949126.265667,972879.716900673,969987.6429667501,1133454.5065000001
2021-02-22,1000000.0,954416.265667,984114.716900673,974977.6429667501,1133049.5065000001
2021-02-23,1000000.0,964771.401067,988778.745161298,983153.77339175,1130619.5065000001
2021-02-24,1000000.0,957946.401067,978828.745161298,967518.77339175,1114014.5065000001
2021-02-25,1000000.0,960451.401067,1003748.745161298,976758.77339175,1122924.5065000001
2021-02-26,1000000.0,968982.5362495,996233.745161298,971913.77339175,1089309.5065000001
2021-03-02,1000000.0,971557.2086495,1010543.745161298,973683.77339175,1089714.5065000001
2021-03-03,1000000.0,968409.1467345001,1028148.745161298,988275.167807375,1105509.5065000001
2021-03-04,1000000.0,971824.1467345001,1022448.745161298,974200.167807375,1084044.5065000001
2021-03-05,1000000.0,966914.1467345001,1019643.745161298,966395.167807375,1077564.5065000001
2021-03-08,1000000.0,965739.1467345001,1019873.745161298,964640.167807375,1076754.5065000001
2021-03-09,1000000.0,960565.3395345,1021253.745161298,949766.200007375,1072704.5065000001
2021-03-10,1000000.0,962815.3395345,1023068.745161298,952581.200007375,1077159.5065000001
2021-03-11,1000000.0,964690.3395345,1032328.745161298,961951.200007375,1099839.5065000001
2021-03-12,1000000.0,963940.3395345,1029223.745161298,962245.131004875,1104294.5065000001
2021-03-15,1000000.0,963940.3395345,1031458.745161298,966990.131004875,1101459.5065000001
2021-03-16,1000000.0,963863.4555145,1048193.745161298,966815.131004875,1105104.5065000001
2021-03-17,1000000.0,966578.4555145,1032648.745161298,980092.846331125,1095789.5065000001
2021-03-18,1000000.0,966988.4555145,1039803.745161298,988602.846331125,1101459.5065000001
2021-03-19,1000000.0,971483.927302,1036258.745161298,1003187.846331125,1084449.5065000001
2021-03-22,1000000.0,977353.185538875,1038883.745161298,1026527.846331125,1089309.5065000001
2021-03-23,1000000.0,961579.0063488751,1032873.745161298,999272.846331125,1090929.5065000001
2021-03-24,1000000.0,966373.8841613751,1034863.745161298,994102.846331125,1073919.5065000001
2021-03-25,1000000.0,960250.052698875,1021878.745161298,991802.695011125,1077564.5065000001
2021-03-26,1000000.0,959790.052698875,1031008.745161298,995007.695011125,1097004.5065000001
2021-03-29,1000000.0,959955.052698875,1063383.745161298,997292.695011125,1105914.5065000001
2021-03-30,1000000.0,964580.052698875,1075633.745161298,1002202.695011125,1109559.5065000001
2021-03-31,1000000.0,963906.142198875,1083628.745161298,999737.695011125,1100244.5065000001
2021-04-01,1000000.0,960887.700188875,1096183.745161298,1017977.695011125,1108344.5065000001
2021-04-06,1000000.0,961217.700188875,1119843.745161298,1043052.695011125,1123734.5065000001
2021-04-07,1000000.0,955602.7452238749,1131448.745161298,1070777.695011125,1124949.5065000001
2021-04-08,1000000.0,966872.7452238749,1146073.745161298,1107017.695011125,1128594.5065000001
2021-04-09,1000000.0,964572.7452238749,1166268.745161298,1103852.695011125,1126164.5065000001
2021-04-12,1000000.0,958592.7452238749,1167573.745161298,1077637.695011125,1119684.5065000001
2021-04-13,1000000.0,955211.7086238749,1141038.745161298,1067091.463387375,1119684.5065000001
2021-04-14,1000000.0,958810.340323875,1143858.745161298,1055447.489232375,1125759.5065000001
2021-04-15,1000000.0,958650.340323875,1160843.745161298,1067887.489232375,1135074.5065000001
2021-04-16,1000000.0,966070.340323875,1167783.745161298,1093497.489232375,1136694.5065000001
2021-04-19,1000000.0,971130.340323875,1186743.745161298,1092862.489232375,1138719.5065000001
2021-04-20,1000000.0,970170.340323875,1197598.745161298,1083802.489232375,1136694.5065000001
2021-04-21,1000000.0,969590.340323875,1189068.745161298,1086207.489232375,1126569.5065000001
2021-04-22,991863.6728475,961272.1552963749,1174258.745161298,1063352.489232375,1125759.5065000001
2021-04-23,991863.6728475,962056.183603875,1150578.745161298,1084085.413249875,1135884.5065000001
2021-04-26,990838.4314124999,954096.340328875,1151888.745161298,1110720.413249875,1152489.5065000001
2021-04-27,990477.6431324999,951021.340328875,1161578.745161298,1097095.413249875,1152894.5065000001
2021-04-28,985377.6431324999,941960.1780413749,1168113.745161298,1084763.264822375,1146009.5065000001
2021-04-29,980735.6991224999,941560.1780413749,1165198.745161298,1076723.264822375,1147629.5065000001
2021-05-03,980735.6991224999,938088.569361375,1130878.745161298,1053697.760674875,1128594.5065000001
2021-05-04,980735.6991224999,915652.8194588749,1088933.745161298,1030381.425064875,1118874.5065000001
2021-05-05,980735.6991224999,910700.2961538748,1080523.241711298,1018881.425064875,1108344.5065000001
2021-05-06,971431.4839656249,899643.1415788748,1079132.586036298,1013939.337559875,1118064.5065000001
2021-05-07,966027.7822931249,899643.1415788748,1072627.586036298,1016959.337559875,1137909.5065000001
2021-05-10,966027.7822931249,898041.8399188747,1071607.586036298,1025169.337559875,1130214.5065000001
2021-05-11,966027.7822931249,891656.7963388746,1045882.586036298,998217.560272375,1088094.5065000001
2021-05-12,966027.7822931249,868093.2586363745,1031761.7760862979,967417.565632375,1056909.5065000001
2021-05-13,966027.7822931249,865173.3497013745,1031386.1116062979,953263.5376073751,1041519.5065
2021-05-14,966027.7822931249,865173.3497013745,1030801.1116062979,949745.9266523751,1053264.5065
2021-05-17,966027.7822931249,865173.3497013745,1026685.0159737979,941102.1013523751,1033419.5065
2021-05-18,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1080399.5065000001
2021-05-19,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1073109.5065000001
2021-05-20,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1065819.5065000001
2021-05-21,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1080804.5065000001
2021-05-24,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1079184.5065000001
2021-05-25,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1097409.5065000001
2021-05-26,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1098219.5065000001
2021-05-27,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1090524.5065000001
2021-05-28,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1108749.5065000001
2021-05-31,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1119279.5065000001
2021-06-01,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1124139.5065000001
2021-06-02,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1124139.5065000001
2021-06-03,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1123329.5065000001
2021-06-04,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1118064.5065000001
2021-06-07,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1120899.5065000001
2021-06-08,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1114419.5065000001
2021-06-09,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1106319.5065000001
2021-06-10,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1123329.5065000001
2021-06-11,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1127379.5065000001
2021-06-15,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1133454.5065000001
2021-06-16,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1132239.5065000001
2021-06-17,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1128999.5065000001
2021-06-18,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1126569.5065000001
2021-06-21,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1099839.5065000001
2021-06-22,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1101054.5065000001
2021-06-23,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1118874.5065000001
2021-06-24,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1116039.5065000001
2021-06-25,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1118064.5065000001
2021-06-28,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1120089.5065000001
2021-06-29,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1123329.5065000001
2021-06-30,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1134264.5065000001
2021-07-01,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1128999.5065000001
2021-07-02,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1128999.5065000001
2021-07-05,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1139529.5065000001
2021-07-06,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1140744.5065000001
2021-07-07,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1134669.5065000001
2021-07-08,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1133454.5065000001
2021-07-09,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1124544.5065000001
2021-07-12,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1134669.5065000001
2021-07-13,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1143984.5065000001
2021-07-14,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1146819.5065000001
2021-07-15,966027.7822931249,865173.3497013745,1026609.9327187978,941102.1013523751,1157349.5065000001
2021-07-16,971790.115668125,865173.3497013745,1026609.9327187978,941102.1013523751,1141959.5065000001
2021-07-19,971790.115668125,865173.3497013745,1026609.9327187978,941102.1013523751,1128999.5065000001
2021-07-20,952975.115668125,865173.3497013745,1026609.9327187978,941102.1013523751,1120089.5065000001
2021-07-21,953824.876683125,865173.3497013745,1026609.9327187978,941102.1013523751,1116039.5065000001
2021-07-22,953824.876683125,865173.3497013745,1026609.9327187978,941102.1013523751,1123734.5065000001
2021-07-23,953824.876683125,865173.3497013745,1026609.9327187978,941102.1013523751,1123734.5065000001
2021-07-26,953824.876683125,865173.3497013745,1026609.9327187978,941102.1013523751,1114014.5065000001
2021-07-27,953824.876683125,865173.3497013745,1026609.9327187978,941102.1013523751,1113609.5065000001
2021-07-28,953824.876683125,865173.3497013745,1026609.9327187978,941102.1013523751,1096194.5065000001
2021-07-29,953824.876683125,865173.3497013745,1026609.9327187978,941102.1013523751,1114419.5065000001
2021-07-30,953867.925633125,865173.3497013745,1026609.9327187978,941102.1013523751,1110774.5065000001
2021-08-02,954467.925633125,865173.3497013745,1026609.9327187978,941102.1013523751,1125759.5065000001
2021-08-03,955136.248983125,865173.3497013745,1026609.9327187978,941102.1013523751,1130214.5065000001
2021-08-04,957227.937423125,865173.3497013745,1026609.9327187978,941102.1013523751,1136694.5065000001
2021-08-05,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1134669.5065000001
2021-08-06,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1133049.5065000001
2021-08-09,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1129809.5065000001
2021-08-10,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1123734.5065000001
2021-08-11,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1120089.5065000001
2021-08-12,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1118064.5065000001
2021-08-13,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1107534.5065000001
2021-08-16,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1105104.5065000001
2021-08-17,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1097004.5065000001
2021-08-18,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1101459.5065000001
2021-08-19,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1076349.5065000001
2021-08-20,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1067844.5065000001
2021-08-23,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1097004.5065000001
2021-08-24,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1100244.5065000001
2021-08-25,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1110774.5065000001
2021-08-26,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1118469.5065000001
2021-08-27,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1127784.5065000001
2021-08-30,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1138719.5065000001
2021-08-31,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1145604.5065000001
2021-09-01,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1150869.5065000001
2021-09-02,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1141959.5065000001
2021-09-03,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1158159.5065000001
2021-09-06,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1163424.5065000001
2021-09-07,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1158159.5065000001
2021-09-08,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1148034.5065000001
2021-09-09,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1145199.5065000001
2021-09-10,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1158564.5065000001
2021-09-13,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1154514.5065000001
2021-09-14,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1155729.5065000001
2021-09-15,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1148844.5065000001
2021-09-16,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1143579.5065000001
2021-09-17,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1146819.5065000001
2021-09-22,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1120089.5065000001
2021-09-23,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1126569.5065000001
2021-09-24,951472.144623125,865173.3497013745,1026609.9327187978,941102.1013523751,1139934.5065000001
2021-09-27,950625.086943125,865173.3497013745,1026609.9327187978,941102.1013523751,1142769.5065000001
2021-09-28,938655.086943125,865173.3497013745,1026609.9327187978,941102.1013523751,1134669.5065000001
2021-09-29,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1110369.5065000001
2021-09-30,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1118874.5065000001
2021-10-01,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1093764.5065000001
2021-10-04,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1087284.5065000001
2021-10-05,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1085664.5065000001
2021-10-06,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1086069.5065000001
2021-10-07,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1105104.5065000001
2021-10-08,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1095789.5065000001
2021-10-12,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1084854.5065000001
2021-10-13,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1081209.5065000001
2021-10-14,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1084044.5065000001
2021-10-15,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1112394.5065000001
2021-10-18,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1109154.5065000001
2021-10-19,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1118064.5065000001
2021-10-20,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1115229.5065000001
2021-10-21,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1111179.5065000001
2021-10-22,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1114419.5065000001
2021-10-25,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1113609.5065000001
2021-10-26,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1122924.5065000001
2021-10-27,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1122924.5065000001
2021-10-28,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1119684.5065000001
2021-10-29,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1108749.5065000001
2021-11-01,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1114419.5065000001
2021-11-02,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1112394.5065000001
2021-11-03,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1115229.5065000001
2021-11-04,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1111584.5065000001
2021-11-05,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1127379.5065000001
2021-11-08,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1136289.5065000001
2021-11-09,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1148439.5065000001
2021-11-10,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1146819.5065000001
2021-11-11,928553.446285625,865173.3497013745,1026609.9327187978,941102.1013523751,1136694.5065000001
2021-11-12,928201.666885625,865173.3497013745,1026609.9327187978,941102.1013523751,1140339.5065000001
2021-11-15,929401.666885625,865173.3497013745,1026609.9327187978,941102.1013523751,1150464.5065000001
2021-11-16,925262.258385625,865173.3497013745,1026609.9327187978,941102.1013523751,1152489.5065000001
2021-11-17,925262.258385625,865173.3497013745,1026609.9327187978,941102.1013523751,1156134.5065000001
2021-11-18,925262.258385625,865173.3497013745,1026609.9327187978,941102.1013523751,1162614.5065000001
2021-11-19,925262.258385625,865173.3497013745,1026609.9327187978,941102.1013523751,1165449.5065000001
2021-11-22,925262.258385625,865173.3497013745,1026609.9327187978,941102.1013523751,1162614.5065000001
2021-11-23,925262.258385625,865173.3497013745,1026609.9327187978,941102.1013523751,1151679.5065000001
2021-11-24,925262.258385625,865173.3497013745,1026609.9327187978,941102.1013523751,1146819.5065000001
2021-11-25,925262.258385625,865173.3497013745,1026609.9327187978,941102.1013523751,1146414.5065000001
2021-11-26,925262.258385625,865173.3497013745,1026609.9327187978,941102.1013523751,1127784.5065000001
2021-11-29,925262.258385625,865173.3497013745,1026609.9327187978,941102.1013523751,1127784.5065000001
2021-11-30,925262.258385625,865173.3497013745,1026609.9327187978,941102.1013523751,1126569.5065000001
2021-12-01,925262.258385625,865173.3497013745,1026609.9327187978,941102.1013523751,1145199.5065000001
2021-12-02,925262.258385625,865173.3497013745,1026609.9327187978,941102.1013523751,1157349.5065000001
2021-12-03,925262.258385625,865173.3497013745,1026609.9327187978,941102.1013523751,1156944.5065000001
2021-12-06,925643.956725625,865173.3497013745,1026609.9327187978,941102.1013523751,1153704.5065000001
2021-12-07,922203.586020625,865173.3497013745,1026609.9327187978,941102.1013523751,1157349.5065000001
2021-12-08,922203.586020625,865173.3497013745,1026609.9327187978,941102.1013523751,1161804.5065000001
