strategy,layer,reason,count
short_layer,short,box_failure_two_closes_inside,3
short_layer,short,box_failure_volume_below_minus_4pct,4
short_layer,short,flow_cools,2
short_layer,short,ma3_break,3
short_layer,short,portfolio_dd9_exit_short,4
swing_layer,swing,portfolio_dd6_reduce_layer_to_50pct,4
swing_layer,swing,portfolio_dd9_keep_best_swing,3
swing_layer,swing,prior_swing_low_minus_3pct,1
swing_layer,swing,trail_8pct,2
swing_layer,swing,two_closes_below_ma5,40
large_layer,large,large_hard_stop_minus_15pct,4
large_layer,large,portfolio_dd14_large_structure_broken,1
large_layer,large,trail_13pct_after_gain_15pct,5
combined_three_layer,large,large_hard_stop_minus_15pct,4
combined_three_layer,large,portfolio_dd14_large_structure_broken,2
combined_three_layer,large,trail_13pct_after_gain_15pct,5
combined_three_layer,swing,portfolio_dd9_keep_best_swing,1
combined_three_layer,swing,prior_swing_low_minus_3pct,1
combined_three_layer,swing,two_closes_below_ma5,14
