strategy,layer,reason,count,wins,win_rate,net_pnl,average_pnl,average_return
short_layer,short,box_failure_two_closes_inside,5,0,0.0,-54628.451640000014,-10925.690328000002,-0.06310677511144451
short_layer,short,box_failure_volume_below_minus_4pct,5,0,0.0,-68790.10911937502,-13758.021823875004,-0.08233189429894174
short_layer,short,flow_cools,4,0,0.0,-13929.1839399999,-3482.295984999975,-0.020701661445160176
short_layer,short,ma3_break,5,1,0.2,-18425.155664999955,-3685.031132999991,-0.026684416942158184
swing_layer,swing,prior_swing_low_minus_3pct,2,0,0.0,-11231.794699999984,-5615.897349999992,-0.07153133321659652
swing_layer,swing,trail_8pct,1,1,1.0,17238.29309999998,17238.29309999998,0.14921054011794643
swing_layer,swing,two_closes_below_ma5,45,4,0.08888888888888889,-163728.4352017502,-3638.409671150004,-0.0343547849563405
large_layer,large,large_hard_stop_minus_15pct,4,0,0.0,-80919.78995375003,-20229.94748843751,-0.1960072863204553
large_layer,large,portfolio_dd14_large_structure_broken,1,0,0.0,-13403.115716250002,-13403.115716250002,-0.14995984300796672
large_layer,large,trail_13pct_after_gain_15pct,5,4,0.8,120932.838388798,24186.5676777596,0.19027892917447906
combined_three_layer,large,large_hard_stop_minus_15pct,4,0,0.0,-59847.35149250002,-14961.837873125005,-0.1856770069711114
combined_three_layer,large,portfolio_dd14_large_structure_broken,2,0,0.0,-28887.36524874998,-14443.68262437499,-0.10694725358017487
combined_three_layer,large,trail_13pct_after_gain_15pct,5,3,0.6,73539.18409812497,14707.836819624994,0.11031700185776752
combined_three_layer,swing,portfolio_dd9_keep_best_swing,1,0,0.0,-3504.9306775000005,-3504.9306775000005,-0.030981311401367995
combined_three_layer,swing,prior_swing_low_minus_3pct,1,0,0.0,-3511.517869999996,-3511.517869999996,-0.04212482613735277
combined_three_layer,swing,two_closes_below_ma5,14,2,0.14285714285714285,-36685.91745700006,-2620.4226755000045,-0.02446308317710712
