date,event,level,nav,true_drawdown,guard_cycle_drawdown,days_active,rebound_from_guard_low,reason
2021-02-04,trigger,6,951315.520493,-0.06558050467853593,0.0,0,0.0,drawdown_minus_6pct
2021-03-16,unlock,6,966815.131004875,-0.050356178027500254,-0.021714637280740412,20,0.01795066090725017,20d_and_dd_within_minus_9pct
2021-05-04,trigger,6,1030381.425064875,-0.07233052280900709,0.0,0,0.0,drawdown_minus_6pct
2021-05-11,trigger,9,998217.560272375,-0.1012881834487277,0.0,0,0.0,drawdown_minus_9pct
2021-05-12,trigger,12,967417.565632375,-0.12901792918184318,0.0,0,0.0,drawdown_minus_12pct
2021-05-13,trigger,14,953263.5376073751,-0.14176103523819672,0.0,0,0.0,drawdown_minus_14pct
2021-06-10,unlock,14,941102.1013523751,-0.1527101778936527,-0.012757685335919033,20,0.0,20d_and_dd_within_minus_9pct
2021-07-14,trigger,6,1100548.553572375,-0.06155461112529359,0.0,0,0.0,drawdown_minus_6pct
2021-08-11,unlock,6,1046498.124711125,-0.10764378689758691,-0.0619649846565804,20,0.0,20d_and_dd_within_minus_9pct
2021-08-17,trigger,6,981325.6363011249,-0.1632168200284989,0.0,0,0.0,drawdown_minus_6pct
2021-09-10,trigger,9,947096.5466386251,-0.19240420231607136,0.0,0,0.0,drawdown_minus_9pct
2021-09-22,trigger,12,920584.4544648752,-0.21501124729297494,0.0,0,0.0,drawdown_minus_12pct
2021-10-04,trigger,14,893760.2731598751,-0.23788441283783435,0.0,0,0.0,drawdown_minus_14pct
2021-11-02,unlock,14,884883.2600898751,-0.24545390348454943,-0.009932208150867372,20,0.0,20d_and_dd_within_minus_9pct
2021-12-17,trigger,6,814247.8421414731,-0.30568521454279096,0.0,0,0.0,drawdown_minus_6pct
2022-01-05,trigger,9,803207.412351473,-0.31509946563965474,0.0,0,0.0,drawdown_minus_9pct
2022-01-11,trigger,12,778636.1600441397,-0.33605154299402973,0.0,0,0.0,drawdown_minus_12pct
2022-01-21,trigger,14,761586.1600441397,-0.35059019631230104,0.0,0,0.0,drawdown_minus_14pct
2022-03-02,unlock,14,742485.5738441399,-0.3668773987133307,-0.025080006967160173,20,0.0,20d_and_dd_within_minus_9pct
2022-10-25,trigger,6,698011.1567326394,-0.40480104281399354,0.0,0,0.0,drawdown_minus_6pct
2022-11-22,unlock,6,698806.8208101393,-0.404122574533608,-0.0064456621520658786,20,0.003459884714414052,20d_and_dd_within_minus_9pct
2023-04-27,trigger,6,724161.9521565496,-0.3825020780828928,0.0,0,0.0,drawdown_minus_6pct
2023-05-29,unlock,6,736860.6626102997,-0.37167379955643065,-0.008545731171061832,20,0.017535732740353804,20d_and_dd_within_minus_9pct
2023-07-19,trigger,6,722627.6527171746,-0.3838103858621005,0.0,0,0.0,drawdown_minus_6pct
2023-07-26,trigger,9,703851.7807171745,-0.39982070221144006,0.0,0,0.0,drawdown_minus_9pct
2023-08-02,trigger,12,681208.9835746746,-0.41912837246427004,0.0,0,0.0,drawdown_minus_12pct
2023-08-11,trigger,14,663208.1293171747,-0.4344778258063533,0.0,0,0.0,drawdown_minus_14pct
2023-09-08,unlock,14,671574.5654971746,-0.42734370761688345,-0.003383519407214819,20,0.015791036416541226,20d_and_dd_within_minus_9pct
2023-12-21,trigger,6,636999.0176222989,-0.45682651722639145,0.0,0,0.0,drawdown_minus_6pct
2024-01-19,unlock,6,623590.711343549,-0.46825987303706285,-0.0432680220106032,20,0.0016708798931861502,20d_and_dd_within_minus_9pct
2024-07-22,trigger,6,783346.1611422986,-0.3320352923726333,0.0,0,0.0,drawdown_minus_6pct
2024-08-05,trigger,12,749242.1672572986,-0.36111600462263094,0.0,0,0.0,drawdown_minus_12pct
2024-09-02,unlock,12,758389.4103722987,-0.35331608694128613,-0.010574114945030466,20,0.017212941468716103,20d_and_dd_within_minus_9pct
2024-12-13,trigger,6,724738.5401010485,-0.3820104175413934,0.0,0,0.0,drawdown_minus_6pct
2024-12-25,unlock,6,764362.8808760486,-0.34822246718991134,0.0,8,0.0646778668131085,rebound_6pct
2025-01-13,trigger,6,717225.1211047986,-0.3884171620587771,0.0,0,0.0,drawdown_minus_6pct
2025-02-20,unlock,6,733807.7482197987,-0.3742770408428737,0.0,20,0.030819887745509922,20d_and_dd_within_minus_9pct
2025-03-31,trigger,6,706211.8183672987,-0.39780828172972604,0.0,0,0.0,drawdown_minus_6pct
2025-04-07,trigger,9,674266.0451672986,-0.4250486642246777,0.0,0,0.0,drawdown_minus_9pct
2025-04-08,trigger,12,647585.1510272986,-0.4477996478096019,0.0,0,0.0,drawdown_minus_12pct
2025-04-09,trigger,14,627227.0744272987,-0.46515912100105117,0.0,0,0.0,drawdown_minus_14pct
2025-05-08,unlock,14,635410.6754272986,-0.45818090763834984,0.0,20,0.013047270013769818,20d_and_dd_within_minus_9pct
2025-07-08,trigger,6,596801.6503641736,-0.49110309123654483,0.0,0,0.0,drawdown_minus_6pct
2025-08-05,unlock,6,629987.8914516736,-0.46280495316571,0.0,20,0.05649937092133284,20d_and_dd_within_minus_9pct
2025-09-26,trigger,6,660836.3210691735,-0.43650028315855893,0.0,0,0.0,drawdown_minus_6pct
2025-10-30,unlock,6,662991.9080036734,-0.43466219922084104,-0.010333993220658866,20,0.014369981663221676,20d_and_dd_within_minus_9pct
