date,event,level,nav,true_drawdown,guard_cycle_drawdown,days_active,rebound_from_guard_low,reason
2021-01-29,trigger,6,947464.677941923,-0.0698397646724106,0.0,0,0.0,drawdown_minus_6pct
2021-02-25,unlock,6,1003748.745161298,-0.014583666552015373,0.0,12,0.06871066725744401,rebound_6pct
2021-05-04,trigger,9,1088933.745161298,-0.09073573301495441,0.0,0,0.0,drawdown_minus_9pct
2021-05-11,trigger,12,1045882.586036298,-0.1266836323417876,0.0,0,0.0,drawdown_minus_12pct
2021-05-17,trigger,14,1026685.0159737979,-0.14271368426031594,0.0,0,0.0,drawdown_minus_14pct
2021-06-15,unlock,14,1026609.9327187978,-0.14277637909471141,-7.313173352285762e-05,20,0.0,20d_and_dd_within_minus_9pct
2021-07-13,trigger,6,1161532.031049423,-0.06397282789699688,0.0,0,0.0,drawdown_minus_6pct
2021-07-21,trigger,9,1119415.7301862978,-0.09791248771053929,0.0,0,0.0,drawdown_minus_9pct
2021-08-13,trigger,12,1073454.4265737978,-0.13495066478750473,0.0,0,0.0,drawdown_minus_12pct
2021-08-16,trigger,14,1059445.0327737979,-0.14624021420237865,0.0,0,0.0,drawdown_minus_14pct
2021-09-13,unlock,14,1036585.8717212977,-0.1646613987282045,-0.02157654276093135,20,0.0018072594140159381,20d_and_dd_within_minus_9pct
2021-10-12,trigger,6,974759.3951819227,-0.21448461535009855,0.0,0,0.0,drawdown_minus_6pct
2021-10-20,unlock,6,1031612.1774569227,-0.1686694784476951,0.0,6,0.06926398024499414,rebound_6pct
2021-11-23,trigger,6,1293176.5658169228,-0.06314402020380894,0.0,0,0.0,drawdown_minus_6pct
2021-12-02,trigger,9,1255036.5609000477,-0.09077496606251167,0.0,0,0.0,drawdown_minus_9pct
2021-12-29,unlock,9,1331443.777220208,-0.035420918207566765,0.0,19,0.061548676892335674,rebound_6pct
2022-01-25,trigger,6,1255633.777220208,-0.09034230613380312,0.0,0,0.0,drawdown_minus_6pct
2022-02-24,trigger,9,1212910.558384583,-0.12129361170205055,0.0,0,0.0,drawdown_minus_9pct
2022-03-22,unlock,9,1286987.842422083,-0.06762750890366609,0.0,17,0.061073987298915,rebound_6pct
2022-04-25,trigger,6,1214609.0787720832,-0.12006309993444053,0.0,0,0.0,drawdown_minus_6pct
2022-05-24,unlock,6,1217538.2296670831,-0.1179410443665897,-0.009486542339950943,20,0.016657759534225436,20d_and_dd_within_minus_9pct
2023-05-11,trigger,6,1394077.4195310618,-0.06157152220411388,0.0,0,0.0,drawdown_minus_6pct
2023-06-02,unlock,6,1486667.4157223117,0.0,0.0,15,0.06641668166635628,rebound_6pct
2023-07-28,trigger,6,1504937.1520291865,-0.07050114958106657,0.0,0,0.0,drawdown_minus_6pct
2023-08-02,trigger,9,1451171.5707741866,-0.10370854691406761,0.0,0,0.0,drawdown_minus_9pct
2023-08-10,trigger,12,1424710.1947741867,-0.12005196599926948,0.0,0,0.0,drawdown_minus_12pct
2023-09-07,unlock,12,1418523.0874166868,-0.12387332768766979,-0.004342712911154956,20,0.006381084065321563,20d_and_dd_within_minus_9pct
2023-12-07,trigger,6,1409666.5824988668,-0.12934339740369982,0.0,0,0.0,drawdown_minus_6pct
2024-01-05,unlock,6,1393610.4083538668,-0.13926022043500097,-0.017204556344166066,20,0.01535109631145204,20d_and_dd_within_minus_9pct
2024-03-08,trigger,6,1431625.7756626168,-0.11578067501737843,0.0,0,0.0,drawdown_minus_6pct
2024-03-25,unlock,6,1506420.219371367,-0.06958515824694878,0.0,11,0.061052797846895546,rebound_6pct
2024-05-23,trigger,6,1533084.5661826169,-0.08118933862192734,0.0,0,0.0,drawdown_minus_6pct
2024-06-07,unlock,6,1614379.5392888668,-0.03246750705822177,0.0,11,0.06037392777196504,rebound_6pct
2024-07-22,trigger,6,1506295.6814476168,-0.0972444952935746,0.0,0,0.0,drawdown_minus_6pct
2024-08-05,trigger,12,1409979.7681676168,-0.15496870042492317,0.0,0,0.0,drawdown_minus_12pct
2024-08-15,unlock,12,1496947.3932576168,-0.10284712612299729,0.0,8,0.06168005176628988,rebound_6pct
2024-09-04,trigger,6,1414994.6847269917,-0.1519631527191313,0.0,0,0.0,drawdown_minus_6pct
2024-10-07,unlock,6,1440587.7969769917,-0.1366246483000968,-0.03656708309636647,20,0.018087073065534476,20d_and_dd_within_minus_9pct
2024-11-18,trigger,6,1349831.1949757417,-0.19101703822339478,0.0,0,0.0,drawdown_minus_6pct
2024-12-10,trigger,9,1310205.1085107417,-0.21476580689268576,0.0,0,0.0,drawdown_minus_9pct
2024-12-26,unlock,9,1367184.7420194917,-0.1806166830256214,0.0,12,0.060427133778023334,rebound_6pct
2025-01-13,trigger,6,1275128.6967869918,-0.23578785731676477,0.0,0,0.0,drawdown_minus_6pct
2025-02-20,unlock,6,1320890.465855117,-0.20836184166779748,-0.004045223667780262,20,0.04335111931789282,20d_and_dd_within_minus_9pct
2025-04-07,trigger,9,1203697.010932617,-0.27859840800062763,0.0,0,0.0,drawdown_minus_9pct
2025-04-08,trigger,12,1156064.3148076169,-0.3071457106056027,0.0,0,0.0,drawdown_minus_12pct
2025-04-09,trigger,14,1129579.668807617,-0.3230185304385077,0.0,0,0.0,drawdown_minus_14pct
2025-05-08,unlock,14,1142309.714807617,-0.3153891391820569,0.0,20,0.01126971948197153,20d_and_dd_within_minus_9pct
2025-09-26,trigger,6,1310796.2486444921,-0.21441152385492046,0.0,0,0.0,drawdown_minus_6pct
2025-10-30,unlock,6,1342295.9807119921,-0.1955330547263464,0.0,20,0.03385610688502094,20d_and_dd_within_minus_9pct
2025-11-19,trigger,6,1254638.9109469922,-0.24806782809882177,0.0,0,0.0,drawdown_minus_6pct
2025-11-21,trigger,9,1237978.9109469922,-0.2580525255879329,0.0,0,0.0,drawdown_minus_9pct
2025-12-19,unlock,9,1220421.2897194922,-0.2685751868475359,-0.03821583852923882,20,0.0,20d_and_dd_within_minus_9pct
2026-02-02,trigger,9,1204912.8879694922,-0.27786970665626054,0.0,0,0.0,drawdown_minus_9pct
2026-03-12,unlock,9,1207610.8439994922,-0.276252763391046,-0.012582114737596184,20,0.01253677071219883,20d_and_dd_within_minus_9pct
