date,event,level,nav,true_drawdown,guard_cycle_drawdown,days_active,rebound_from_guard_low,reason
2021-09-28,trigger,6,938655.086943125,-0.06134491305687495,0.0,0,0.0,drawdown_minus_6pct
2021-10-27,unlock,6,928553.446285625,-0.07144655371437503,-0.010761823803030368,20,0.0,20d_and_dd_within_minus_9pct
2022-06-30,trigger,6,865038.4037906249,-0.1349615962093751,0.0,0,0.0,drawdown_minus_6pct
2022-07-28,unlock,6,859234.838990625,-0.14076516100937497,-0.006709025604607288,20,0.0,20d_and_dd_within_minus_9pct
2023-11-27,trigger,6,806439.154654375,-0.193560845345625,0.0,0,0.0,drawdown_minus_6pct
2023-12-25,unlock,6,802262.5365418751,-0.19773746345812493,-0.012173158659796623,20,0.0059737962119610355,20d_and_dd_within_minus_9pct
2025-01-14,trigger,6,776169.8067968752,-0.2238301932031248,0.0,0,0.0,drawdown_minus_6pct
2025-02-21,unlock,6,775507.6071868752,-0.22449239281312483,-0.000853163320965522,20,0.0,20d_and_dd_within_minus_9pct
2026-01-20,trigger,6,727925.7400743753,-0.27207425992562473,0.0,0,0.0,drawdown_minus_6pct
2026-02-26,unlock,6,714429.2873843753,-0.2855707126156246,-0.018540974644777553,20,0.0,20d_and_dd_within_minus_9pct
2026-07-16,trigger,6,671692.2356893754,-0.3283077643106246,0.0,0,0.0,drawdown_minus_6pct
2026-08-13,unlock,6,662421.0594893754,-0.33757894051062454,-0.013802714557932472,20,0.0,20d_and_dd_within_minus_9pct
