date,event,level,nav,true_drawdown,guard_cycle_drawdown,days_active,rebound_from_guard_low,reason
2021-01-28,trigger,6,939611.6158469999,-0.061262604708640866,0.0,0,0.0,drawdown_minus_6pct
2021-03-09,unlock,6,951272.1770169998,-0.04961289259807489,-0.011697085480483427,20,0.024437322740799017,20d_and_dd_within_minus_9pct
2021-05-06,trigger,6,888140.2623432497,-0.11268606894144051,0.0,0,0.0,drawdown_minus_6pct
2021-05-12,trigger,9,865523.2623257497,-0.135282025959909,0.0,0,0.0,drawdown_minus_9pct
2021-06-09,unlock,9,857495.9524932498,-0.1433018671328653,-0.00927451656345979,20,0.004304181092380732,20d_and_dd_within_minus_9pct
2021-07-30,trigger,6,878208.9231967499,-0.12260816790755036,0.0,0,0.0,drawdown_minus_6pct
2021-08-17,trigger,9,849597.5299467498,-0.1511929409373629,0.0,0,0.0,drawdown_minus_9pct
2021-09-09,trigger,12,824548.23960425,-0.17621892526261873,0.0,0,0.0,drawdown_minus_12pct
2021-10-12,unlock,12,822227.52319925,-0.17853748245848278,-0.002814530786111158,20,0.0,20d_and_dd_within_minus_9pct
2021-12-01,trigger,6,773268.9351023749,-0.2274505191771421,0.0,0,0.0,drawdown_minus_6pct
2021-12-29,unlock,6,764734.9136173748,-0.23597660055489078,-0.011036291641368212,20,0.0,20d_and_dd_within_minus_9pct
2022-02-24,trigger,6,715794.0778148748,-0.28487190149602126,0.0,0,0.0,drawdown_minus_6pct
2022-03-25,unlock,6,708527.725002375,-0.2921314936481737,-0.01053840166360498,20,0.0,20d_and_dd_within_minus_9pct
2022-09-28,trigger,6,663782.7231246248,-0.33683486449482125,0.0,0,0.0,drawdown_minus_6pct
2022-10-27,unlock,6,660852.300233875,-0.339762560901687,-0.004414732093290019,20,0.0010373798821599056,20d_and_dd_within_minus_9pct
2023-03-16,trigger,6,622955.9457443751,-0.37762365638467843,0.0,0,0.0,drawdown_minus_6pct
2023-04-18,unlock,6,616520.9943243751,-0.38405262068541457,-0.010329705437373882,20,0.0,20d_and_dd_within_minus_9pct
2023-07-11,trigger,6,583065.6504907501,-0.4174768374567702,0.0,0,0.0,drawdown_minus_6pct
2023-08-09,unlock,6,570941.71734325,-0.42958949042063477,-0.020793427184907287,20,0.0,20d_and_dd_within_minus_9pct
2023-10-18,trigger,6,540459.5342282502,-0.46004331272079324,0.0,0,0.0,drawdown_minus_6pct
2023-11-15,unlock,6,537244.0033657501,-0.46325585183315965,-0.005949623716217212,20,0.005902406419581618,20d_and_dd_within_minus_9pct
2024-01-16,trigger,6,516763.4687662501,-0.4837173312144871,0.0,0,0.0,drawdown_minus_6pct
2024-02-22,unlock,6,505862.75900975,-0.49460789888208634,-0.02109419573044724,20,0.003284213071290454,20d_and_dd_within_minus_9pct
2024-04-15,trigger,6,474225.02023525,-0.5262162017054932,0.0,0,0.0,drawdown_minus_6pct
2024-05-14,unlock,6,474749.59430274984,-0.5256921157050043,-0.016790892871080043,20,0.009812803367837963,20d_and_dd_within_minus_9pct
2024-07-11,trigger,6,446053.91901387484,-0.5543610923571527,0.0,0,0.0,drawdown_minus_6pct
2024-08-05,trigger,9,429520.0966673747,-0.5708795315313773,0.0,0,0.0,drawdown_minus_9pct
2024-09-02,unlock,9,425088.5654586247,-0.5753069396156254,-0.010317401311682683,20,0.00011490692710736106,20d_and_dd_within_minus_9pct
2024-11-07,trigger,6,408835.47616362467,-0.5915449069341463,0.0,0,0.0,drawdown_minus_6pct
2024-12-04,trigger,9,397371.84135562455,-0.602997875904238,0.0,0,0.0,drawdown_minus_9pct
2025-01-02,unlock,9,394447.5521906246,-0.6059194442922109,-0.012231153790339122,20,0.0,20d_and_dd_within_minus_9pct
2025-06-20,trigger,6,382499.9940453744,-0.6178558863542368,0.0,0,0.0,drawdown_minus_6pct
2025-06-30,trigger,9,371901.8351259994,-0.6284441846799123,0.0,0,0.0,drawdown_minus_9pct
2025-07-28,unlock,9,369184.5260834994,-0.6311589655209927,-0.007306522275103533,20,0.0010846442074130547,20d_and_dd_within_minus_9pct
2025-09-11,trigger,6,365767.9384289994,-0.6345723743608556,0.0,0,0.0,drawdown_minus_6pct
2025-10-14,unlock,6,359873.5452559995,-0.6404612833533835,-0.030706170797664245,20,0.001001353091560686,20d_and_dd_within_minus_9pct
2025-11-17,trigger,6,336881.6907084995,-0.6634317461348402,0.0,0,0.0,drawdown_minus_6pct
2025-12-15,unlock,6,329759.21901349956,-0.6705475910373893,-0.0223779139774698,20,3.6596297937840916e-05,20d_and_dd_within_minus_9pct
