decision_date,code,layer,reason,limit,stop,reward,expected_rr
2021-01-14,1568,short,expected_rr_below_1p5,30.968,27.503999999999998,33.445440000000005,0.7151963048498855
2021-01-15,4938,swing,expected_rr_below_1p5,78.792,64.214,90.6108,0.8107284949924539
2021-01-18,1524,short,expected_rr_below_1p5,11.515,10.799999999999999,12.436200000000001,1.2883916083916065
2021-01-29,2722,swing,expected_rr_below_1p5,27.439999999999998,23.8135,31.555999999999994,1.1349786295326072
2021-01-29,2302,swing,expected_rr_below_1p5,21.56,19.4,24.793999999999997,1.4972222222222213
2021-01-29,2399,swing,expected_rr_below_1p5,15.337,13.192,17.637549999999997,1.0725174825174817
2021-02-01,2302,swing,expected_rr_below_1p5,22.54,19.4,25.920999999999996,1.0767515923566866
2021-02-02,5531,swing,expected_rr_below_1p5,14.062999999999999,12.4645,16.172449999999998,1.3196434157022205
2021-02-03,6485,short,expected_rr_below_1p5,52.92,49.92,57.153600000000004,1.411200000000001
2021-02-04,6485,short,expected_rr_below_1p5,54.782,49.92,59.16456,0.9013903743315528
2021-02-22,8422,swing,expected_rr_below_1p5,158.76,15.326,182.57399999999998,0.16602758062941836
2021-02-24,2465,short,expected_rr_below_1p5,25.48,23.232,27.518400000000003,0.9067615658362997
2021-03-09,3046,swing,expected_rr_below_1p5,16.415,14.453,18.877249999999997,1.2549694189602434
2021-03-25,2353,short,expected_rr_below_1p5,31.311,28.128,33.81588,0.7869557021677663
2021-04-01,6116,short,expected_rr_below_1p5,15.386,14.544,16.616880000000002,1.4618527315914542
2021-04-06,2323,short,expected_rr_below_1p5,10.29,9.571200000000001,11.113199999999999,1.1452420701168644
2021-04-07,6116,short,expected_rr_below_1p5,16.072,14.544,17.35776,0.841465968586388
2021-04-08,2323,short,expected_rr_below_1p5,10.878,9.571200000000001,11.748240000000001,0.6659320477502306
2021-04-16,3236,short,expected_rr_below_1p5,32.683,30.912000000000003,35.29764,1.4763636363636394
2021-04-20,8422,swing,expected_rr_below_1p5,173.95,16.635499999999997,200.04249999999996,0.16586201526242003
2021-04-21,2109,short,expected_rr_below_1p5,25.186,21.503999999999998,27.20088,0.5472243346007606
2021-05-06,8422,swing,expected_rr_below_1p5,173.95,16.683999999999997,200.04249999999996,0.1659131662279194
2021-05-07,8422,swing,expected_rr_below_1p5,175.42,16.683999999999997,201.73299999999998,0.16576579981856662
2021-06-18,4807,swing,expected_rr_below_1p5,25.872,22.8435,29.752799999999997,1.281426448736997
2021-06-21,4807,swing,expected_rr_below_1p5,26.754,22.8435,30.7671,1.0262370540851542
2021-06-24,1903,short,expected_rr_below_1p5,71.344,66.72,77.05152,1.2343252595155727
2021-06-25,1736,swing,expected_rr_below_1p5,83.78999999999999,74.884,96.35849999999998,1.4112396137435435
2021-06-28,1903,short,expected_rr_below_1p5,71.05,66.72,76.73400000000001,1.3127020785219432
2021-06-29,0050,swing,expected_rr_below_1p5,134.84799999999998,32.66475,155.07519999999997,0.19795025114194337
2021-07-13,2439,swing,expected_rr_below_1p5,113.19,101.365,130.1685,1.4358139534883714
2021-07-14,2308,swing,expected_rr_below_1p5,316.54,281.3,364.021,1.3473609534619746
2021-07-15,3122,short,expected_rr_below_1p5,50.47,45.696,54.507600000000004,0.8457478005865111
2021-08-18,2012,swing,expected_rr_below_1p5,30.723000000000003,30.9915,35.33145,-inf
2021-08-20,2383,swing,expected_rr_below_1p5,230.79,198.85,265.40849999999995,1.083860363180963
2021-08-20,5285,swing,expected_rr_below_1p5,108.78,97.485,125.097,1.4446215139442222
2021-08-24,8422,swing,expected_rr_below_1p5,165.62,16.198999999999998,190.463,0.1662617704338747
2021-09-01,6108,short,expected_rr_below_1p5,25.430999999999997,24.0,27.46548,1.4217190775681383
2021-09-10,8429,swing,expected_rr_below_1p5,12.690999999999999,11.251999999999999,14.594649999999998,1.322897845726198
2021-09-15,1721,swing,expected_rr_below_1p5,10.241,8.7106,11.777149999999999,1.0037571876633553
2021-09-16,1721,swing,expected_rr_below_1p5,11.220999999999998,8.7106,12.904149999999998,0.6704708413001913
2021-11-02,1609,swing,expected_rr_below_1p5,27.195,23.8135,31.27425,1.2063433387549902
2021-11-02,2614,swing,expected_rr_below_1p5,34.741,29.051499999999997,39.952149999999996,0.9159240706564714
2021-11-18,2497,short,expected_rr_below_1p5,43.12,40.176,46.5696,1.1717391304347857
2021-11-22,3380,short,expected_rr_below_1p5,30.233,28.128,32.65164,1.1489976247030875
2021-11-22,3018,swing,expected_rr_below_1p5,17.884999999999998,15.326,20.567749999999997,1.0483587338804226
2021-12-01,6138,short,expected_rr_below_1p5,262.64,239.04,283.6512,0.8903050847457642
2021-12-07,4763,swing,expected_rr_below_1p5,100.45,9.5642,115.5175,0.16578497411036702
2021-12-14,4994,swing,expected_rr_below_1p5,57.428,50.245999999999995,66.0422,1.1994152046783617
2021-12-14,8101,swing,expected_rr_below_1p5,2.6852,2.3183000000000002,3.08798,1.0977923139820118
2021-12-17,2504,swing,expected_rr_below_1p5,29.008,25.802,33.359199999999994,1.3572052401746713
2021-12-23,0050,swing,expected_rr_below_1p5,139.797,33.464999999999996,160.76655,0.19720827220404016
2022-03-04,1597,swing,expected_rr_below_1p5,87.906,77.794,101.0919,1.3039853639240484
2022-03-07,1615,swing,expected_rr_below_1p5,34.104,30.555,39.21959999999999,1.4414201183431936
2022-03-07,1597,swing,expected_rr_below_1p5,88.102,77.794,101.3173,1.2820430733410932
2022-03-10,5538,swing,expected_rr_below_1p5,61.936,53.447,71.2264,1.0944045235010014
2022-03-11,9933,swing,expected_rr_below_1p5,43.266999999999996,38.460499999999996,49.75704999999999,1.3502652657859142
2022-03-11,1513,swing,expected_rr_below_1p5,44.638999999999996,39.964,51.33484999999999,1.4322673796791439
2022-03-18,3708,swing,expected_rr_below_1p5,97.02,85.457,111.573,1.258583412609184
2022-03-22,1513,short,expected_rr_below_1p5,53.802,50.784,58.10616,1.426163021868788
2022-03-23,2812,short,expected_rr_below_1p5,14.749,13.871999999999998,15.928920000000002,1.3454047890535892
2022-03-23,6431,swing,expected_rr_below_1p5,29.546999999999997,26.481,33.979049999999994,1.4455479452054805
2022-03-24,3308,swing,expected_rr_below_1p5,17.395,13.774,20.00425,0.7205882352941174
2022-03-28,3558,short,expected_rr_below_1p5,142.59,133.44,153.99720000000002,1.246688524590165
2022-03-30,4551,swing,expected_rr_below_1p5,152.88,137.255,175.81199999999998,1.4676479999999992
2022-04-06,2613,swing,expected_rr_below_1p5,40.131,33.270999999999994,46.15065,0.877499999999999
2022-04-11,2030,swing,expected_rr_below_1p5,37.24,31.525,42.826,0.9774278215223089
2022-04-12,4426,swing,expected_rr_below_1p5,23.324,20.952,26.8226,1.4749578414839797
2022-04-22,6806,short,expected_rr_below_1p5,119.56,112.8,129.12480000000002,1.4149112426035522
2022-04-27,1589,swing,expected_rr_below_1p5,71.05,60.237,81.7075,0.985619162119671
2022-04-29,6205,swing,expected_rr_below_1p5,84.28,74.496,96.922,1.29210956663941
2022-05-04,3703,swing,expected_rr_below_1p5,28.273,25.22,32.513949999999994,1.3891090730429063
2022-05-05,3703,swing,expected_rr_below_1p5,30.184,25.22,34.7116,0.9120870265914574
2022-05-11,8499,swing,expected_rr_below_1p5,107.31,108.64,123.4065,-inf
2022-05-19,1432,swing,expected_rr_below_1p5,13.377,9.893999999999998,15.38355,0.5760981912144696
2022-06-02,1735,swing,expected_rr_below_1p5,16.219,16.296,18.65185,-inf
2022-06-09,1611,swing,expected_rr_below_1p5,19.6,17.1205,22.54,1.1857229280096777
2022-06-10,6133,short,expected_rr_below_1p5,11.27,10.655999999999999,12.1716,1.4684039087947867
2022-06-13,6541,swing,expected_rr_below_1p5,56.938,50.925,65.4787,1.420372526193247
2022-07-05,2820,swing,expected_rr_below_1p5,15.924999999999999,16.150499999999997,18.31375,-inf
2022-07-06,1218,swing,expected_rr_below_1p5,33.858999999999995,28.615,38.93784999999999,0.9685068649885582
2022-07-06,8454,swing,expected_rr_below_1p5,735.98,618.86,846.377,0.9425973360655732
2022-07-06,2929,swing,expected_rr_below_1p5,13.572999999999999,12.0765,15.608949999999997,1.3604744403608413
2022-07-13,6283,swing,expected_rr_below_1p5,29.351,25.996,33.75364999999999,1.3122652757078968
2022-07-14,2241,swing,expected_rr_below_1p5,31.605,28.421,36.345749999999995,1.4889290201005003
2022-07-14,6283,swing,expected_rr_below_1p5,29.743000000000002,25.996,34.20445,1.190672538030423
2022-07-20,1514,short,expected_rr_below_1p5,37.24,35.136,40.21920000000001,1.4159695817490527
2022-07-29,1513,swing,expected_rr_below_1p5,57.036,51.312999999999995,65.5914,1.494915254237285
2022-08-05,1476,swing,expected_rr_below_1p5,439.03999999999996,389.94,504.8959999999999,1.3412627291242358
2022-08-17,6426,short,expected_rr_below_1p5,82.516,75.744,89.11728000000001,0.9747903130537503
2022-08-18,6426,short,expected_rr_below_1p5,84.77,75.744,91.55160000000001,0.7513405716818097
2022-08-24,1314,swing,expected_rr_below_1p5,10.878,9.6418,12.509699999999999,1.3199320498301232
2022-08-25,6117,short,expected_rr_below_1p5,21.462,19.823999999999998,23.17896,1.0482051282051272
2022-08-29,6666,swing,expected_rr_below_1p5,71.148,52.962,81.82019999999999,0.5868360277136255
2022-09-01,6792,swing,expected_rr_below_1p5,93.786,80.31599999999999,107.8539,1.0443875278396422
2022-09-07,3703,short,expected_rr_below_1p5,32.242,30.24,34.82136,1.2883916083916096
2022-09-13,2376,swing,expected_rr_below_1p5,91.042,76.92099999999999,104.69829999999999,0.9670915657531322
2022-09-13,2404,swing,expected_rr_below_1p5,173.46,148.89499999999998,199.47899999999998,1.0591899043354345
2022-09-21,2368,swing,expected_rr_below_1p5,91.82600000000001,75.175,105.5999,0.8272115788841504
2022-09-21,3011,swing,expected_rr_below_1p5,15.533,13.871,17.862949999999998,1.4018953068592057
2022-09-29,1805,swing,expected_rr_below_1p5,11.172,11.2035,12.8478,-inf
2022-10-11,3481,swing,expected_rr_below_1p5,11.220999999999998,10.088,12.904149999999998,1.485569285083849
2022-10-13,3481,swing,expected_rr_below_1p5,11.368,10.088,13.0732,1.3321874999999985
2022-10-13,2358,swing,expected_rr_below_1p5,14.7,13.046499999999998,16.904999999999998,1.3335349259147244
2022-10-17,8016,swing,expected_rr_below_1p5,174.44,150.35,200.606,1.0861768368617681
2022-10-17,1342,swing,expected_rr_below_1p5,80.948,69.74300000000001,93.09019999999998,1.0836412315930393
2022-10-17,3454,swing,expected_rr_below_1p5,140.14,119.795,161.16099999999997,1.033226837060703
2022-10-21,2062,swing,expected_rr_below_1p5,22.54,19.9335,25.920999999999996,1.2971417609821585
2022-10-28,6669,swing,expected_rr_below_1p5,719.3199999999999,598.49,827.2179999999998,0.8929735992717038
2022-11-01,2492,swing,expected_rr_below_1p5,79.87,69.74300000000001,91.8505,1.183025575195023
2022-11-02,4142,swing,expected_rr_below_1p5,34.153,30.700499999999998,39.275949999999995,1.4838377986965952
2022-11-03,4155,swing,expected_rr_below_1p5,24.401999999999997,21.6795,28.062299999999993,1.3444628099173555
2022-11-04,2913,swing,expected_rr_below_1p5,22.148,19.6425,25.4702,1.325962881660346
2022-11-21,1736,swing,expected_rr_below_1p5,71.932,61.885999999999996,82.7218,1.0740394186740985
2022-11-22,1736,swing,expected_rr_below_1p5,76.342,61.885999999999996,87.79329999999999,0.7921485888212497
2022-12-07,2236,swing,expected_rr_below_1p5,21.756,19.4,25.019399999999997,1.3851443123938858
2022-12-28,4968,swing,expected_rr_below_1p5,121.03,106.215,139.18449999999999,1.225413432332095
2023-01-16,6782,swing,expected_rr_below_1p5,315.56,275.965,362.89399999999995,1.1954539714610408
2023-02-16,2610,swing,expected_rr_below_1p5,20.58,18.0905,23.666999999999994,1.2400080337417139
2023-03-09,6139,short,expected_rr_below_1p5,45.961999999999996,42.528,49.63896,1.0707513104251614
2023-03-20,1529,swing,expected_rr_below_1p5,26.509,22.31,30.485349999999997,0.9469754703500821
2023-03-23,0050,swing,expected_rr_below_1p5,119.413,28.384625,137.32494999999997,0.19677325888768174
2023-03-31,2731,short,expected_rr_below_1p5,147.98,136.32,159.8184,1.0153001715265875
2023-04-28,2424,swing,expected_rr_below_1p5,23.275,20.855,26.766249999999996,1.4426652892561984
2023-05-02,8422,swing,expected_rr_below_1p5,188.16,17.9935,216.384,0.16586108311565434
2023-05-10,8085,short,expected_rr_below_1p5,35.28,32.303999999999995,38.1024,0.9483870967741922
2023-05-11,8085,short,expected_rr_below_1p5,36.75,32.303999999999995,39.690000000000005,0.6612685560053985
2023-05-12,8081,swing,expected_rr_below_1p5,187.67,168.78,215.82049999999998,1.4902329274748551
2023-05-31,2514,swing,expected_rr_below_1p5,18.179000000000002,16.102,20.90585,1.3128791526239754
2023-05-31,6215,swing,expected_rr_below_1p5,29.694,25.898999999999997,34.1481,1.1736758893280628
2023-06-02,6409,short,expected_rr_below_1p5,1960.0,1800.0,2116.8,0.9800000000000011
2023-06-05,6409,short,expected_rr_below_1p5,2028.6,1800.0,2190.888,0.70992125984252
2023-06-21,3481,short,expected_rr_below_1p5,16.169999999999998,14.975999999999999,17.4636,1.0834170854271377
2023-07-04,6591,swing,expected_rr_below_1p5,51.744,51.797999999999995,59.505599999999994,-inf
2023-07-24,4989,swing,expected_rr_below_1p5,28.714,25.4625,33.0211,1.3246501614639392
2023-07-26,1442,swing,expected_rr_below_1p5,34.446999999999996,30.555,39.61404999999999,1.327607913669065
2023-09-25,6139,swing,expected_rr_below_1p5,99.47,84.681,114.39049999999999,1.0088917438636817
2023-09-25,2368,swing,expected_rr_below_1p5,206.78,184.29999999999998,237.797,1.379759786476867
2023-09-26,6139,swing,expected_rr_below_1p5,109.27,84.681,125.66049999999998,0.6665785513847651
2023-10-03,3122,short,expected_rr_below_1p5,38.563,33.792,41.64804000000001,0.6466233494026422
2023-10-03,4967,swing,expected_rr_below_1p5,71.05,63.05,81.7075,1.3321874999999999
2023-10-04,3530,swing,expected_rr_below_1p5,79.478,70.422,91.39969999999998,1.3164421378091862
2023-10-06,9802,swing,expected_rr_below_1p5,131.32,115.42999999999999,151.01799999999997,1.2396475770925097
2023-10-20,1721,swing,expected_rr_below_1p5,14.308,12.706999999999999,16.4542,1.3405371642723294
