execute_date,decision_date,side,code,layer,cash_pool,shares,raw_price,fill_price,commission,tax,reason,expected_rr
2021-04-22,2021-04-21,BUY,6152,short,shared_1m_account,14900,13.8,13.377,284.02715250000006,0.0,signal,1.5179574468085086
2021-04-26,2021-04-23,SELL,6152,short,shared_1m_account,14900,13.1,12.838,272.582835,573.8585999999999,box_failure_two_closes_inside,
2021-04-27,2021-04-26,BUY,2065,short,shared_1m_account,3400,59.0,57.623999999999995,279.18827999999996,0.0,signal,1.7622018348623865
2021-04-29,2021-04-28,SELL,2065,short,shared_1m_account,3400,56.1,54.978,266.36841000000004,560.7756,ma3_break,
2021-05-06,2021-05-05,BUY,1460,short,shared_1m_account,17900,10.85,10.90425,278.140156875,0.0,signal,4.953846153846193
2021-05-07,2021-05-06,SELL,1460,short,shared_1m_account,17900,10.35,10.142999999999999,258.7225725,544.6791,box_failure_volume_below_minus_4pct,
2021-07-16,2021-07-15,BUY,3591,short,shared_1m_account,7100,27.6,26.95,272.666625,0.0,signal,3.919999999999999
2021-07-21,2021-07-20,SELL,3591,short,shared_1m_account,7100,25.9,25.381999999999998,256.80238499999996,540.6365999999999,box_failure_volume_below_minus_4pct,
2021-07-30,2021-07-29,BUY,2379,short,shared_1m_account,300,594.0,587.02,250.95105,0.0,signal,2.0834782608695726
2021-08-03,2021-08-02,SELL,2379,short,shared_1m_account,300,607.0,594.86,254.30265,535.374,ma3_break,
2021-08-04,2021-08-03,BUY,6552,short,shared_1m_account,2400,78.4,77.51799999999999,265.11155999999994,0.0,signal,1.929508400746744
2021-08-05,2021-08-04,SELL,6552,short,shared_1m_account,2400,78.0,76.44,261.4248,550.368,flow_cools,
2021-09-27,2021-09-24,BUY,3306,short,shared_1m_account,6300,30.4,29.791999999999998,267.45768,0.0,signal,3.385454545454559
2021-09-29,2021-09-28,SELL,3306,short,shared_1m_account,6300,26.85,26.313000000000002,236.22495750000004,497.3157000000001,box_failure_two_closes_inside,
2021-11-12,2021-11-11,BUY,1476,short,shared_1m_account,200,660.0,644.84,183.7794,0.0,signal,1.5482352941176463
2021-11-16,2021-11-15,SELL,1476,short,shared_1m_account,200,645.0,632.1,180.1485,379.26,ma3_break,
2021-12-06,2021-12-03,BUY,2408,short,shared_1m_account,2300,79.0,77.22399999999999,253.10165999999998,0.0,signal,1.6751409978308016
2021-12-07,2021-12-06,SELL,2408,short,shared_1m_account,2300,77.9,76.342,250.21090500000003,526.7598,flow_cools,
2022-01-03,2021-12-30,BUY,2461,short,shared_1m_account,7400,25.65,24.892,262.48614,0.0,signal,4.833398058252439
2022-01-05,2022-01-04,SELL,2461,short,shared_1m_account,7400,23.9,23.421999999999997,246.98498999999998,519.9684,box_failure_two_closes_inside,
2022-01-07,2022-01-06,BUY,8038,short,shared_1m_account,3900,47.6,46.648,259.24626,0.0,signal,3.2620979020978913
2022-01-10,2022-01-07,SELL,8038,short,shared_1m_account,3900,44.2,43.316,240.72867000000005,506.7972000000001,box_failure_volume_below_minus_4pct,
2022-01-20,2022-01-19,BUY,8155,short,shared_1m_account,900,189.0,185.71,238.173075,0.0,signal,1.6380154355016523
2022-01-24,2022-01-21,SELL,8155,short,shared_1m_account,900,177.5,173.95,223.090875,469.665,box_failure_volume_below_minus_4pct,
2022-03-16,2022-03-15,BUY,2006,short,shared_1m_account,1600,80.4,78.106,178.08168,0.0,signal,1.9963194888178855
2022-03-18,2022-03-17,SELL,2006,short,shared_1m_account,1600,79.2,77.616,176.96448,372.5568,flow_cools,
2022-04-26,2022-04-25,BUY,6806,short,shared_1m_account,1100,119.0,116.62,182.80185,0.0,signal,2.442303664921465
2022-04-29,2022-04-28,SELL,6806,short,shared_1m_account,1100,115.5,113.19,177.42532500000002,373.527,ma3_break,
2022-05-03,2022-04-29,BUY,3712,short,shared_1m_account,3800,34.75,33.908,183.61182000000002,0.0,signal,2.1393059936908507
2022-05-05,2022-05-04,SELL,3712,short,shared_1m_account,3800,33.95,33.271,180.162465,379.2894,box_failure_two_closes_inside,
2022-06-30,2022-06-29,BUY,3444,short,shared_1m_account,2000,65.6,64.288,183.2208,0.0,signal,2.0089999999999977
2022-07-01,2022-06-30,SELL,3444,short,shared_1m_account,2000,57.6,56.448,160.8768,338.688,box_failure_volume_below_minus_4pct,
2022-08-10,2022-08-09,BUY,3234,short,shared_1m_account,4600,27.6,27.685,181.475175,0.0,signal,1.723579766536965
2022-08-12,2022-08-11,SELL,3234,short,shared_1m_account,4600,26.75,26.215,171.839325,361.767,box_failure_two_closes_inside,
2022-09-15,2022-09-14,BUY,3413,short,shared_1m_account,300,221.5,212.17,90.702675,0.0,signal,1.7662434963579636
2022-09-19,2022-09-16,SELL,3413,short,shared_1m_account,300,211.5,207.27,88.60792500000001,186.543,ma3_break,
2023-02-06,2023-02-03,BUY,2337,short,shared_1m_account,4600,36.8,36.505,239.290275,0.0,signal,1.930204890945145
2023-02-07,2023-02-06,SELL,2337,short,shared_1m_account,4600,36.2,35.476,232.54518000000002,489.5688,flow_cools,
