strategy,year,start_nav,end_nav,year_return,year_max_drawdown
short_layer,2021,1000000.0,922203.586020625,-0.07779641397937509,-0.07779641397937509
short_layer,2022,921260.299880625,849921.903890625,-0.07743565634950711,-0.07743565634950711
short_layer,2023,849921.903890625,808378.2068718751,-0.04887942860229677,-0.061680326496793225
short_layer,2024,808378.2068718751,788813.2443218752,-0.024202733799206566,-0.044943186966488025
short_layer,2025,788813.2443218752,740895.8852343754,-0.06074613913042659,-0.06074613913042659
short_layer,2026,740895.8852343754,662421.0594893754,-0.10591883057924545,-0.10591883057924545
swing_layer,2021,1000000.0,765014.9136173748,-0.23498508638262516,-0.23597660055489078
swing_layer,2022,764594.9136173748,657610.839456375,-0.1399225554023732,-0.14133757221681698
swing_layer,2023,657610.839456375,535555.4571797501,-0.1856042737639848,-0.18820413442041228
swing_layer,2024,534385.4571797501,394447.5521906246,-0.26186697843099216,-0.26186697843099216
swing_layer,2025,394447.5521906246,328127.02537099953,-0.16813522216402133,-0.19750420120436973
swing_layer,2026,325376.21888099954,322349.4382134995,-0.009302402855099312,-0.009302402855099312
large_layer,2021,1000000.0,1339643.777220208,0.3396437772202079,-0.2225207835376377
large_layer,2022,1316828.777220208,1244156.6494333332,-0.05518722634561779,-0.12258730834278941
large_layer,2023,1229691.6494333332,1411170.4083538668,0.14758070367003207,-0.15227374777859803
large_layer,2024,1401840.4083538668,1320956.3378194917,-0.05769848696925095,-0.22730823186772753
large_layer,2025,1337911.3378194917,1190171.2897194922,-0.11042588841558376,-0.17472950450961777
large_layer,2026,1213891.2897194922,1186587.0852794922,-0.022493121642144343,-0.1111116563192508
combined_three_layer,2021,1000000.0,810252.9300114731,-0.18974706998852686,-0.3110657204036018
combined_three_layer,2022,808881.0109314731,709074.9280445498,-0.12338784263459324,-0.1390608052404424
combined_three_layer,2023,706399.9280445498,651792.4828372989,-0.07730386575550019,-0.18031585331051447
combined_three_layer,2024,647572.4828372989,740363.2118760486,0.1432901049658455,-0.15822445595576662
combined_three_layer,2025,740568.9874810486,584302.2010561734,-0.21100908769674087,-0.22321065986735877
combined_three_layer,2026,595281.1257361734,532108.8696861734,-0.10612171849372176,-0.15010998330433833
0050_BH,2021,1016004.5065,1187319.5065000001,0.1686163780809964,-0.11451760092748176
0050_BH,2022,1194609.5065000001,901389.5065,-0.2454525921688704,-0.36124275448059184
0050_BH,2023,905844.5065,1105914.5065000001,0.22086572095362156,-0.08325042345944578
0050_BH,2024,1101459.5065000001,1594344.5065000001,0.4474835407850737,-0.21586335110706478
0050_BH,2025,1580574.5065000001,2134209.5065,0.35027453481200377,-0.28323558484794076
0050_BH,2026,2177949.5065,3473949.5065,0.595055117729838,-0.15840867753860277
