decision_date,execute_date,side,code,shares,limit_price,filled,reason,fill_price,target_cash
20210104,20210105,BUY,2415,9000,29.150000000000002,False,LIMIT_NOT_TOUCHED,,
20210104,20210105,BUY,2611,22000,12.700000000000001,False,LIMIT_NOT_TOUCHED,,
20210104,20210105,BUY,5243,4000,68.2,False,LIMIT_NOT_TOUCHED,,
20210104,20210105,BUY,2201,5000,49.85,True,R10_FIXED_T1_LIMIT,49.85,286000.0
20210104,20210105,BUY,2426,9000,18.05,True,R10_FIXED_T1_LIMIT,17.8,171200.0
20210105,20210106,BUY,3380,7000,35.2,False,LIMIT_NOT_TOUCHED,,
20210105,20210106,BUY,8215,8000,30.5,True,R10_FIXED_T1_LIMIT,30.5,258569.98405
20210106,20210107,BUY,6141,7000,32.75,True,R10_FIXED_T1_LIMIT,32.75,255098.26004999998
20210112,20210113,SELL,2201,5000,,True,R7_RANK_EXIT,44.75,
20210112,20210113,SELL,8215,8000,,True,R05_HARD_STOP,27.05,
20210112,20210113,BUY,1533,4000,54.1,True,R10_FIXED_T1_LIMIT,53.0,228288.71951049997
20210112,20210113,BUY,1524,16000,12.100000000000001,True,R10_FIXED_T1_LIMIT,12.05,199960.26949999982
20210112,20210113,BUY,1593,56,109.0,False,LIMIT_NOT_TOUCHED,,
20210113,20210114,SELL,1524,16000,,True,R7_RANK_EXIT,11.8,
20210113,20210114,BUY,6531,474,571.0,False,LIMIT_NOT_TOUCHED,,
20210113,20210114,BUY,4760,1000,124.5,False,LIMIT_NOT_TOUCHED,,
20210114,20210115,BUY,2460,12000,20.650000000000002,True,R10_FIXED_T1_LIMIT,20.55,249294.91704999996
20210115,20210118,BUY,2328,7000,39.2,False,LIMIT_NOT_TOUCHED,,
20210120,20210121,SELL,6141,7000,,True,R05_HARD_STOP,29.35,
20210125,20210126,SELL,1533,4000,,True,R7_RANK_EXIT,60.6,
20210125,20210126,BUY,8033,15000,18.95,False,LIMIT_NOT_TOUCHED,,
20210125,20210126,BUY,8024,14000,19.900000000000002,False,LIMIT_NOT_TOUCHED,,
