strategy,code,name,entry_date,exit_date,shares,buy_price,sell_open,sell_price,net_pnl,net_return,hold_sessions,exit_reason
R7,2201,裕隆,20210105,20210113,5000,49.85,45.0,44.75,-26575.665000000008,-0.10653144319881329,6,R7_RANK_EXIT
R0.5,8215,明基材,20210106,20210113,8000,30.5,27.2,27.05,-28642.842000000004,-0.11728841512637844,5,R05_HARD_STOP
R7,1524,耿鼎,20210113,20210114,16000,12.05,11.9,11.8,-4892.668000000005,-0.02535522999204977,1,R7_RANK_EXIT
R0.5,6141,柏承,20210107,20210121,7000,32.75,29.5,29.35,-24788.018500000006,-0.10803421090235027,10,R05_HARD_STOP
R7,1533,車王電,20210113,20210126,4000,53.0,61.0,60.6,29284.28799999997,0.13801543076895656,9,R7_RANK_EXIT
R7,3680,家登,20210126,20210201,89,362.0,348.0,346.0,-1570.2572600000021,-0.04869687246133844,4,R7_RANK_EXIT
R7,8033,雷虎,20210201,20210203,13000,21.45,19.0,18.900000000000002,-34335.59024999995,-0.12302764353261161,2,R7_RANK_EXIT
R7,4576,大銀微系統,20210203,20210205,658,123.5,133.5,132.5,5516.421960000007,0.06782557188907136,2,R7_RANK_EXIT
R7,6485,點序,20210201,20210205,5000,47.7,54.8,54.5,32745.595,0.13718080265691493,4,R7_EXPOSURE_EXIT
R7,4152,台微體,20210205,20210217,1000,79.9,79.5,79.10000000000001,-1173.2449999999808,-0.014671373372512196,1,R7_RANK_EXIT
R7,3078,僑威,20210225,20210302,4000,60.7,58.7,58.400000000000006,-10308.121999999974,-0.04241892950884479,2,R7_RANK_EXIT
R7,6541,泰福-KY,20210225,20210312,5000,53.0,62.5,62.1,44076.44750000001,0.16618412955036654,10,R7_RANK_EXIT
R7,8040,九暘,20210318,20210330,5000,47.2,59.1,58.800000000000004,56664.850000000006,0.23990018195459833,8,R7_RANK_EXIT
R0.5,2426,鼎元,20210105,20210413,9000,17.8,29.8,29.650000000000002,105484.32225,0.6578914494399424,60,R05_MAX_HOLD_60
R7,2010,春源,20210413,20210423,18000,19.75,24.85,24.700000000000003,87082.11450000008,0.24474746243860257,8,R7_RANK_EXIT
R7,4726,永昕,20210413,20210423,6000,48.4,42.85,42.6,-36033.630000000005,-0.12397674781450291,8,R7_RANK_EXIT
R7,2014,中鴻,20210413,20210423,1000,28.4,35.95,35.75,7187.901749999997,0.2528789205651702,8,R7_RANK_EXIT
R7,5864,致和證,20210423,20210504,12000,23.4,27.0,26.85,39917.83500000002,0.14203609119331187,6,R7_RANK_EXIT
R7,6015,宏遠證,20210423,20210504,104,22.05,22.65,22.5,35.8186139999998,0.015606146540626043,6,R7_RANK_EXIT
R7,2609,陽明,20210504,20210505,4000,85.9,81.7,81.2,-20345.88200000004,-0.05916327453880262,1,R7_RANK_EXIT
R0.5,2353,宏碁,20210128,20210507,9000,26.25,35.5,35.300000000000004,80023.27275000009,0.33843348698767356,60,R05_MAX_HOLD_60
R7,1441,大東,20210505,20210510,22000,15.3,13.45,13.350000000000001,-44320.0064999999,-0.13155717547771137,3,R7_HARD_STOP
R0.5,2460,建通,20210115,20210513,12000,20.55,30.45,30.25,114789.79200000002,0.4650921758733267,73,R05_MEGA_TRAIL
R7,2495,普安,20210504,20210513,1000,23.2,24.0,23.85,538.2222500000025,0.023179416512674876,7,R7_REGIME_EXIT
R0.5,2889,國票金,20210510,20210518,20000,17.9,15.9,15.8,-43524.27000000002,-0.12147231435558356,6,R05_HARD_STOP
R7,5475,德宏,20210531,20210617,7000,21.15,26.5,26.35,35562.36249999999,0.23999988284248638,12,R7_RANK_EXIT
R7,2615,萬海,20210531,20210617,1000,151.0,210.5,209.0,57065.19999999998,0.37759239029437763,12,R7_RANK_EXIT
R7,2614,東森,20210617,20210622,11000,27.9,38.0,37.800000000000004,107034.69150000002,0.34846287069716686,3,R7_RANK_EXIT
R7,2636,台驊投控,20210622,20210624,1000,201.0,192.0,191.0,-10908.160000000003,-0.054223091992664695,2,R7_RANK_EXIT
R7,6640,均華,20210624,20210708,2000,140.5,177.0,176.0,69402.78499999997,0.24677400822296927,10,R7_RANK_EXIT
R7,2481,強茂,20210624,20210708,5000,73.0,95.4,94.9,107358.72749999998,0.29388223069275765,10,R7_RANK_EXIT
R7,2851,中再保,20210708,20210712,11000,39.75,35.0,34.800000000000004,-56299.542749999964,-0.1286482510283895,2,R7_HARD_STOP
R7,3268,海德威,20210708,20210712,2000,44.5,42.3,42.050000000000004,-5300.300499999983,-0.05950306308331077,2,R7_RANK_EXIT
R7,6573,虹揚-KY,20210713,20210714,13000,32.2,30.4,30.200000000000003,-27871.37599999999,-0.06652548096222446,1,R7_RANK_EXIT
R7,8110,華東,20210714,20210716,16000,25.45,21.5,21.35,-67265.02400000003,-0.16504803913282834,2,R7_HARD_STOP
R7,2614,東森,20210714,20210719,6000,63.8,46.15,45.900000000000006,-108788.96099999995,-0.2839499109139427,3,R7_HARD_STOP
R0.5,2891,中信金,20210429,20210726,15000,23.1,23.0,22.85,-5367.558750000026,-0.015477556732284015,60,R05_MAX_HOLD_60
R7,6727,亞泰金屬,20210720,20210726,1000,100.5,120.0,119.0,17955.3275,0.17850735133898327,4,R7_RANK_EXIT
R7,6104,創惟,20210720,20210727,1000,108.0,133.5,132.5,23896.872499999998,0.22107831600278058,5,R7_RANK_EXIT
R7,6226,光鼎,20210726,20210727,10000,16.7,16.8,16.7,-786.570000000007,-0.004705976390186432,1,R7_RANK_EXIT
R7,3556,禾瑞亞,20210727,20210729,1000,108.0,103.0,102.0,-6485.550000000003,-0.06000008881295384,2,R7_RANK_EXIT
R7,6525,捷敏-KY,20210727,20210729,1000,120.0,115.5,114.5,-6043.997500000012,-0.050323619138969614,2,R7_RANK_EXIT
R7,6568,宏觀,20210729,20210730,859,201.5,201.0,199.5,-2526.6239449999994,-0.0145848252597627,1,R7_RANK_EXIT
R7,3221,台嘉碩,20210730,20210802,4000,36.65,36.0,35.800000000000004,-4077.378999999957,-0.027789193854533756,1,R7_RANK_EXIT
R7,3031,佰鴻,20210802,20210804,5000,29.55,29.8,29.650000000000002,-197.8300000000163,-0.0013378071055509216,2,R7_RANK_EXIT
R7,3663,鑫科,20210802,20210812,4000,39.75,40.9,40.650000000000006,2837.2320000000473,0.017828982634941763,8,R7_RANK_EXIT
R7,1783,和康生,20210804,20210812,2000,61.2,66.6,66.2,9384.945999999996,0.07660889481976567,6,R7_RANK_EXIT
R7,5321,友銓,20210804,20210813,2000,59.7,58.1,57.800000000000004,-4347.724999999991,-0.03638200059217368,7,R7_RANK_EXIT
R7,1773,勝一,20210812,20210813,936,155.0,132.5,131.5,-22594.532219999994,-0.15560539287296454,1,R7_RANK_EXIT
R7,8478,東哥遊艇,20210813,20210816,1000,93.9,88.5,88.0,-6319.5244999999995,-0.06724308756481792,1,R7_REGIME_EXIT
R7,2538,基泰,20210813,20210816,14000,11.9,12.05,11.950000000000001,-87.38449999995646,-0.0005240687279600219,1,R7_REGIME_EXIT
R7,3583,辛耘,20210813,20210816,2000,67.6,65.6,65.2,-5418.287999999986,-0.04004185888520926,1,R7_REGIME_EXIT
R0.5,8064,東捷,20210602,20210826,8000,18.25,21.75,21.6,26009.026000000013,0.17799183068339594,60,R05_MAX_HOLD_60
R0.5,3033,威健,20210602,20210826,6000,24.4,23.25,23.1,-8459.474999999977,-0.05773393666447958,60,R05_MAX_HOLD_60
R7,3689,湧德,20210831,20210907,4000,41.5,44.7,44.45,10972.651000000013,0.06604383974593298,5,R7_REGIME_EXIT
R7,2013,中鋼構,20210831,20210907,2000,72.7,74.8,74.4,2702.0590000000084,0.018567749058736406,5,R7_REGIME_EXIT
R7,5321,美而快,20210928,20210929,1000,104.5,107.0,106.0,1002.0224999999919,0.00958054069512186,1,R7_REGIME_EXIT
R7,2314,台揚,20210928,20210929,2000,78.1,78.0,77.60000000000001,-1731.8469999999797,-0.011077897155934107,1,R7_REGIME_EXIT
R7,1721,三晃,20211020,20211026,10000,17.15,18.15,18.05,8157.539999999979,0.04752519686047426,4,R7_RANK_EXIT
R7,1533,車王電,20211026,20211027,2000,59.4,58.5,58.2,-2950.2959999999875,-0.024812926362101712,1,R7_RANK_EXIT
R7,5227,立凱-KY,20211029,20211110,4000,40.8,42.8,42.550000000000004,6204.343000000023,0.0379843309950386,8,R7_RANK_EXIT
R7,3491,昇達科,20211102,20211110,1000,133.5,145.0,144.0,9830.737500000017,0.07357557602856313,6,R7_RANK_EXIT
R7,3508,位速,20211116,20211124,3000,58.0,50.1,49.800000000000004,-25324.706999999995,-0.14541995903847035,6,R7_HARD_STOP
R0.5,2884,玉山金,20210831,20211126,5000,26.0,27.7,27.55,7107.8237500000105,0.054628859632706424,60,R05_MAX_HOLD_60
R0.5,2887,台新金,20210831,20211126,8000,19.5,18.6,18.5,-8703.920000000013,-0.05574669554966409,60,R05_MAX_HOLD_60
R0.5,2880,華南金,20210831,20211126,7000,20.55,20.8,20.650000000000002,19.768000000040047,0.00013730353005628952,60,R05_MAX_HOLD_60
R7,6118,建達,20211116,20211126,6000,27.85,26.5,26.35,-9752.34599999999,-0.05831247676414398,8,R7_RANK_EXIT
R7,3046,建碁,20211126,20211129,4000,39.5,39.0,38.800000000000004,-3533.3859999999695,-0.0223440983275753,1,R7_RANK_EXIT
R7,3499,環天科,20211129,20211202,8000,20.15,21.5,21.35,8803.73999999999,0.05456711682727143,3,R7_RANK_EXIT
R7,2497,怡利電,20211129,20211203,2000,58.6,67.8,67.4,16980.140000000014,0.1447579725478062,4,R7_RANK_EXIT
R7,6243,迅杰,20211203,20211207,2000,67.8,71.1,70.7,5138.9649999999965,0.0378655968910593,2,R7_RANK_EXIT
R7,6576,逸達,20211213,20211215,1000,120.5,126.5,125.5,4413.169999999998,0.0365925308135403,2,R7_RANK_EXIT
R7,2405,輔信,20211215,20211217,8000,19.0,18.7,18.6,-3903.5839999999735,-0.025659534781971766,2,R7_RANK_EXIT
R7,3322,建舜電,20211215,20211217,7000,23.55,23.5,23.35,-2171.0464999999967,-0.013158579563093492,2,R7_RANK_EXIT
R7,2495,普安,20211217,20211224,8000,20.35,20.15,20.0,-3555.993999999977,-0.021824055420330467,5,R7_RANK_EXIT
R7,8478,東哥遊艇,20211217,20211224,1000,167.5,163.0,162.0,-6267.7225000000035,-0.03738727268782208,5,R7_RANK_EXIT
R7,2476,鉅祥,20211224,20211228,2000,76.3,78.0,77.60000000000001,1871.2310000000289,0.012251851010767372,2,R7_RANK_EXIT
R7,2316,楠梓電,20211228,20220110,4000,36.95,33.3,33.1,-16036.771000000008,-0.10841049576495727,8,R7_RANK_EXIT
R7,4171,瑞基,20220119,20220124,1000,117.0,110.5,109.5,-8022.157500000001,-0.06850687533953342,3,R7_RANK_EXIT
R7,3036,文曄,20220119,20220125,1000,87.6,85.6,85.10000000000001,-2902.9584999999934,-0.03311048619640246,4,R7_REGIME_EXIT
R7,3017,奇鋐,20220124,20220125,1000,97.2,95.0,94.5,-3147.4035000000003,-0.0323530326015701,1,R7_REGIME_EXIT
R7,3665,貿聯-KY,20220208,20220210,576,299.5,300.0,298.5,-1386.3110400000005,-0.008029161777865237,2,R7_RANK_EXIT
R7,1529,樂事綠能,20220208,20220215,6000,28.55,31.0,30.8,12641.134500000015,0.07373225664386206,5,R7_RANK_EXIT
R7,6104,創惟,20220215,20220217,674,259.5,244.5,243.0,-11901.92167499999,-0.06799056748676409,2,R7_RANK_EXIT
R7,1709,和益,20220218,20220223,5000,31.5,29.4,29.25,-11948.456250000017,-0.07579840664803032,3,R7_RANK_EXIT
