date,nav,cash,market_value,positions,peak,drawdown
20210104,1300000.0,1300000.0,0.0,0,1300000.0,0.0
20210105,1285985.597,580785.5970000001,705200.0,3,1300000.0,-0.010780309999999904
20210106,1242976.977,336576.9770000001,906400.0,4,1300000.0,-0.04386386384615393
20210107,1236979.533,568479.533,668500.0,3,1300000.0,-0.048477282307692215
20210108,1231885.79,341685.79000000004,890200.0,4,1300000.0,-0.05239554615384612
20210111,1247539.232,560439.2320000001,687100.0,3,1300000.0,-0.04035443692307683
20210112,1228735.0580000002,321435.0580000001,907300.0,4,1300000.0,-0.054819186153845956
20210113,1238885.512,319235.5120000001,919650.0,4,1300000.0,-0.04701114461538458
20210114,1264971.0780000002,68221.0780000001,1196750.0,5,1300000.0,-0.02694532461538446
20210115,1260604.244,318054.24400000006,942550.0,4,1300000.0,-0.03030442769230768
20210118,1285054.244,318054.24400000006,967000.0,4,1300000.0,-0.011496735384615375
20210119,1294904.244,318054.24400000006,976850.0,4,1300000.0,-0.003919812307692339
20210120,1258354.244,318054.24400000006,940300.0,4,1300000.0,-0.03203519692307699
20210121,1239004.244,318054.24400000006,920950.0,4,1300000.0,-0.04691981230769238
20210122,1264054.244,318054.24400000006,946000.0,4,1300000.0,-0.02765058153846156
20210125,1272204.244,318054.24400000006,954150.0,4,1300000.0,-0.021381350769230756
20210126,1283204.244,318054.24400000006,965150.0,4,1300000.0,-0.012919812307692347
20210127,1324404.244,318054.24400000006,1006350.0,4,1324404.244,0.0
20210128,1332904.244,318054.24400000006,1014850.0,4,1332904.244,0.0
20210129,1290954.244,318054.24400000006,972900.0,4,1332904.244,-0.03147262842686249
20210201,1290587.87075,344087.87075,946500.0,4,1332904.244,-0.03174749682168465
20210202,1272187.87075,344087.87075,928100.0,4,1332904.244,-0.045551939325958024
20210203,1256086.41625,551186.41625,704900.0,3,1332904.244,-0.057631917743372396
20210204,1260636.41625,551186.41625,709450.0,3,1332904.244,-0.054218319189326514
20210205,1274386.41625,551186.41625,723200.0,3,1332904.244,-0.043902499383143945
20210217,1295086.41625,551186.41625,743900.0,3,1332904.244,-0.028372501565836372
20210218,1296886.41625,551186.41625,745700.0,3,1332904.244,-0.027022066973027004
20210219,1309936.41625,551186.41625,758750.0,3,1332904.244,-0.01723141617515922
20210222,1338736.41625,551186.41625,787550.0,3,1338736.41625,0.0
20210223,1322636.41625,551186.41625,771450.0,3,1338736.41625,-0.012026265816461823
20210224,1327686.41625,551186.41625,776500.0,3,1338736.41625,-0.00825405200446605
20210225,1324636.41625,551186.41625,773450.0,3,1338736.41625,-0.010532319752305064
20210226,1331236.41625,551186.41625,780050.0,3,1338736.41625,-0.005602297740587847
20210302,1314442.74125,265942.74125,1048500.0,4,1338736.41625,-0.018146720075076672
20210303,1316542.74125,265942.74125,1050600.0,4,1338736.41625,-0.016578076707712053
20210304,1326792.74125,265942.74125,1060850.0,4,1338736.41625,-0.008921603128908773
20210305,1310692.74125,265942.74125,1044750.0,4,1338736.41625,-0.020947868945370596
20210308,1321942.74125,265942.74125,1056000.0,4,1338736.41625,-0.012544422334488825
20210309,1329442.74125,265942.74125,1063500.0,4,1338736.41625,-0.006942124593900978
20210310,1339892.74125,265942.74125,1073950.0,4,1339892.74125,0.0
20210311,1342942.74125,265942.74125,1077000.0,4,1342942.74125,0.0
20210312,1357919.23875,530419.23875,827500.0,3,1357919.23875,0.0
20210315,1398319.23875,530419.23875,867900.0,3,1398319.23875,0.0
