strategy,order_date,code,limit,open,low,expected,actual,expected_fill,actual_fill,status_match,fill_match,match,reason
R7,20210105,2415,29.150000000000002,30.0,30.0,MISSED,MISSED,,,True,True,True,
R7,20210105,3149,26.55,26.9,26.0,FILLED,FILLED,26.55,26.55,True,True,True,
R7,20210113,1533,54.1,53.0,52.1,FILLED,FILLED,53.3,53.0,True,False,False,
R7,20210114,2401,22.900000000000002,22.65,22.2,FILLED,FILLED,22.8,22.65,True,False,False,
R7,20210201,8033,21.450000000000003,21.9,20.8,FILLED,FILLED,21.45,21.450000000000003,True,True,True,
R7,20210203,5014,17.400000000000002,17.9,17.55,MISSED,MISSED,,,True,True,True,
R7,20210205,6547,132.0,137.0,132.5,MISSED,MISSED,,,True,True,True,
R7,20210217,6547,145.5,163.0,157.5,MISSED,MISSED,,,True,True,True,
R7,20210217,3169,72.3,81.1,81.1,MISSED,MISSED,,,True,True,True,
R7,20210219,6547,175.0,196.5,196.5,MISSED,MISSED,,,True,True,True,
R7,20210219,4961,203.5,212.0,206.0,MISSED,MISSED,,,True,True,True,
R7,20210302,3312,19.0,20.2,18.0,FILLED,FILLED,19.0,19.0,True,True,True,
R7,20210302,2610,13.700000000000001,14.6,13.8,MISSED,MISSED,,,True,True,True,
R7,20210312,8099,39.650000000000006,40.3,40.05,MISSED,MISSED,,,True,True,True,
R7,20210318,5452,22.5,25.3,24.2,MISSED,MISSED,,,True,True,True,
R7,20210318,8040,47.2,47.4,46.0,FILLED,FILLED,47.2,47.2,True,True,True,
R7,20210330,3122,42.650000000000006,47.1,46.1,MISSED,MISSED,,,True,True,True,
R7,20210401,5272,41.75,45.4,42.8,MISSED,MISSED,,,True,True,True,
R7,20210401,1517,19.8,20.9,20.9,MISSED,MISSED,,,True,True,True,
R7,20210406,5272,43.650000000000006,44.5,42.4,FILLED,FILLED,43.65,43.650000000000006,True,True,True,
R7,20210406,1517,21.8,23.5,23.3,MISSED,MISSED,,,True,True,True,
R7,20210423,2022,14.200000000000001,14.3,13.05,FILLED,FILLED,14.2,14.200000000000001,True,True,True,
R7,20210427,8927,42.650000000000006,43.9,42.25,FILLED,FILLED,42.65,42.650000000000006,True,True,True,
R7,20210527,2642,63.1,68.0,67.8,MISSED,MISSED,,,True,True,True,
R7,20210527,2491,28.650000000000002,29.1,28.55,FILLED,FILLED,28.65,28.650000000000002,True,True,True,
R7,20210531,2642,76.2,85.5,85.5,MISSED,MISSED,,,True,True,True,
R7,20210531,5475,21.150000000000002,21.9,20.6,FILLED,FILLED,21.15,21.150000000000002,True,True,True,
R7,20210617,2614,27.900000000000002,29.1,27.35,FILLED,FILLED,27.9,27.900000000000002,True,True,True,
R7,20210618,2641,30.35,32.55,32.55,MISSED,MISSED,,,True,True,True,
R7,20210621,2641,33.4,37.5,37.5,MISSED,MISSED,,,True,True,True,
R7,20210622,2636,201.0,214.5,197.0,FILLED,FILLED,201.0,201.0,True,True,True,
R7,20210624,6640,149.5,140.5,140.5,FILLED,FILLED,141.5,140.5,True,False,False,
R7,20210712,2614,57.800000000000004,63.5,61.3,MISSED,MISSED,,,True,True,True,
R7,20210713,2614,63.6,66.5,65.5,MISSED,MISSED,,,True,True,True,
R7,20210713,5425,95.7,101.0,88.3,FILLED,FILLED,95.7,95.7,True,True,True,
R7,20210714,2614,67.9,63.8,62.4,FILLED,FILLED,63.8,63.8,True,True,True,
