strategy,code,buy_date,sell_date,buy_bar_ok,buy_touch,expected_buy_from_raw,recorded_buy,buy_price_ok,sell_bar_ok,raw_sell_open,recorded_sell_open,sell_open_ok,sell_price_market_ok,match
R0.5,1802,20210105,20210107,True,True,21.3,21.3,True,True,19.5,19.5,True,True,True
R0.5,8215,20210106,20210111,True,True,30.5,30.5,True,True,27.6,27.6,True,True,True
R7,3149,20210105,20210113,True,True,26.55,26.55,True,True,26.5,26.5,True,True,True
R7,2401,20210114,20210115,True,True,22.8,22.8,True,True,22.95,22.95,True,True,True
R7,1533,20210113,20210201,True,True,53.3,53.3,True,True,66.2,66.2,True,True,True
R7,8033,20210201,20210203,True,True,21.45,21.45,True,True,19.0,19.0,True,True,True
R7,3312,20210302,20210312,True,True,19.0,19.0,True,True,17.8,17.8,True,True,True
R7,8040,20210318,20210330,True,True,47.2,47.2,True,True,59.1,59.1,True,True,True
R0.5,2426,20210105,20210413,True,True,17.9,17.9,True,True,29.8,29.8,True,True,True
R0.5,6235,20210108,20210416,True,True,20.65,20.6,False,True,23.75,23.75,True,True,False
R0.5,2886,20210112,20210420,True,True,29.85,29.85,True,True,32.45,32.45,True,True,True
R7,5272,20210406,20210423,True,True,43.65,43.65,True,True,35.05,35.05,True,True,True
R0.5,1319,20210420,20210504,True,True,39.8,39.8,True,True,37.3,37.3,True,True,True
R7,2022,20210423,20210504,True,True,14.2,14.2,True,True,13.85,13.85,True,True,True
R7,8927,20210427,20210504,True,True,42.65,42.65,True,True,37.05,37.05,True,True,True
R0.5,2889,20210510,20210512,True,True,17.9,17.9,True,True,17.5,17.5,True,True,True
R7,2491,20210527,20210616,True,True,28.65,28.65,True,True,26.0,26.0,True,True,True
R7,5475,20210531,20210616,True,True,21.15,21.15,True,True,27.45,27.45,True,True,True
R7,2614,20210617,20210622,True,True,27.9,27.9,True,True,38.0,38.0,True,True,True
R7,2636,20210622,20210624,True,True,201.0,201.0,True,True,192.0,192.0,True,True,True
R7,6640,20210624,20210712,True,True,141.5,141.5,True,True,148.5,148.5,True,True,True
R0.5,2884,20210416,20210713,True,True,26.75,26.75,True,True,26.3,26.3,True,True,True
R7,5425,20210713,20210714,True,True,95.7,95.7,True,True,91.8,91.8,True,True,True
R7,2614,20210714,20210716,True,True,64.2,63.8,False,True,50.6,50.6,True,True,False
R0.5,2030,20210413,20210720,True,True,16.0,16.0,True,True,46.0,46.0,True,True,True
R0.5,6160,20210714,20210720,True,True,24.9,24.9,True,True,22.7,22.7,True,True,True
R7,6104,20210720,20210721,True,True,109.0,109.0,True,True,115.0,115.0,True,True,True
R7,6226,20210726,20210727,True,True,16.7,16.7,True,True,16.8,16.8,True,True,True
R7,4945,20210726,20210727,True,True,83.3,83.3,True,True,85.0,85.0,True,True,True
R7,3556,20210727,20210730,True,True,108.0,108.0,True,True,106.5,106.5,True,True,True
R7,3221,20210730,20210802,True,True,36.65,36.65,True,True,36.0,36.0,True,True,True
R7,6143,20210730,20210802,True,True,63.7,63.7,True,True,62.4,62.4,True,True,True
R7,3031,20210802,20210804,True,True,29.55,29.55,True,True,29.8,29.8,True,True,True
R7,1783,20210804,20210806,True,True,61.2,61.2,True,True,67.5,67.5,True,True,True
R0.5,2344,20210806,20210811,True,True,35.2,35.2,True,True,33.25,33.25,True,True,True
R7,3663,20210802,20210812,True,True,39.75,39.75,True,True,40.9,40.9,True,True,True
R7,5321,20210804,20210812,True,True,59.7,59.7,True,True,61.4,61.4,True,True,True
R7,8478,20210813,20210816,True,True,93.9,93.9,True,True,88.5,88.5,True,True,True
R7,2538,20210813,20210816,True,True,11.9,11.9,True,True,12.05,12.05,True,True,True
R7,3583,20210813,20210816,True,True,67.6,67.6,True,True,65.6,65.6,True,True,True
R0.5,8064,20210602,20210826,True,True,18.25,18.25,True,True,21.75,21.75,True,True,True
R7,2013,20210831,20210907,True,True,72.7,72.7,True,True,74.8,74.8,True,True,True
R7,3689,20210831,20210907,True,True,41.5,41.5,True,True,44.7,44.7,True,True,True
R7,5321,20210928,20210929,True,True,104.5,104.5,True,True,107.0,107.0,True,True,True
R7,2314,20210928,20210929,True,True,78.4,78.4,True,True,78.0,78.0,True,True,True
R7,1721,20211020,20211027,True,True,17.15,17.15,True,True,16.85,16.85,True,True,True
R7,3491,20211102,20211110,True,True,133.5,133.5,True,True,145.0,145.0,True,True,True
R0.5,2880,20210831,20211126,True,True,20.55,20.55,True,True,20.8,20.8,True,True,True
R0.5,2801,20210831,20211126,True,True,16.55,16.55,True,True,17.1,17.1,True,True,True
R0.5,2371,20210831,20211126,True,True,30.1,30.1,True,True,36.75,36.75,True,True,True
R7,3508,20211102,20211126,True,True,33.5,33.5,True,True,50.5,50.5,True,True,True
