date,cash,reserved_cash,market_value,nav,peak_nav,drawdown,holdings
20210104,1000000.0,0,0.0,1000000.0,1000000.0,0.0,0
20210105,800315.855,0,195400.0,995715.855,1000000.0,-0.0042841450000000725,1
20210106,800315.855,0,196000.0,996315.855,1000000.0,-0.0036841450000000275,1
20210107,800315.855,0,192000.0,992315.855,1000000.0,-0.007684145000000031,1
20210108,800315.855,0,186200.0,986515.855,1000000.0,-0.013484145000000058,1
20210111,800315.855,0,187200.0,987515.855,1000000.0,-0.012484145000000058,1
20210112,800315.855,0,175800.0,976115.855,1000000.0,-0.023884145000000023,1
20210113,621931.5474999999,0,354700.0,976631.5474999999,1000000.0,-0.02336845250000008,2
20210114,664703.5224999998,0,327800.0,992503.5224999998,1000000.0,-0.007496477500000154,2
20210115,664703.5224999998,0,323100.0,987803.5224999998,1000000.0,-0.012196477500000191,2
20210118,664703.5224999998,0,343600.0,1008303.5224999998,1008303.5224999998,0.0,2
20210119,664703.5224999998,0,333200.0,997903.5224999998,1008303.5224999998,-0.010314354525127634,2
20210120,664703.5224999998,0,314600.0,979303.5224999998,1008303.5224999998,-0.028761180887375115,2
20210121,664703.5224999998,0,315400.0,980103.5224999998,1008303.5224999998,-0.02796776900082687,2
20210122,664703.5224999998,0,326400.0,991103.5224999998,1008303.5224999998,-0.017058355560788052,2
20210125,664703.5224999998,0,333600.0,998303.5224999998,1008303.5224999998,-0.009917648581853511,2
20210126,808500.835,0,173750.0,982250.835,1008303.5224999998,-0.025838139923784587,1
20210127,808500.835,0,185500.0,994000.835,1008303.5224999998,-0.014184902840106761,1
20210128,808500.835,0,174500.0,983000.835,1008303.5224999998,-0.02509431628014558,1
20210129,808500.835,0,174000.0,982500.835,1008303.5224999998,-0.025590198709238288,1
20210201,799221.6252499999,0,184860.0,984081.6252499999,1008303.5224999998,-0.024022426491126292,2
20210202,799221.6252499999,0,172040.0,971261.6252499999,1008303.5224999998,-0.03673685197306242,2
20210203,805169.5027499999,0,156400.0,961569.5027499999,1008303.5224999998,-0.04634915846979004,2
20210204,805169.5027499999,0,164540.0,969709.5027499999,1008303.5224999998,-0.03827619252416126,2
20210205,935092.0402499998,0,36840.0,971932.0402499998,1008303.5224999998,-0.0360719579356622,1
20210217,935092.0402499998,0,40500.0,975592.0402499998,1008303.5224999998,-0.03244209855470381,1
20210218,935092.0402499998,0,44520.0,979612.0402499998,1008303.5224999998,-0.028455203824798714,1
20210219,935092.0402499998,0,48960.0,984052.0402499998,1008303.5224999998,-0.02405176785445573,1
20210222,935092.0402499998,0,53400.0,988492.0402499998,1008303.5224999998,-0.019648331884112857,1
20210223,935092.0402499998,0,48720.0,983812.0402499998,1008303.5224999998,-0.024289791420420204,1
20210224,935092.0402499998,0,49200.0,984292.0402499998,1008303.5224999998,-0.023813744288491256,1
20210225,296474.84374999977,0,703900.0,1000374.8437499998,1008303.5224999998,-0.007863384956091068,4
20210226,296474.84374999977,0,696100.0,992574.8437499998,1008303.5224999998,-0.015599150849936683,4
20210302,620932.7362499997,0,380100.0,1001032.7362499997,1008303.5224999998,-0.007210910294127348,2
20210303,620932.7362499997,0,384600.0,1005532.7362499997,1008303.5224999998,-0.002747968432293302,2
