decision_date,execute_date,side,code,shares,limit_price,filled,reason,fill_price
20210104,20210105,BUY,2415,6000,29.150000000000002,False,LIMIT_NOT_TOUCHED,
20210104,20210105,BUY,2611,15000,12.700000000000001,False,LIMIT_NOT_TOUCHED,
20210104,20210105,BUY,5243,2000,68.2,False,LIMIT_NOT_TOUCHED,
20210104,20210105,BUY,2201,4000,49.85,True,R7_DEEP_LIMIT,49.85
20210112,20210113,SELL,2201,4000,,True,R7_RANK_EXIT,44.1
20210112,20210113,BUY,1533,3000,54.1,True,R7_DEEP_LIMIT,53.300000000000004
20210112,20210113,BUY,1524,16000,12.100000000000001,True,R7_DEEP_LIMIT,12.100000000000001
20210112,20210113,BUY,1593,1000,109.0,False,LIMIT_NOT_TOUCHED,
20210113,20210114,SELL,1524,16000,,True,R7_RANK_EXIT,11.65
20210113,20210114,BUY,6531,300,571.0,False,LIMIT_NOT_TOUCHED,
20210113,20210114,BUY,4760,1000,124.5,False,LIMIT_NOT_TOUCHED,
20210113,20210114,BUY,2354,2000,71.3,True,R7_DEEP_LIMIT,71.3
20210115,20210118,BUY,2328,5000,39.2,False,LIMIT_NOT_TOUCHED,
20210125,20210126,SELL,1533,3000,,True,R7_RANK_EXIT,59.7
20210125,20210126,SELL,2354,2000,,True,R7_RANK_EXIT,73.7
20210125,20210126,BUY,8033,10000,18.95,False,LIMIT_NOT_TOUCHED,
20210125,20210126,BUY,8024,10000,19.900000000000002,False,LIMIT_NOT_TOUCHED,
20210125,20210126,BUY,3680,500,362.0,True,R7_DEEP_LIMIT,362.0
20210129,20210201,SELL,3680,500,,True,R7_RANK_EXIT,341.0
20210129,20210201,BUY,8033,7000,21.450000000000003,True,R7_DEEP_LIMIT,21.450000000000003
20210129,20210201,BUY,6485,600,47.7,True,R7_DEEP_LIMIT,47.7
20210202,20210203,SELL,8033,7000,,True,R7_RANK_EXIT,18.6
20210202,20210203,BUY,4576,1000,123.5,True,R7_DEEP_LIMIT,123.5
20210202,20210203,BUY,5014,11000,17.400000000000002,False,LIMIT_NOT_TOUCHED,
20210204,20210205,SELL,4576,1000,,True,R7_RANK_EXIT,130.5
20210204,20210205,BUY,6547,200,132.0,False,LIMIT_NOT_TOUCHED,
20210205,20210217,BUY,6547,1000,145.5,False,LIMIT_NOT_TOUCHED,
20210205,20210217,BUY,3169,2000,72.3,False,LIMIT_NOT_TOUCHED,
20210218,20210219,BUY,4961,900,203.5,False,LIMIT_NOT_TOUCHED,
20210218,20210219,BUY,6547,1000,175.0,False,LIMIT_NOT_TOUCHED,
20210218,20210219,BUY,3169,2000,87.4,False,LIMIT_NOT_TOUCHED,
20210224,20210225,SELL,6485,600,,True,R7_RANK_EXIT,82.30000000000001
20210224,20210225,BUY,6541,3000,53.2,True,R7_DEEP_LIMIT,53.2
20210224,20210225,BUY,3078,3000,60.7,True,R7_DEEP_LIMIT,60.7
