code,name,entry_date,exit_date,shares,buy_price,sell_open_reference,sell_execution_price,buy_commission,sell_commission,sell_tax,gross_buy_value,gross_sell_value,total_costs,net_pnl,net_return,hold_sessions,exit_reason
2201,裕隆,20210105,20210113,4000,49.85,45.0,44.1,284.14500000000004,251.37,529.2,199400.0,176400.0,1064.7150000000001,-24064.714999999997,-0.12051389958877305,6,R7_RANK_EXIT
1524,耿鼎,20210113,20210114,16000,12.100000000000001,11.9,11.65,275.88000000000005,265.62,559.2,193600.00000000003,186400.0,1100.7,-8300.70000000004,-0.04281450585807806,1,R7_RANK_EXIT
1533,車王電,20210113,20210126,3000,53.300000000000004,61.0,59.7,227.85750000000002,255.2175,537.3,159900.0,179100.0,1020.375,18179.625,0.11353193181892163,9,R7_RANK_EXIT
2354,鴻準,20210114,20210126,2000,71.3,75.3,73.7,203.205,210.04500000000002,442.2,142600.0,147400.0,855.45,3944.5499999999884,0.027622279205848276,8,R7_RANK_EXIT
3680,家登,20210126,20210201,500,362.0,348.0,341.0,257.925,242.9625,511.5,181000.0,170500.0,1012.3875,-11512.387499999983,-0.06351384360159691,4,R7_RANK_EXIT
8033,雷虎,20210201,20210203,7000,21.450000000000003,19.0,18.6,213.96375000000006,185.53500000000003,390.6000000000001,150150.00000000003,130200.00000000001,790.0987500000001,-20740.09875000002,-0.13793264178964568,2,R7_RANK_EXIT
4576,大銀微系統,20210203,20210205,1000,123.5,133.5,130.5,175.9875,185.9625,391.5,123500.0,130500.0,753.45,6246.550000000003,0.0505073792113445,2,R7_RANK_EXIT
6485,點序,20210201,20210225,600,47.7,84.0,82.30000000000001,40.783500000000004,70.36650000000002,148.14000000000001,28620.0,49380.00000000001,259.29,20500.71000000001,0.7152878427067428,11,R7_RANK_EXIT
3078,僑威,20210225,20210302,3000,60.7,58.7,57.5,259.4925,245.8125,517.5,182100.0,172500.0,1022.8050000000001,-10622.804999999993,-0.05825199913845995,2,R7_RANK_EXIT
8431,匯鑽科,20210225,20210302,2000,82.7,78.3,76.7,235.69500000000002,218.595,460.2,165400.0,153400.0,914.49,-12914.49000000002,-0.07796924449165392,2,R7_RANK_EXIT
6541,泰福-KY,20210225,20210312,3000,53.2,62.5,61.2,227.43,261.63,550.8000000000001,159600.0,183600.0,1039.8600000000001,22960.140000000014,0.14365581677688252,10,R7_RANK_EXIT
8936,國統,20210225,20210312,6000,29.950000000000003,34.4,33.7,256.07250000000005,288.13500000000005,606.6000000000001,179700.00000000003,202200.00000000003,1150.8075000000003,21349.192499999976,0.11863557702394273,10,R7_RANK_EXIT
6491,晶碩,20210312,20210318,500,343.0,350.0,343.0,244.38750000000002,244.38750000000002,514.5,171500.0,171500.0,1003.2750000000001,-1003.2750000000233,-0.005841675612252675,4,R7_RANK_EXIT
8040,九暘,20210318,20210330,4000,47.2,59.1,57.900000000000006,269.04,330.03000000000003,694.8000000000001,188800.0,231600.00000000003,1293.8700000000001,41506.130000000034,0.21952896148412257,8,R7_RANK_EXIT
6416,瑞祺電通,20210330,20210401,1000,152.5,143.5,140.5,217.3125,200.2125,421.5,152500.0,140500.0,839.025,-12839.024999999994,-0.08407052736735394,2,R7_RANK_EXIT
3363,上詮,20210413,20210420,5000,35.15,30.2,29.55,250.44375000000002,210.54375000000002,443.25,175750.0,147750.0,904.2375000000001,-28904.237500000017,-0.1642282080893902,5,R7_HARD_STOP
2010,春源,20210413,20210423,10000,19.75,24.85,24.35,281.4375,346.9875,730.5,197500.0,243500.0,1358.925,44641.07500000001,0.22570912399198237,8,R7_RANK_EXIT
4726,永昕,20210413,20210423,4000,48.400000000000006,42.85,41.95,275.88000000000005,239.115,503.40000000000003,193600.00000000003,167800.0,1018.3950000000002,-26818.39500000002,-0.13832765065979333,8,R7_RANK_EXIT
2014,中鴻,20210413,20210423,7000,28.400000000000002,35.95,35.2,283.2900000000001,351.12000000000006,739.2000000000002,198800.00000000003,246400.00000000003,1373.6100000000001,46226.389999999985,0.23219623304396855,8,R7_RANK_EXIT
5864,致和證,20210423,20210504,9000,23.400000000000002,27.0,26.450000000000003,300.1050000000001,339.22125000000005,714.1500000000001,210600.00000000003,238050.00000000003,1353.4762500000002,26096.523749999993,0.12373878974597945,6,R7_RANK_EXIT
6015,宏遠證,20210423,20210504,9000,22.05,22.65,22.150000000000002,282.79125,284.0737500000001,598.0500000000001,198450.0,199350.00000000003,1164.915,-264.91499999997905,-0.0013330210798816978,6,R7_RANK_EXIT
2609,陽明,20210504,20210505,2000,85.9,81.7,80.0,244.815,228.0,480.0,171800.0,160000.0,952.815,-12752.815000000002,-0.0741249598251479,1,R7_RANK_EXIT
2617,台航,20210504,20210505,4000,45.400000000000006,43.25,42.35,258.78000000000003,241.395,508.2,181600.00000000003,169400.0,1008.375,-13208.37500000003,-0.07262984498191413,1,R7_RANK_EXIT
1441,大東,20210505,20210510,13000,15.350000000000001,13.45,13.15,284.35875000000004,243.60375000000002,512.85,199550.00000000003,170950.0,1040.8125,-29640.81250000006,-0.14832690777206026,3,R7_HARD_STOP
2495,普安,20210504,20210513,8000,23.35,24.0,23.5,266.19,267.90000000000003,564.0,186800.0,188000.0,1098.0900000000001,101.91000000000349,0.000544780433064914,7,R7_REGIME_EXIT
1460,宏遠,20210505,20210513,17000,11.55,11.2,10.950000000000001,279.79875,265.2637500000001,558.45,196350.0,186150.00000000003,1103.5125,-11303.512499999983,-0.05748626389213544,6,R7_REGIME_EXIT
5475,德宏,20210531,20210617,9000,21.150000000000002,26.5,25.950000000000003,271.24875000000003,332.80875000000003,700.6500000000001,190350.00000000003,233550.00000000003,1304.7075000000002,41895.29250000001,0.21978290864595967,12,R7_RANK_EXIT
2615,萬海,20210531,20210617,1000,151.0,210.5,206.0,215.175,293.55,618.0,151000.0,206000.0,1126.725,53873.27500000002,0.3562689723435497,12,R7_RANK_EXIT
2614,東森,20210617,20210622,8000,27.900000000000002,38.0,37.2,318.06000000000006,424.08000000000004,892.8000000000001,223200.00000000003,297600.0,1634.94,72765.05999999997,0.32554443251699644,3,R7_RANK_EXIT
2383,台光電,20210618,20210622,1000,209.5,217.0,212.5,298.5375,302.8125,637.5,209500.0,212500.0,1238.85,1761.1499999999942,0.008394481777548111,2,R7_RANK_EXIT
2636,台驊投控,20210622,20210624,1000,201.0,192.0,188.0,286.425,267.90000000000003,564.0,201000.0,188000.0,1118.325,-14118.324999999983,-0.07014047271195752,2,R7_RANK_EXIT
3218,大學光,20210624,20210628,500,405.5,357.0,349.5,288.91875,249.01875,524.25,202750.0,174750.0,1062.1875,-29062.1875,-0.14313604346851358,2,R7_HARD_STOP
6640,均華,20210624,20210708,1000,141.5,177.0,173.0,201.63750000000002,246.525,519.0,141500.0,173000.0,967.1625,30532.837499999994,0.21547272168961346,10,R7_RANK_EXIT
2481,強茂,20210624,20210708,3000,73.0,95.4,93.4,312.075,399.285,840.6,219000.0,280200.0,1551.96,59648.04000000004,0.27197791092898116,10,R7_RANK_EXIT
3515,華擎,20210624,20210708,1000,209.0,189.0,185.0,297.825,263.625,555.0,209000.0,185000.0,1116.45,-25116.45000000001,-0.12000339707304655,10,R7_RANK_EXIT
2851,中再保,20210708,20210712,6000,39.75,35.0,34.300000000000004,339.8625,293.26500000000004,617.4000000000001,238500.0,205800.00000000003,1250.5275000000001,-33950.52749999997,-0.1421476597106983,2,R7_HARD_STOP
3268,海德威,20210708,20210712,5000,44.5,42.3,41.45,317.0625,295.33125,621.75,222500.0,207250.0,1234.14375,-16484.14374999999,-0.07398061694669361,2,R7_RANK_EXIT
6573,虹揚-KY,20210713,20210714,1000,32.2,30.4,29.75,45.885000000000005,42.393750000000004,89.25,32200.000000000004,29750.0,177.52875,-2627.5287500000013,-0.08148415681566815,1,R7_RANK_EXIT
2614,東森,20210714,20210716,3000,64.2,50.6,49.550000000000004,274.455,211.82625000000002,445.95,192600.0,148650.0,932.23125,-44882.23125000001,-0.23270179169138813,2,R7_HARD_STOP
8110,華東,20210714,20210716,9000,25.450000000000003,21.5,21.05,326.39625000000007,269.96625,568.35,229050.00000000003,189450.0,1164.7125,-40764.71250000002,-0.1777197356242797,2,R7_HARD_STOP
6215,和椿,20210714,20210720,6000,34.2,35.75,35.0,292.41,299.25,630.0,205200.00000000003,210000.0,1221.66,3578.3399999999674,0.017413489870501626,4,R7_RANK_EXIT
4952,凌通,20210714,20210721,3000,76.10000000000001,90.4,88.5,325.32750000000004,378.33750000000003,796.5,228300.00000000003,265500.0,1500.165,35699.834999999934,0.1561499567452776,5,R7_RANK_EXIT
