r7_rank,code,name,close,aclose,r7_score,r10,r20,r60,amt20,nearhigh,flow20,amtacc,clvflow20,t1_limit
1,2221,大甲,71.4,71.4,0.9890037284305797,0.4223107569721116,0.6208853575482409,0.6357388316151205,38437172.53,1.0,0.8696420764017108,1.8199053932857012,0.4926985483744949,69.9
2,6949,沛爾生醫-創,1490.0,1490.0,0.9880181522524197,0.4752475247524752,0.8578553615960101,1.3136645962732918,332846074.35,1.0,0.6987520082794692,1.0785184603755265,0.48717652631715125,1460.0
3,6213,聯茂,583.0,583.0,0.9809517170742664,0.2564655172413792,1.3413654618473894,0.9762711864406779,7274135878.4,1.0,0.7958874271500989,0.681275399668509,0.4570215918925513,571.0
4,2491,吉祥全,46.65,46.65,0.9807716037038463,0.3521739130434782,0.9808917197452227,0.8222656249999998,43464412.945,1.0,0.5134452754081711,1.4610865036957876,0.44475766499990455,45.7
5,2426,鼎元,99.8,99.8,0.980247546011281,0.44847605224963694,0.9840954274353877,0.296103896103896,1941800633.58,1.0,0.6661384325357977,1.4204323253179973,0.3145252844868544,97.8
6,3234,光環,180.5,180.5,0.9741206003722638,0.3571428571428572,1.0055555555555555,0.5232067510548524,545851696.2,0.989041095890411,0.5122871207448673,0.7543453862404612,0.5520333116005341,176.5
7,5321,美而快,81.1,81.1,0.972394208641348,0.4253075571177505,0.5074349442379182,0.4128919860627176,39506794.34,1.0,0.70750094526652,0.4875946869851753,0.4534375642585139,79.4
8,6141,柏承,50.4,50.4,0.9658765779876531,0.36585365853658547,0.6416938110749186,0.1351351351351351,122421833.62750001,1.0,0.49754461984155013,1.0237675311566838,0.4770164834075243,49.35
9,6538,倉和,212.0,212.0,0.9629491762308197,0.31269349845201244,0.7377049180327868,0.6825396825396826,510102214.4,1.0,0.7097549357354839,0.30642729787765455,0.2598189730287224,207.5
10,1815,富喬,118.0,118.0,0.9627162857523943,0.3111111111111111,0.8819776714513556,0.08256880733944949,4160202052.1,1.0,0.5634138925816911,1.4717584097169767,0.351559875633358,115.5
11,6782,視陽,246.0,246.0,0.960328260308019,0.18554216867469875,0.38983050847457634,0.2615384615384615,112238483.925,1.0,0.5696884102401689,0.9463812264782425,0.4919891627078204,241.0
12,6840,東研信超,91.7,91.7,0.9599487162931014,0.33284883720930236,0.5865051903114189,0.40214067278287446,35845022.15,1.0,0.7202353521212708,0.10593455443017508,0.4702277197420871,89.8
13,1709,和益,37.1,37.1,0.957881079627256,0.32499999999999996,0.5458333333333334,0.9025641025641027,285832173.65,1.0,0.42040806218736876,0.7411679472773729,0.32583967032824296,36.35
14,3490,單井,53.6,53.6,0.9550281620879078,0.6000000000000001,1.0735009671179885,0.41052631578947363,201249577.04000002,0.9816849816849816,0.7529103672594729,0.0224890466184704,0.49341443584738287,52.5
15,8103,瀚荃,113.5,113.5,0.9541649741267875,0.3995067817509248,0.6425470332850942,0.0,267278661.275,1.0,0.8462948126347765,1.9926297366366517,0.4626163062182429,111.0
16,2851,中再保,46.0,46.0,0.9506350403922417,0.2534059945504086,0.35095447870778274,0.3086770981507825,170083286.8,0.9766454352441614,0.6367857997850028,1.658225431353788,0.2278393898895224,45.05
17,3406,玉晶光,759.0,759.0,0.9466291604189415,0.31314878892733566,0.6270096463022508,0.2587064676616915,2222707111.9,0.9806201550387597,0.47519149695667107,0.31107415268445293,0.31851579155786175,743.0
18,4303,信立,54.6,54.6,0.9452659707823822,0.16170212765957448,0.3514851485148516,0.1304347826086958,49689618.260000005,1.0,0.6728098228702311,1.53956555632432,0.2253189064357744,53.5
19,3081,聯亞,3255.0,3255.0,0.9432310499853223,0.1944954128440366,1.1136363636363638,0.2122905027932962,8031317269.0,1.0,0.34538826895894603,0.8107952392983717,0.3006088458568558,3185.0
20,3008,大立光,6290.0,6290.0,0.9422318345463023,0.3718647764449292,0.6337662337662338,0.6401564537157758,12672660339.25,1.0,0.45062398378681456,0.1580717586618876,0.20328151605876546,6160.0
21,2030,彰源,23.5,23.5,0.9359678264031432,0.09048723897911826,0.378299120234604,0.28415300546448075,73375983.2175,0.9936575052854123,0.6815273467514268,0.45144416497031337,0.3174546036144642,23.0
