trade_date,market,stock_id,name,foreign_buy,foreign_sell,foreign_net,trust_buy,trust_sell,trust_net,dealer_buy,dealer_sell,dealer_net,raw_json
2026-09-02,TWSE,2812,台中銀          ,32184000,3470096,28713904,0,124000,-124000,72000,4000,78000,"{""證券代號"":""2812"",""證券名稱"":""台中銀          "",""外陸資買進股數(不含外資自營商)"":""32,184,000"",""外陸資賣出股數(不含外資自營商)"":""3,470,096"",""外陸資買賣超股數(不含外資自營商)"":""28,713,904"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""124,000"",""投信買賣超股數"":""-124,000"",""自營商買賣超股數"":""78,000"",""自營商買進股數(自行買賣)"":""10,000"",""自營商賣出股數(自行買賣)"":""0"",""自營商買賣超股數(自行買賣)"":""10,000"",""自營商買進股數(避險)"":""72,000"",""自營商賣出股數(避險)"":""4,000"",""自營商買賣超股數(避險)"":""68,000"",""三大法人買賣超股數"":""28,667,904""}"
2026-09-02,TWSE,5880,合庫金          ,31482313,4254974,27227339,10000,239909,-229909,102786,180607,-62821,"{""證券代號"":""5880"",""證券名稱"":""合庫金          "",""外陸資買進股數(不含外資自營商)"":""31,482,313"",""外陸資賣出股數(不含外資自營商)"":""4,254,974"",""外陸資買賣超股數(不含外資自營商)"":""27,227,339"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""10,000"",""投信賣出股數"":""239,909"",""投信買賣超股數"":""-229,909"",""自營商買賣超股數"":""-62,821"",""自營商買進股數(自行買賣)"":""15,000"",""自營商賣出股數(自行買賣)"":""0"",""自營商買賣超股數(自行買賣)"":""15,000"",""自營商買進股數(避險)"":""102,786"",""自營商賣出股數(避險)"":""180,607"",""自營商買賣超股數(避險)"":""-77,821"",""三大法人買賣超股數"":""26,934,609""}"
2026-09-02,TWSE,2886,兆豐金          ,26251778,8514396,17737382,4636310,1106773,3529537,88362,965013,-876431,"{""證券代號"":""2886"",""證券名稱"":""兆豐金          "",""外陸資買進股數(不含外資自營商)"":""26,251,778"",""外陸資賣出股數(不含外資自營商)"":""8,514,396"",""外陸資買賣超股數(不含外資自營商)"":""17,737,382"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""4,636,310"",""投信賣出股數"":""1,106,773"",""投信買賣超股數"":""3,529,537"",""自營商買賣超股數"":""-876,431"",""自營商買進股數(自行買賣)"":""178,000"",""自營商賣出股數(自行買賣)"":""177,780"",""自營商買賣超股數(自行買賣)"":""220"",""自營商買進股數(避險)"":""88,362"",""自營商賣出股數(避險)"":""965,013"",""自營商買賣超股數(避險)"":""-876,651"",""三大法人買賣超股數"":""20,390,488""}"
2026-09-02,TWSE,2892,第一金          ,27576989,14260225,13316764,5218000,145792,5072208,85211,256853,-171642,"{""證券代號"":""2892"",""證券名稱"":""第一金          "",""外陸資買進股數(不含外資自營商)"":""27,576,989"",""外陸資賣出股數(不含外資自營商)"":""14,260,225"",""外陸資買賣超股數(不含外資自營商)"":""13,316,764"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""5,218,000"",""投信賣出股數"":""145,792"",""投信買賣超股數"":""5,072,208"",""自營商買賣超股數"":""-171,642"",""自營商買進股數(自行買賣)"":""174,000"",""自營商賣出股數(自行買賣)"":""174,000"",""自營商買賣超股數(自行買賣)"":""0"",""自營商買進股數(避險)"":""85,211"",""自營商賣出股數(避險)"":""256,853"",""自營商買賣超股數(避險)"":""-171,642"",""三大法人買賣超股數"":""18,217,330""}"
2026-09-02,TWSE,2344,華邦電          ,39193696,24300182,14893514,70000,2675763,-2605763,1100759,304524,3424928,"{""證券代號"":""2344"",""證券名稱"":""華邦電          "",""外陸資買進股數(不含外資自營商)"":""39,193,696"",""外陸資賣出股數(不含外資自營商)"":""24,300,182"",""外陸資買賣超股數(不含外資自營商)"":""14,893,514"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""70,000"",""投信賣出股數"":""2,675,763"",""投信買賣超股數"":""-2,605,763"",""自營商買賣超股數"":""3,424,928"",""自營商買進股數(自行買賣)"":""3,197,244"",""自營商賣出股數(自行買賣)"":""568,551"",""自營商買賣超股數(自行買賣)"":""2,628,693"",""自營商買進股數(避險)"":""1,100,759"",""自營商賣出股數(避險)"":""304,524"",""自營商買賣超股數(避險)"":""796,235"",""三大法人買賣超股數"":""15,712,679""}"
2026-09-02,TWSE,3231,緯創            ,39227087,32161181,7065906,6683000,100200,6582800,405549,417078,189425,"{""證券代號"":""3231"",""證券名稱"":""緯創            "",""外陸資買進股數(不含外資自營商)"":""39,227,087"",""外陸資賣出股數(不含外資自營商)"":""32,161,181"",""外陸資買賣超股數(不含外資自營商)"":""7,065,906"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""6,683,000"",""投信賣出股數"":""100,200"",""投信買賣超股數"":""6,582,800"",""自營商買賣超股數"":""189,425"",""自營商買進股數(自行買賣)"":""884,994"",""自營商賣出股數(自行買賣)"":""684,040"",""自營商買賣超股數(自行買賣)"":""200,954"",""自營商買進股數(避險)"":""405,549"",""自營商賣出股數(避險)"":""417,078"",""自營商買賣超股數(避險)"":""-11,529"",""三大法人買賣超股數"":""13,838,131""}"
2026-09-02,TWSE,2887,台新新光金      ,46551569,42045549,4506020,10221000,1048696,9172304,1009462,976624,44713,"{""證券代號"":""2887"",""證券名稱"":""台新新光金      "",""外陸資買進股數(不含外資自營商)"":""46,551,569"",""外陸資賣出股數(不含外資自營商)"":""42,045,549"",""外陸資買賣超股數(不含外資自營商)"":""4,506,020"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""10,221,000"",""投信賣出股數"":""1,048,696"",""投信買賣超股數"":""9,172,304"",""自營商買賣超股數"":""44,713"",""自營商買進股數(自行買賣)"":""534,441"",""自營商賣出股數(自行買賣)"":""522,566"",""自營商買賣超股數(自行買賣)"":""11,875"",""自營商買進股數(避險)"":""1,009,462"",""自營商賣出股數(避險)"":""976,624"",""自營商買賣超股數(避險)"":""32,838"",""三大法人買賣超股數"":""13,723,037""}"
2026-09-02,TWSE,0056,元大高股息      ,8015010,9684096,-1669086,0,0,0,15372291,1164000,14208291,"{""證券代號"":""0056"",""證券名稱"":""元大高股息      "",""外陸資買進股數(不含外資自營商)"":""8,015,010"",""外陸資賣出股數(不含外資自營商)"":""9,684,096"",""外陸資買賣超股數(不含外資自營商)"":""-1,669,086"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""14,208,291"",""自營商買進股數(自行買賣)"":""0"",""自營商賣出股數(自行買賣)"":""0"",""自營商買賣超股數(自行買賣)"":""0"",""自營商買進股數(避險)"":""15,372,291"",""自營商賣出股數(避險)"":""1,164,000"",""自營商買賣超股數(避險)"":""14,208,291"",""三大法人買賣超股數"":""12,539,205""}"
2026-09-02,TWSE,2884,玉山金          ,33015441,26140498,6874943,5687000,13710,5673290,236754,489075,-230192,"{""證券代號"":""2884"",""證券名稱"":""玉山金          "",""外陸資買進股數(不含外資自營商)"":""33,015,441"",""外陸資賣出股數(不含外資自營商)"":""26,140,498"",""外陸資買賣超股數(不含外資自營商)"":""6,874,943"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""5,687,000"",""投信賣出股數"":""13,710"",""投信買賣超股數"":""5,673,290"",""自營商買賣超股數"":""-230,192"",""自營商買進股數(自行買賣)"":""236,129"",""自營商賣出股數(自行買賣)"":""214,000"",""自營商買賣超股數(自行買賣)"":""22,129"",""自營商買進股數(避險)"":""236,754"",""自營商賣出股數(避險)"":""489,075"",""自營商買賣超股數(避險)"":""-252,321"",""三大法人買賣超股數"":""12,318,041""}"
2026-09-02,TWSE,2845,遠東銀          ,19395345,5499922,13895423,0,51000,-51000,17000,1837396,-1743396,"{""證券代號"":""2845"",""證券名稱"":""遠東銀          "",""外陸資買進股數(不含外資自營商)"":""19,395,345"",""外陸資賣出股數(不含外資自營商)"":""5,499,922"",""外陸資買賣超股數(不含外資自營商)"":""13,895,423"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""51,000"",""投信買賣超股數"":""-51,000"",""自營商買賣超股數"":""-1,743,396"",""自營商買進股數(自行買賣)"":""92,000"",""自營商賣出股數(自行買賣)"":""15,000"",""自營商買賣超股數(自行買賣)"":""77,000"",""自營商買進股數(避險)"":""17,000"",""自營商賣出股數(避險)"":""1,837,396"",""自營商買賣超股數(避險)"":""-1,820,396"",""三大法人買賣超股數"":""12,101,027""}"
