trade_date,market,stock_id,name,open,high,low,close,volume,trading_value
2026-09-07,TPEX,1240,茂生農經,55.5,55.5,55.3,55.3,5248,290469
2026-09-07,TPEX,1259,安心,62.9,62.9,62.9,62.9,1072,67426
2026-09-07,TPEX,1264,德麥,253.0,253.0,251.0,251.0,24591,6198632
2026-09-07,TPEX,1268,漢來美食,175.0,175.0,168.0,171.0,168811,28918738
2026-09-07,TPEX,1294,漢田生技,53.1,53.9,53.0,53.5,24149,1289893
2026-09-07,TPEX,1295,生合,45.5,45.5,45.35,45.5,18150,825501
2026-09-07,TPEX,1336,台翰,16.15,16.4,16.05,16.3,158124,2567549
2026-09-07,TPEX,1565,精華,99.0,99.5,97.7,99.5,131242,12919975
2026-09-07,TPEX,1569,濱川,50.6,51.2,48.2,50.2,2036751,101743078
2026-09-07,TPEX,1570,力肯,32.55,33.3,32.55,32.65,50690,1659933
2026-09-07,TPEX,1580,新麥,102.0,102.0,100.0,100.5,300448,30214844
2026-09-07,TPEX,1584,精剛,18.0,18.0,17.65,17.8,300346,5326714
2026-09-07,TPEX,1586,和勤,18.1,18.2,17.95,18.1,221577,3991580
2026-09-07,TPEX,1591,駿吉-KY,35.25,35.95,35.25,35.55,122807,4365532
2026-09-07,TPEX,1593,祺驊,31.85,31.85,31.75,31.75,15199,483088
2026-09-07,TPEX,1595,川寶,68.8,70.7,68.1,68.5,330553,22835027
2026-09-07,TPEX,1599,宏佳騰,22.8,23.0,22.8,23.0,26966,619151
2026-09-07,TPEX,1742,台蠟,18.0,18.0,17.0,17.8,117922,2075188
2026-09-07,TPEX,1777,生泰,75.6,75.9,74.7,75.3,67004,5053994
2026-09-07,TPEX,1780,立弘,24.5,24.5,23.9,24.5,92468,2232315
2026-09-07,TPEX,1781,合世,10.15,10.15,10.0,10.0,22447,225467
2026-09-07,TPEX,1784,訊聯,60.0,60.4,59.8,60.1,69714,4185831
2026-09-07,TPEX,1785,光洋科,102.5,103.0,101.0,102.0,2810991,286549039
2026-09-07,TPEX,1788,杏昌,128.5,129.0,128.0,128.0,19916,2558823
2026-09-07,TPEX,1796,金穎生技,30.3,30.3,30.0,30.05,8646,260685
2026-09-07,TPEX,1799,易威,30.2,30.3,29.8,29.95,73434,2203760
2026-09-07,TPEX,1813,寶利徠,11.55,11.55,11.4,11.4,17816,204431
2026-09-07,TPEX,1815,富喬,124.0,130.0,123.5,130.0,71460315,9166102185
2026-09-07,TPEX,2035,唐榮,26.35,26.35,26.35,26.35,1010,26605
2026-09-07,TPEX,2061,風青,53.7,55.0,51.2,52.3,1911579,102654878
2026-09-07,TPEX,2063,世鎧,23.8,23.9,23.8,23.9,8180,195630
2026-09-07,TPEX,2064,晉椿,12.7,12.8,12.35,12.35,275000,3454450
2026-09-07,TPEX,2065,世豐,36.45,36.6,36.35,36.35,48763,1778893
2026-09-07,TPEX,2066,世德,54.0,54.0,53.9,53.9,5000,269600
2026-09-07,TPEX,2067,嘉鋼,4.82,4.82,4.82,4.82,2055,9918
2026-09-07,TPEX,2070,精湛,63.0,63.0,61.7,61.9,116425,7236374
2026-09-07,TPEX,2073,雄順,26.25,26.25,25.55,25.55,3137,81421
2026-09-07,TPEX,2221,大甲,90.0,90.6,83.7,86.7,4254120,368767692
2026-09-07,TPEX,2230,泰茂,22.6,22.6,22.0,22.45,50538,1129577
2026-09-07,TPEX,2235,謚源,28.45,28.45,28.45,28.45,1000,28450
2026-09-07,TPEX,2596,綠意,36.05,36.45,34.45,34.45,213186,7456753
2026-09-07,TPEX,2640,大車隊,157.5,157.5,154.0,154.0,24934,3874431
2026-09-07,TPEX,2641,正德,18.15,18.2,17.95,18.1,1291620,23311326
2026-09-07,TPEX,2643,捷迅,62.2,63.0,62.0,63.0,9091,565684
2026-09-07,TPEX,2718,全心投控,41.0,41.75,41.0,41.4,13840,574877
2026-09-07,TPEX,2719,燦星旅,19.75,19.9,19.75,19.9,8270,163956
2026-09-07,TPEX,2724,藝舍-KY,10.2,10.65,10.2,10.65,2060,21462
2026-09-07,TPEX,2726,雅茗-KY,8.02,8.11,7.95,8.03,95466,764173
2026-09-07,TPEX,2729,瓦城,155.0,156.0,155.0,155.0,7451,1157528
2026-09-07,TPEX,2732,六角,63.0,63.1,63.0,63.0,7586,478393
2026-09-07,TPEX,2734,易飛網,14.95,15.0,14.8,14.9,26035,388060
2026-09-07,TPEX,2736,富野,11.5,11.6,11.5,11.5,26160,302626
2026-09-07,TPEX,2740,華軒,30.25,30.25,28.0,30.25,7131,207646
2026-09-07,TPEX,2743,山富,60.0,60.8,59.0,59.3,151043,8979550
2026-09-07,TPEX,2745,五福,88.5,88.5,87.0,87.6,38508,3369843
2026-09-07,TPEX,2751,王座,51.8,51.8,51.8,51.8,1101,56905
2026-09-07,TPEX,2752,豆府,177.0,180.0,177.0,180.0,20382,3643713
2026-09-07,TPEX,2754,亞洲藏壽司,68.7,68.7,67.7,67.7,31877,2172081
2026-09-07,TPEX,2755,揚秦,100.0,100.0,99.5,99.8,54568,5442362
2026-09-07,TPEX,2756,聯發國際,62.2,63.3,61.1,63.2,45208,2812327
2026-09-07,TPEX,2916,滿心,40.0,40.3,40.0,40.05,28903,1159206
2026-09-07,TPEX,2924,宏太-KY,17.9,17.9,16.15,16.7,13079,216714
2026-09-07,TPEX,2926,誠品生活,29.65,29.9,29.5,29.9,22182,657467
2026-09-07,TPEX,2937,集雅社,44.3,44.3,43.8,43.8,2144,94175
2026-09-07,TPEX,2941,米斯特,33.7,33.7,30.9,30.9,6056,191760
2026-09-07,TPEX,2947,振宇五金,61.5,61.6,61.5,61.6,5032,309787
2026-09-07,TPEX,2948,寶陞,38.3,38.3,36.85,38.05,3492,131906
2026-09-07,TPEX,2949,欣新網,,,,,1,60
2026-09-07,TPEX,3064,泰偉,,,,,0,0
2026-09-07,TPEX,3066,李洲,25.0,25.0,24.0,24.0,679173,16500410
2026-09-07,TPEX,3067,全域,16.15,17.0,16.15,16.5,23065,381575
2026-09-07,TPEX,3071,協禧,25.0,25.0,24.5,24.7,196869,4850641
2026-09-07,TPEX,3073,天方能源,22.6,22.6,22.0,22.3,48602,1083008
2026-09-07,TPEX,3078,僑威,45.9,46.0,44.5,44.95,985600,44283100
2026-09-07,TPEX,3081,聯亞,3220.0,3220.0,3000.0,3070.0,3689775,11438506835
2026-09-07,TPEX,3083,網龍,22.95,22.95,22.8,22.8,51356,1173122
2026-09-07,TPEX,3085,新零售,11.5,11.5,11.5,11.5,1103,12690
2026-09-07,TPEX,3086,華義*,29.6,32.0,29.6,30.4,192229,5958373
2026-09-07,TPEX,3088,艾訊,129.0,129.0,123.0,124.0,836094,104396907
2026-09-07,TPEX,3093,港建*,46.25,46.25,43.65,45.6,217475,9789508
2026-09-07,TPEX,3095,及成,35.45,37.85,35.4,35.75,14975,536818
2026-09-07,TPEX,3105,穩懋,453.5,463.0,446.5,450.5,19649017,8920575246
2026-09-07,TPEX,3114,好德,31.8,31.8,30.85,31.05,191363,5960216
2026-09-07,TPEX,3115,富榮綱,8.41,9.25,8.41,9.19,4572,41026
2026-09-07,TPEX,3118,進階,32.05,32.05,31.4,31.4,15491,488767
2026-09-07,TPEX,3122,笙泉,25.25,25.4,25.0,25.0,40429,1012747
2026-09-07,TPEX,3128,昇銳,20.1,20.1,19.7,19.9,109841,2183463
2026-09-07,TPEX,3131,弘塑,2400.0,2585.0,2390.0,2555.0,714887,1803328355
2026-09-07,TPEX,3141,晶宏,103.5,105.0,98.2,102.0,8381197,844357561
2026-09-07,TPEX,3147,大綜,226.0,226.5,218.5,221.5,365607,80756502
2026-09-07,TPEX,3152,璟德,238.0,238.0,233.5,233.5,78053,18321116
2026-09-07,TPEX,3158,嘉實,84.0,84.5,83.4,83.4,15181,1275707
2026-09-07,TPEX,3162,精確,71.4,71.6,70.2,70.4,561872,39748597
2026-09-07,TPEX,3163,波若威,784.0,790.0,752.0,752.0,4776699,3678352494
2026-09-07,TPEX,3169,亞信,107.5,112.0,105.0,107.5,626938,68365059
2026-09-07,TPEX,3171,炎洲流通,63.4,63.8,62.5,62.5,13240,832847
2026-09-07,TPEX,3176,基亞,35.1,35.2,34.5,34.75,437641,15243159
2026-09-07,TPEX,3178,公準,62.3,62.3,61.0,61.9,18223,1118690
2026-09-07,TPEX,3188,鑫龍騰,24.9,25.1,24.5,24.65,218725,5392714
2026-09-07,TPEX,3191,雲嘉南,17.3,17.3,17.15,17.2,27966,481913
2026-09-07,TPEX,3205,佰研,47.2,47.2,46.5,46.8,8155,381316
2026-09-07,TPEX,3206,志豐,34.45,35.5,34.0,34.95,65710,2295047
2026-09-07,TPEX,3207,耀勝,39.85,39.85,38.9,39.1,142078,5581653
2026-09-07,TPEX,3211,順達,398.0,398.0,383.5,384.0,3306304,1281661860
2026-09-07,TPEX,3213,茂訊,129.5,129.5,124.5,126.0,733036,92268274
2026-09-07,TPEX,3217,優群,134.0,136.0,133.0,136.0,307843,41398110
2026-09-07,TPEX,3218,大學光,139.5,139.5,136.0,137.0,174793,23968608
2026-09-07,TPEX,3219,倚強科,92.3,95.0,91.4,93.3,711232,65977717
2026-09-07,TPEX,3221,台嘉碩,49.95,52.4,48.95,51.2,3976194,203496315
2026-09-07,TPEX,3224,三顧,33.4,33.4,33.0,33.25,31006,1030751
2026-09-07,TPEX,3226,龍鋒,54.9,56.0,54.5,55.1,23039,1269836
2026-09-07,TPEX,3227,原相,192.5,193.0,190.0,190.5,711106,135679814
2026-09-07,TPEX,3228,金麗科,178.0,180.0,174.0,177.0,205295,36506387
2026-09-07,TPEX,3230,錦明,42.6,43.3,42.05,42.2,251281,10637668
2026-09-07,TPEX,3232,昱捷,19.7,19.7,19.65,19.65,6001,117969
2026-09-07,TPEX,3234,光環,202.0,205.5,196.0,199.5,4321459,867114900
2026-09-07,TPEX,3236,千如,45.05,47.15,44.55,45.95,5359683,246529316
2026-09-07,TPEX,3252,海灣,15.45,15.65,15.3,15.4,15009,231538
2026-09-07,TPEX,3259,鑫創,12.15,12.15,11.1,11.1,34169,386589
2026-09-07,TPEX,3260,威剛,410.0,419.0,410.0,412.0,6454193,2669902804
2026-09-07,TPEX,3264,欣銓,230.0,233.0,227.0,227.0,3169074,728509578
2026-09-07,TPEX,3265,台星科,179.0,179.5,176.0,176.0,826533,146620472
2026-09-07,TPEX,3268,海德威,17.4,18.8,17.3,18.3,74030,1320923
2026-09-07,TPEX,3272,東碩,14.55,14.6,14.4,14.55,37703,546842
2026-09-07,TPEX,3276,宇環,14.15,14.15,13.95,14.05,162420,2280403
2026-09-07,TPEX,3284,太普高,20.45,20.55,20.0,20.2,264239,5329016
2026-09-07,TPEX,3285,微端,42.95,42.95,41.1,41.1,4289,178220
2026-09-07,TPEX,3287,廣寰科,36.3,36.3,35.45,35.45,262978,9390619
2026-09-07,TPEX,3288,點晶,20.4,20.45,20.3,20.3,20649,420095
