trade_date,market,stock_id,name,open,high,low,close,volume,trading_value
2026-09-08,TWSE,0050,元大台灣50,110.0,110.75,109.55,109.65,75243156,8285982385
2026-09-08,TWSE,0051,元大中型100,147.8,147.8,145.95,146.05,28386,4160992
2026-09-08,TWSE,0052,富邦科技,63.8,64.45,63.5,63.6,22549037,1443965723
2026-09-08,TWSE,0053,元大電子,249.15,249.15,246.0,246.0,32805,8136210
2026-09-08,TWSE,0055,元大MSCI金融,48.63,49.3,48.53,49.24,481438,23582951
2026-09-08,TWSE,0056,元大高股息,55.95,55.95,55.5,55.75,17306149,964392261
2026-09-08,TWSE,0057,富邦摩台,328.1,330.85,327.6,327.85,35830,11805524
2026-09-08,TWSE,0061,元大寶滬深,24.26,24.26,24.05,24.08,82466,1987067
2026-09-08,TWSE,1101,台泥,24.3,24.5,24.2,24.3,16729814,406258635
2026-09-08,TWSE,1102,亞泥,35.15,35.2,34.85,35.2,5994897,210508410
2026-09-08,TWSE,1103,嘉泥,13.2,13.25,13.15,13.15,230667,3047608
2026-09-08,TWSE,1104,環泥,27.4,27.65,27.25,27.45,477678,13126333
2026-09-08,TWSE,1108,幸福,11.65,11.65,11.5,11.6,265848,3078595
2026-09-08,TWSE,1109,信大,13.55,13.55,13.4,13.5,99418,1340569
2026-09-08,TWSE,1110,東泥,15.85,16.05,15.85,16.0,83653,1332873
2026-09-08,TWSE,1201,味全,12.2,12.2,12.1,12.1,271883,3296396
2026-09-08,TWSE,1203,味王,45.8,45.85,45.4,45.85,9775,447052
2026-09-08,TWSE,1210,大成,52.4,52.8,52.0,52.5,1365033,71677088
2026-09-08,TWSE,1213,大飲,7.3,7.59,7.29,7.59,24123,177801
2026-09-08,TWSE,1215,卜蜂,111.0,111.0,110.0,110.0,308491,34052489
2026-09-08,TWSE,1216,統一,75.3,76.7,75.1,76.7,12646668,964614321
2026-09-08,TWSE,1217,愛之味,9.92,9.97,9.91,9.96,321554,3195549
2026-09-08,TWSE,1218,泰山,14.55,14.55,14.45,14.45,460386,6675683
2026-09-08,TWSE,1219,福壽,11.6,11.75,11.55,11.75,257088,2999623
2026-09-08,TWSE,1220,台榮,10.7,11.1,10.7,11.0,180306,1971604
2026-09-08,TWSE,1225,福懋油,25.0,25.45,25.0,25.05,41514,1045341
2026-09-08,TWSE,1227,佳格,28.5,28.65,28.3,28.55,475468,13571983
2026-09-08,TWSE,1229,聯華,41.65,42.0,41.45,41.7,1352666,56423046
2026-09-08,TWSE,1231,聯華食,80.1,80.6,80.1,80.4,194240,15617232
2026-09-08,TWSE,1232,大統益,156.5,157.5,156.0,157.0,88952,13956020
2026-09-08,TWSE,1233,天仁,28.1,28.1,27.85,28.1,22851,640668
2026-09-08,TWSE,1234,黑松,33.25,33.55,33.25,33.4,57519,1921154
2026-09-08,TWSE,1235,興泰,39.0,39.0,38.45,38.95,16113,624843
2026-09-08,TWSE,1236,宏亞,26.2,26.3,26.1,26.25,28620,750693
2026-09-08,TWSE,1256,鮮活果汁-KY,173.5,176.5,173.5,174.0,42492,7441325
2026-09-08,TWSE,1301,台塑,67.4,67.4,64.7,65.1,28241360,1847628069
2026-09-08,TWSE,1303,南亞,236.0,239.5,229.0,235.0,65193109,15306594271
2026-09-08,TWSE,1304,台聚,12.3,12.5,12.2,12.35,2632612,32507979
2026-09-08,TWSE,1305,華夏,12.1,12.3,12.1,12.15,788385,9635010
2026-09-08,TWSE,1307,三芳,30.3,30.65,30.3,30.65,344722,10504068
2026-09-08,TWSE,1308,亞聚,14.1,14.35,13.95,14.15,1562220,22075964
2026-09-08,TWSE,1309,台達化,13.6,13.75,13.5,13.6,1431811,19528525
2026-09-08,TWSE,1310,台苯,8.64,8.64,8.49,8.57,1970702,16823789
2026-09-08,TWSE,1312,國喬,14.1,14.15,13.8,13.9,13294342,184984388
2026-09-08,TWSE,1313,聯成,11.85,11.9,11.7,11.8,1313635,15530271
2026-09-08,TWSE,1314,中石化,8.1,8.12,8.06,8.11,14930552,120704806
2026-09-08,TWSE,1315,達新,65.8,66.2,65.5,66.1,30210,1991856
2026-09-08,TWSE,1316,上曜,10.8,11.0,10.75,10.8,2578141,27937505
2026-09-08,TWSE,1319,東陽,81.7,81.7,78.8,79.0,2841504,226918642
2026-09-08,TWSE,1321,大洋,32.5,32.55,32.2,32.35,61579,1994217
2026-09-08,TWSE,1323,永裕,21.1,21.25,21.1,21.25,8138,173104
2026-09-08,TWSE,1324,地球,10.05,10.1,10.0,10.0,34573,346486
2026-09-08,TWSE,1325,恆大,26.2,26.2,25.85,25.95,112268,2917058
2026-09-08,TWSE,1326,台化,72.6,72.6,70.1,70.6,24157597,1709253189
2026-09-08,TWSE,1337,再生-KY,4.55,4.56,4.5,4.51,308961,1394128
2026-09-08,TWSE,1338,廣華-KY,14.4,14.4,14.05,14.15,105057,1490499
2026-09-08,TWSE,1339,昭輝,42.9,43.3,42.85,42.95,67017,2882261
2026-09-08,TWSE,1340,勝悅-KY,5.24,5.24,5.12,5.23,95223,494423
2026-09-08,TWSE,1341,富林-KY,59.8,59.8,59.8,59.8,1471,88084
2026-09-08,TWSE,1342,八貫,103.5,103.5,101.0,102.5,191202,19505475
2026-09-08,TWSE,1402,遠東新,28.7,28.75,28.35,28.65,7430750,212103523
2026-09-08,TWSE,1409,新纖,24.45,24.7,24.0,24.45,8755855,212445493
2026-09-08,TWSE,1410,南染,24.6,24.75,24.5,24.55,53675,1319285
2026-09-08,TWSE,1413,宏洲,9.25,9.46,9.25,9.29,11914,110691
2026-09-08,TWSE,1414,東和,17.95,17.95,17.6,17.65,186565,3300926
2026-09-08,TWSE,1416,廣豐,11.6,11.6,11.4,11.5,287604,3302134
2026-09-08,TWSE,1417,嘉裕,8.27,8.27,8.13,8.2,160563,1313020
2026-09-08,TWSE,1418,東華,17.85,17.85,17.8,17.8,23422,417223
2026-09-08,TWSE,1419,新紡,68.3,68.6,67.3,67.5,45959,3110902
2026-09-08,TWSE,1423,利華,35.6,35.6,35.6,35.6,2756,97943
2026-09-08,TWSE,1432,大魯閣,15.1,15.1,15.0,15.05,72707,1094978
2026-09-08,TWSE,1434,福懋,18.05,18.05,17.7,17.8,2221461,39645052
2026-09-08,TWSE,1435,中福,22.2,23.4,22.2,23.35,9690,223149
2026-09-08,TWSE,1436,華友聯,37.9,37.9,37.15,37.15,214110,8034933
2026-09-08,TWSE,1437,勤益控,32.2,32.25,31.85,31.95,66198,2117775
2026-09-08,TWSE,1438,三地開發,23.4,23.6,22.95,23.3,194440,4525345
2026-09-08,TWSE,1439,雋揚,29.1,29.45,29.1,29.4,5816,170537
2026-09-08,TWSE,1440,南紡,13.6,13.85,13.25,13.6,4140239,56151846
2026-09-08,TWSE,1441,大東,8.72,8.8,8.67,8.8,31570,274823
2026-09-08,TWSE,1442,名軒,29.9,30.25,29.8,30.05,94880,2850311
2026-09-08,TWSE,1443,立益物流,23.4,23.8,23.4,23.65,7925,187593
2026-09-08,TWSE,1444,力麗,7.03,7.03,6.87,6.99,2540661,17625836
2026-09-08,TWSE,1445,大宇,10.3,10.4,10.15,10.4,181191,1860524
2026-09-08,TWSE,1446,宏和,13.4,13.4,13.3,13.35,109897,1466398
2026-09-08,TWSE,1447,力鵬,6.66,6.7,6.61,6.69,817178,5431461
