trade_date,market,stock_id,name,foreign_buy,foreign_sell,foreign_net,trust_buy,trust_sell,trust_net,dealer_buy,dealer_sell,dealer_net,raw_json
2026-09-17,TPEX,00411A,主動統一前沿科技,0,0,0,0,0,0,9783051,773000,9010051,"{""Date"":""1150917"",""SecuritiesCompanyCode"":""00411A"",""CompanyName"":""主動統一前沿科技"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""4262269"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""288219"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""3974050"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""4262269"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""288219"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""3974050"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""9783051"",""Dealers-TotalSell"":""773000"",""Dealers-Difference"":""9010051"",""Dealers -TotalSell"":""773000"",""TotalDifference"":""12984101""}"
2026-09-17,TPEX,00679B,元大美債20年,0,0,0,0,0,0,5075956,2677000,2398956,"{""Date"":""1150917"",""SecuritiesCompanyCode"":""00679B"",""CompanyName"":""元大美債20年"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""1430000"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""1307380"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""122620"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""1430000"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""1307380"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""122620"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""5075956"",""Dealers-TotalSell"":""2677000"",""Dealers-Difference"":""2398956"",""Dealers -TotalSell"":""2567000"",""TotalDifference"":""2521576""}"
2026-09-17,TPEX,00687B,國泰20年美債,0,0,0,0,0,0,6728560,1511132,5217428,"{""Date"":""1150917"",""SecuritiesCompanyCode"":""00687B"",""CompanyName"":""國泰20年美債"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""217112"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""672000"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""-454888"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""217112"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""672000"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""-454888"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""6728560"",""Dealers-TotalSell"":""1511132"",""Dealers-Difference"":""5217428"",""Dealers -TotalSell"":""1511132"",""TotalDifference"":""4762540""}"
2026-09-17,TPEX,00687C,國泰20年美債+櫃U,0,0,0,0,0,0,25000,25000,0,"{""Date"":""1150917"",""SecuritiesCompanyCode"":""00687C"",""CompanyName"":""國泰20年美債+櫃U"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""0"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""0"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""0"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""0"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""0"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""25000"",""Dealers-TotalSell"":""25000"",""Dealers-Difference"":""0"",""Dealers -TotalSell"":""25000"",""TotalDifference"":""0""}"
2026-09-17,TPEX,00694B,富邦美債1-3,0,0,0,0,0,0,88000,107475,-19475,"{""Date"":""1150917"",""SecuritiesCompanyCode"":""00694B"",""CompanyName"":""富邦美債1-3"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""0"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""1000"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""-1000"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""1000"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""-1000"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""88000"",""Dealers-TotalSell"":""107475"",""Dealers-Difference"":""-19475"",""Dealers -TotalSell"":""107475"",""TotalDifference"":""-20475""}"
2026-09-17,TPEX,00695B,富邦美債7-10,0,0,0,0,0,0,186001,184239,1762,"{""Date"":""1150917"",""SecuritiesCompanyCode"":""00695B"",""CompanyName"":""富邦美債7-10"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""0"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""6000"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""-6000"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""6000"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""-6000"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""186001"",""Dealers-TotalSell"":""184239"",""Dealers-Difference"":""1762"",""Dealers -TotalSell"":""184239"",""TotalDifference"":""-4238""}"
2026-09-17,TPEX,00696B,富邦美債20年,0,0,0,0,0,0,551713,677350,-125637,"{""Date"":""1150917"",""SecuritiesCompanyCode"":""00696B"",""CompanyName"":""富邦美債20年"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""214000"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""5000"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""209000"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""214000"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""5000"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""209000"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""551713"",""Dealers-TotalSell"":""677350"",""Dealers-Difference"":""-125637"",""Dealers -TotalSell"":""677350"",""TotalDifference"":""83363""}"
2026-09-17,TPEX,00697B,元大美債7-10,0,0,0,0,0,0,125000,357445,-232445,"{""Date"":""1150917"",""SecuritiesCompanyCode"":""00697B"",""CompanyName"":""元大美債7-10"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""2000"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""0"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""2000"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""2000"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""0"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""2000"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""125000"",""Dealers-TotalSell"":""357445"",""Dealers-Difference"":""-232445"",""Dealers -TotalSell"":""357445"",""TotalDifference"":""-230445""}"
2026-09-17,TPEX,00719B,元大美債1-3,0,0,0,0,0,0,16000,1227000,-1211000,"{""Date"":""1150917"",""SecuritiesCompanyCode"":""00719B"",""CompanyName"":""元大美債1-3"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""250000"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""243000"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""7000"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""250000"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""243000"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""7000"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""16000"",""Dealers-TotalSell"":""1227000"",""Dealers-Difference"":""-1211000"",""Dealers -TotalSell"":""1227000"",""TotalDifference"":""-1204000""}"
2026-09-17,TPEX,00720B,元大投資級公司債,0,0,0,0,0,0,957596,87000,870596,"{""Date"":""1150917"",""SecuritiesCompanyCode"":""00720B"",""CompanyName"":""元大投資級公司債"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""1138000"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""120000"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""1018000"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""1138000"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""120000"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""1018000"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""957596"",""Dealers-TotalSell"":""87000"",""Dealers-Difference"":""870596"",""Dealers -TotalSell"":""7000"",""TotalDifference"":""1888596""}"
