date,code,market,event_type,official_prev_close,reference_price,cash_dividend_per_share,stock_shares_per_1000,continuity_bridge,source
20200102,5324,TPEX,除權,9.8,9.73,0.0,0.0,1.0071942446043165,TPEX_exDailyQ
20200113,3073,TPEX,REDUCTION:彌補虧損,5.2,9.76,0.0,532.543,0.5327868852459017,TPEX_revivt
20200113,3086,TPEX,REDUCTION:彌補虧損,7.06,32.18,0.0,219.36,0.21939092604101926,TPEX_revivt
20200115,6472,TPEX,除權,149.0,147.46,0.0,0.0,1.0104435101044351,TPEX_exDailyQ
20200117,6222,TPEX,REDUCTION:彌補虧損,10.7,15.09,0.0,709.0,0.7090788601722995,TPEX_revivt
20200120,3557,TWSE,REDUCTION:彌補虧損,38.05,48.57,0.0,783.4053942763022,0.7834053942763022,TWSE_TWTAUU
20200120,3682,TWSE,REDUCTION:彌補虧損,6.95,10.6,0.0,655.6603773584906,0.6556603773584906,TWSE_TWTAUU
20200120,4934,TWSE,REDUCTION:彌補虧損,6.55,11.67,0.0,561.2682090831191,0.5612682090831191,TWSE_TWTAUU
20200211,3483,TPEX,除權,55.8,54.76,0.0,0.0,1.0189919649379109,TPEX_exDailyQ
20200212,8086,TPEX,除權,99.7,98.07,0.0,0.0,1.0166207810747427,TPEX_exDailyQ
20200213,6023,TPEX,除權,55.8,55.25,0.0,0.0,1.0099547511312217,TPEX_exDailyQ
20200213,6213,TWSE,權,140.0,137.29,0.0,0.0,1.0197392381091122,TWSE_TWT49U
20200217,1417,TWSE,REDUCTION:退還股款,9.65,9.5,0.0,1015.7894736842105,1.0157894736842106,TWSE_TWTAUU
20200219,5215,TWSE,權,61.8,60.8,0.0,0.0,1.0164473684210527,TWSE_TWT49U
20200220,2542,TWSE,息,46.2,45.2,1.0,0.0,1.0221238938053097,TWSE_TWT49U
20200224,2740,TPEX,REDUCTION:彌補虧損,8.14,15.57,0.0,522.74347,0.5228002569043032,TPEX_revivt
20200224,6419,TPEX,REDUCTION:彌補虧損,6.93,14.64,0.0,473.26343,0.47336065573770486,TPEX_revivt
20200302,4563,TPEX,除權,46.7,45.48,0.0,0.0,1.0268249780123133,TPEX_exDailyQ
20200304,6024,TWSE,權,44.75,43.07,0.0,0.0,1.0390062688646389,TWSE_TWT49U
20200304,6220,TPEX,除權,22.25,21.93,0.0,0.0,1.0145918832649339,TPEX_exDailyQ
20200305,1449,TWSE,權,12.55,12.04,0.0,0.0,1.042358803986711,TWSE_TWT49U
20200305,4746,TWSE,權,41.9,41.47,0.0,0.0,1.0103689414034243,TWSE_TWT49U
20200305,6523,TPEX,除息,91.0,81.0,10.0,0.0,1.123456790123457,TPEX_exDailyQ
20200309,6289,TWSE,REDUCTION:彌補虧損,0.85,2.83,0.0,300.35335689045934,0.30035335689045933,TWSE_TWTAUU
20200310,1506,TWSE,權,11.9,11.43,0.0,0.0,1.0411198600174978,TWSE_TWT49U
20200312,2101,TWSE,息,41.55,40.8,0.75,0.0,1.0183823529411764,TWSE_TWT49U
20200312,3680,TPEX,除息,160.0,159.05,0.95230865,0.0,1.0059729644765796,TPEX_exDailyQ
20200312,6208,TPEX,除息,27.35,25.65,1.7,0.0,1.0662768031189085,TPEX_exDailyQ
20200316,2406,TWSE,權,10.15,10.1,0.0,0.0,1.004950495049505,TWSE_TWT49U
20200316,2483,TWSE,息,18.35,17.35,1.0,0.0,1.057636887608069,TWSE_TWT49U
20200316,2752,TPEX,除息,105.0,99.8,5.2,0.0,1.0521042084168337,TPEX_exDailyQ
20200316,5225,TWSE,息,23.1,22.59,0.5100000000000016,0.0,1.0225763612217795,TWSE_TWT49U
20200319,2330,TWSE,息,260.0,257.5,2.5,0.0,1.0097087378640777,TWSE_TWT49U
20200320,5283,TWSE,息,82.1,78.1,4.0,0.0,1.0512163892445583,TWSE_TWT49U
20200320,9105,TWSE,息,2.21,2.18,0.029999999999999805,0.0,1.013761467889908,TWSE_TWT49U
20200326,2613,TWSE,息,10.55,10.38,0.16999999999999993,0.0,1.0163776493256262,TWSE_TWT49U
20200326,2939,TWSE,息,92.3,87.8,4.5,0.0,1.05125284738041,TWSE_TWT49U
20200327,3005,TWSE,息,45.55,42.75,2.799999999999997,0.0,1.0654970760233917,TWSE_TWT49U
20200327,3563,TWSE,權,237.0,237.61,0.0,0.0,0.9974327679811456,TWSE_TWT49U
20200330,3004,TWSE,息,53.6,50.93,2.6700000000000017,0.0,1.0524248969173375,TWSE_TWT49U
20200330,6104,TPEX,除息,29.5,27.5,2.0,0.0,1.0727272727272728,TPEX_exDailyQ
20200331,1313,TWSE,息,8.13,7.93,0.20000000000000107,0.0,1.025220680958386,TWSE_TWT49U
20200331,5904,TPEX,除息,440.0,422.9,17.1,0.0,1.0404350910380704,TPEX_exDailyQ
20200331,8908,TPEX,除息,43.2,42.3,0.9,0.0,1.021276595744681,TPEX_exDailyQ
20200401,8401,TPEX,除息,11.0,10.5,0.5005605,0.0,1.0476190476190477,TPEX_exDailyQ
20200408,1712,TWSE,息,19.15,17.85,1.2999999999999972,0.0,1.0728291316526608,TWSE_TWT49U
20200409,1457,TWSE,息,11.8,11.3,0.5,0.0,1.0442477876106195,TWSE_TWT49U
20200409,1524,TWSE,息,8.83,8.43,0.40000000000000036,0.0,1.047449584816133,TWSE_TWT49U
20200409,2063,TPEX,除息,35.85,33.35,2.5,0.0,1.0749625187406298,TPEX_exDailyQ
20200409,2385,TWSE,息,82.8,76.9,5.8999999999999915,0.0,1.0767230169050714,TWSE_TWT49U
20200409,6412,TWSE,息,57.6,54.4,3.200000000000003,0.0,1.0588235294117647,TWSE_TWT49U
20200413,4973,TPEX,除息,26.9,25.7,1.2,0.0,1.046692607003891,TPEX_exDailyQ
20200415,3218,TPEX,除息,76.3,74.3,2.0,0.0,1.0269179004037685,TPEX_exDailyQ
20200416,4173,TPEX,除權,20.65,18.38,0.0,0.0,1.1235038084874864,TPEX_exDailyQ
20200416,8446,TPEX,除息,114.5,110.0,4.5,0.0,1.040909090909091,TPEX_exDailyQ
20200417,2888,TWSE,權,8.43,8.4,0.0,0.0,1.0035714285714286,TWSE_TWT49U
20200417,6208,TPEX,除權,24.35,24.14,0.0,0.0,1.0086992543496272,TPEX_exDailyQ
20200417,6274,TPEX,除息,132.0,127.4,4.60373477,0.0,1.0361067503924646,TPEX_exDailyQ
20200422,2910,TWSE,息,30.9,30.2,0.6999999999999993,0.0,1.0231788079470199,TWSE_TWT49U
20200422,6589,TPEX,除權,35.4,34.3,0.0,0.0,1.032069970845481,TPEX_exDailyQ
20200423,2064,TPEX,除息,12.1,11.5,0.6,0.0,1.0521739130434782,TPEX_exDailyQ
20200423,2726,TPEX,除息,58.2,55.7,2.50051358,0.0,1.0448833034111311,TPEX_exDailyQ
20200423,5215,TWSE,權,67.8,66.3,0.0,0.0,1.0226244343891402,TWSE_TWT49U
20200423,5469,TWSE,權,39.35,39.11,0.0,0.0,1.0061365379698288,TWSE_TWT49U
20200423,6224,TWSE,息,65.5,61.5,4.0,0.0,1.065040650406504,TWSE_TWT49U
20200423,8112,TWSE,息,34.95,32.25,2.700000000000003,0.0,1.0837209302325583,TWSE_TWT49U
20200512,6219,TPEX,除息,16.95,16.3,0.65208208,0.0,1.039877300613497,TPEX_exDailyQ
20200520,5864,TPEX,除息,8.8,8.25,0.55,0.0,1.0666666666666667,TPEX_exDailyQ
20200520,8440,TPEX,除息,13.3,12.9,0.4,0.0,1.0310077519379846,TPEX_exDailyQ
20200527,8924,TPEX,除息,47.9,44.1,3.8,0.0,1.0861678004535147,TPEX_exDailyQ
20200528,2809,TWSE,息,34.1,32.6,1.5,0.0,1.0460122699386503,TWSE_TWT49U
20200528,6251,TWSE,權,19.55,19.2,0.0,0.0,1.0182291666666667,TWSE_TWT49U
20200601,3443,TWSE,息,231.0,226.0,5.0,0.0,1.0221238938053097,TWSE_TWT49U
20200602,8454,TWSE,息,585.0,576.5,8.5,0.0,1.0147441457068518,TWSE_TWT49U
20200603,9136,TWSE,息,9.7,9.31,0.3899999999999988,0.0,1.0418904403866809,TWSE_TWT49U
20200604,5274,TPEX,除息,1295.0,1273.0,22.0,0.0,1.0172820109976433,TPEX_exDailyQ
20200608,2467,TWSE,息,33.0,30.5,2.5,0.0,1.0819672131147542,TWSE_TWT49U
20200608,3388,TPEX,除息,69.5,65.9,3.6,0.0,1.054628224582701,TPEX_exDailyQ
20200608,4420,TPEX,除息,25.0,24.0,1.0,0.0,1.0416666666666667,TPEX_exDailyQ
20200608,5211,TPEX,除息,14.3,13.9,0.4,0.0,1.0287769784172662,TPEX_exDailyQ
20200609,1218,TWSE,息,25.25,24.35,0.8999999999999986,0.0,1.0369609856262834,TWSE_TWT49U
20200609,9940,TWSE,息,29.3,28.1,1.1999999999999993,0.0,1.0427046263345194,TWSE_TWT49U
20200610,2406,TWSE,權,9.28,9.06,0.0,0.0,1.0242825607064017,TWSE_TWT49U
20200610,2548,TWSE,息,98.5,91.0,7.5,0.0,1.0824175824175823,TWSE_TWT49U
20200610,3029,TWSE,息,38.2,36.18,2.020000000000003,0.0,1.0558319513543395,TWSE_TWT49U
20200610,4152,TPEX,除權,71.9,71.44,0.0,0.0,1.0064389697648377,TPEX_exDailyQ
20200610,5230,TPEX,除息,23.2,22.56,0.63833388,0.0,1.0283687943262412,TPEX_exDailyQ
20200610,6123,TPEX,除息,43.2,40.6,2.6,0.0,1.064039408866995,TPEX_exDailyQ
20200610,6654,TPEX,除息,57.6,56.6,1.0,0.0,1.017667844522968,TPEX_exDailyQ
20200611,1504,TWSE,息,28.65,27.66,0.9899999999999984,0.0,1.0357917570498916,TWSE_TWT49U
20200611,2890,TWSE,息,12.35,11.65,0.6999999999999993,0.0,1.0600858369098711,TWSE_TWT49U
20200611,3030,TWSE,息,59.2,55.9,3.3000000000000043,0.0,1.0590339892665475,TWSE_TWT49U
20200611,4747,TPEX,除息,43.9,42.1,1.8,0.0,1.0427553444180522,TPEX_exDailyQ
20200611,5543,TPEX,除息,20.55,19.75,0.8,0.0,1.040506329113924,TPEX_exDailyQ
20200611,5878,TPEX,除息,49.2,46.2,3.0,0.0,1.0649350649350648,TPEX_exDailyQ
20200611,6023,TPEX,除息,58.6,55.4,3.2,0.0,1.0577617328519857,TPEX_exDailyQ
20200611,6491,TWSE,息,169.0,166.5,2.5,0.0,1.015015015015015,TWSE_TWT49U
20200611,6680,TPEX,除息,66.6,64.08,2.52175917,0.0,1.0393258426966292,TPEX_exDailyQ
20200611,8213,TWSE,息,38.2,35.65,2.5500000000000043,0.0,1.0715287517531558,TWSE_TWT49U
20200612,1587,TWSE,息,13.25,12.74,0.5099999999999998,0.0,1.0400313971742543,TWSE_TWT49U
20200612,2006,TWSE,息,24.3,22.95,1.3500000000000014,0.0,1.0588235294117647,TWSE_TWT49U
20200612,2832,TWSE,息,20.5,19.5,1.0,0.0,1.0512820512820513,TWSE_TWT49U
20200612,3675,TPEX,除息,66.9,65.6,1.3,0.0,1.019817073170732,TPEX_exDailyQ
20200612,6266,TPEX,除息,21.3,19.72,1.57999999,0.0,1.0801217038539555,TPEX_exDailyQ
20200612,6579,TWSE,息,67.8,64.6,3.200000000000003,0.0,1.0495356037151704,TWSE_TWT49U
20200612,6596,TPEX,除息,60.9,56.4,4.5,0.0,1.0797872340425532,TPEX_exDailyQ
20200612,8482,TWSE,息,113.0,106.96,6.040000000000006,0.0,1.056469708302169,TWSE_TWT49U
20200615,1611,TWSE,息,13.65,12.45,1.200000000000001,0.0,1.0963855421686748,TWSE_TWT49U
20200615,1727,TWSE,息,9.42,9.22,0.1999999999999993,0.0,1.021691973969631,TWSE_TWT49U
20200615,2458,TWSE,息,126.5,120.0,6.5,0.0,1.0541666666666667,TWSE_TWT49U
20200615,2642,TWSE,息,36.7,35.5,1.2000000000000028,0.0,1.0338028169014086,TWSE_TWT49U
20200615,3303,TPEX,除息,25.1,23.43,1.6687643,0.0,1.071276141698677,TPEX_exDailyQ
20200615,3416,TWSE,息,61.1,58.1,3.0,0.0,1.0516351118760758,TWSE_TWT49U
20200615,3563,TWSE,息,322.0,312.0,10.0,0.0,1.0320512820512822,TWSE_TWT49U
20200615,4527,TPEX,除息,26.45,24.85,1.6,0.0,1.0643863179074446,TPEX_exDailyQ
20200615,5514,TPEX,除息,20.75,20.25,0.5,0.0,1.0246913580246915,TPEX_exDailyQ
20200615,6581,TWSE,息,62.0,59.4,2.6000000000000014,0.0,1.043771043771044,TWSE_TWT49U
20200615,8416,TPEX,除息,121.5,114.5,7.0,0.0,1.0611353711790392,TPEX_exDailyQ
20200616,1264,TPEX,除息,228.0,217.0,11.0039187,0.0,1.0506912442396312,TPEX_exDailyQ
20200616,2347,TWSE,息,46.1,43.5,2.6000000000000014,0.0,1.0597701149425287,TWSE_TWT49U
20200616,3118,TPEX,除息,36.3,35.0,1.3,0.0,1.0371428571428571,TPEX_exDailyQ
20200616,3167,TWSE,息,40.95,38.95,2.0,0.0,1.0513478818998716,TWSE_TWT49U
20200616,3512,TPEX,除權,29.6,28.73,0.0,0.0,1.0302819352593109,TPEX_exDailyQ
20200616,4972,TPEX,除息,31.05,28.81,2.24135984,0.0,1.077750780978827,TPEX_exDailyQ
20200617,1711,TWSE,息,14.85,14.55,0.29999999999999893,0.0,1.0206185567010309,TWSE_TWT49U
20200617,2404,TWSE,息,224.0,211.0,13.0,0.0,1.061611374407583,TWSE_TWT49U
20200617,6112,TWSE,息,45.95,42.95,3.0,0.0,1.069848661233993,TWSE_TWT49U
20200617,6505,TWSE,息,90.8,87.9,2.8999999999999915,0.0,1.0329920364050056,TWSE_TWT49U
20200617,8432,TPEX,除息,67.8,66.0,1.8,0.0,1.0272727272727273,TPEX_exDailyQ
20200618,2020,TWSE,息,18.9,17.05,1.8499999999999979,0.0,1.1085043988269794,TWSE_TWT49U
20200618,2330,TWSE,息,315.0,312.5,2.5,0.0,1.008,TWSE_TWT49U
20200618,2480,TWSE,息,72.7,68.25,4.450000000000003,0.0,1.0652014652014652,TWSE_TWT49U
20200618,2851,TWSE,息,19.7,18.8,0.8999999999999986,0.0,1.047872340425532,TWSE_TWT49U
20200618,6494,TPEX,除息,33.15,31.15,2.0,0.0,1.0642054574638844,TPEX_exDailyQ
20200618,8930,TPEX,除息,12.0,11.39,0.61002886,0.0,1.0535557506584723,TPEX_exDailyQ
20200618,9924,TWSE,息,42.35,39.75,2.6000000000000014,0.0,1.0654088050314465,TWSE_TWT49U
20200619,1315,TWSE,息,59.5,55.85,3.6499999999999986,0.0,1.0653536257833482,TWSE_TWT49U
20200619,2430,TWSE,息,19.2,18.2,1.0,0.0,1.054945054945055,TWSE_TWT49U
20200619,6425,TPEX,除息,25.0,24.49,0.51292656,0.0,1.0208248264597797,TPEX_exDailyQ
20200619,6612,TPEX,除息,75.3,74.8,0.5,0.0,1.0066844919786095,TPEX_exDailyQ
20200622,2327,TWSE,息,404.5,391.43,13.069999999999993,0.0,1.033390389086171,TWSE_TWT49U
20200622,2359,TWSE,息,21.5,20.7,0.8000000000000007,0.0,1.038647342995169,TWSE_TWT49U
20200622,2375,TWSE,息,36.2,35.7,0.5,0.0,1.0140056022408963,TWSE_TWT49U
20200622,2723,TWSE,息,104.0,101.0,3.0,0.0,1.0297029702970297,TWSE_TWT49U
20200622,2926,TPEX,除息,93.7,89.5,4.2,0.0,1.046927374301676,TPEX_exDailyQ
20200622,3489,TPEX,除息,10.75,10.45,0.3,0.0,1.028708133971292,TPEX_exDailyQ
20200622,4155,TWSE,權息,31.75,29.6,1.4400000000000013,0.0,1.072635135135135,TWSE_TWT49U
20200622,5009,TPEX,除息,16.2,15.69,0.50702586,0.0,1.0325047801147227,TPEX_exDailyQ
20200622,5227,TPEX,REDUCTION:彌補虧損,10.0,18.58,0.0,538.21955,0.5382131324004307,TPEX_revivt
20200622,5523,TPEX,除息,11.3,11.0,0.3,0.0,1.0272727272727273,TPEX_exDailyQ
20200622,6573,TWSE,權,19.25,18.8,0.0,0.0,1.0239361702127658,TWSE_TWT49U
20200623,1259,TPEX,除息,70.8,67.6,3.2,0.0,1.047337278106509,TPEX_exDailyQ
20200623,1319,TWSE,息,39.8,38.0,1.7999999999999972,0.0,1.0473684210526315,TWSE_TWT49U
20200623,1410,TWSE,息,34.05,33.05,1.0,0.0,1.0302571860816945,TWSE_TWT49U
20200623,1605,TWSE,息,14.7,14.19,0.5099999999999998,0.0,1.0359408033826638,TWSE_TWT49U
20200623,1731,TWSE,息,15.25,14.65,0.5999999999999996,0.0,1.0409556313993173,TWSE_TWT49U
20200623,2301,TWSE,息,53.1,49.9,3.200000000000003,0.0,1.0641282565130261,TWSE_TWT49U
20200623,2426,TWSE,息,13.85,13.54,0.3100000000000005,0.0,1.0228951255539143,TWSE_TWT49U
20200623,2722,TWSE,息,35.95,35.75,0.20000000000000284,0.0,1.0055944055944057,TWSE_TWT49U
20200623,2916,TPEX,除息,16.85,15.75,1.1,0.0,1.06984126984127,TPEX_exDailyQ
20200623,3583,TWSE,息,49.3,47.3,2.0,0.0,1.0422832980972516,TWSE_TWT49U
20200623,5871,TWSE,權息,128.0,118.65,9.349999999999994,0.0,1.078803202697008,TWSE_TWT49U
20200623,6643,TPEX,除息,354.5,346.95,7.55087279,0.0,1.0217610606715666,TPEX_exDailyQ
20200623,6716,TPEX,除息,72.5,69.77,2.72881176,0.0,1.0391285652859397,TPEX_exDailyQ
20200623,8109,TPEX,除息,72.2,68.18,4.02470716,0.0,1.0589615723085948,TPEX_exDailyQ
20200623,8342,TPEX,除息,56.8,53.3,3.5,0.0,1.0656660412757974,TPEX_exDailyQ
20200623,9911,TWSE,息,49.35,46.7,2.6499999999999986,0.0,1.056745182012848,TWSE_TWT49U
20200624,1707,TWSE,息,198.0,191.5,6.5,0.0,1.0339425587467364,TWSE_TWT49U
20200624,2357,TWSE,息,246.5,232.5,14.0,0.0,1.060215053763441,TWSE_TWT49U
20200624,3081,TPEX,除息,293.5,289.5,4.00006598,0.0,1.0138169257340242,TPEX_exDailyQ
