date,code,market,event_type,official_prev_close,reference_price,cash_dividend_per_share,stock_shares_per_1000,continuity_bridge,source
20260105,5704,TPEX,EX_RIGHT,29.4,26.89,0.0,0.0,0.9146258503401361,TPEX:exright
20260106,2442,TWSE,EX_RIGHT,24.8,24.12,,,0.9725806451612903,TWSE:exright
20260106,2454,TWSE,EX_DIVIDEND,1525.0,1496.0,29.0,,0.980983606557377,TWSE:exright
20260108,1707,TWSE,EX_DIVIDEND,127.0,124.8,2.200000000000003,,0.9826771653543307,TWSE:exright
20260108,2247,TWSE,EX_DIVIDEND,281.5,275.0,6.5,,0.9769094138543517,TWSE:exright
20260108,4104,TWSE,EX_RIGHT,79.1,77.39,,,0.9783817951959546,TWSE:exright
20260108,4737,TWSE,EX_RIGHT,55.0,54.35,,,0.9881818181818182,TWSE:exright
20260108,5483,TPEX,EX_DIVIDEND,124.0,123.0,1.0,0.0,0.9919354838709677,TPEX:exright
20260108,6629,TPEX,EX_DIVIDEND,124.0,122.0,1.99713055,0.0,0.9838709677419355,TPEX:exright
20260112,1414,TWSE,REDUCTION:退還股款,17.45,18.27,,,1.0469914040114614,TWSE:reduction
20260112,3522,TPEX,EX_RIGHT,17.9,17.44,0.0,0.0,0.9743016759776538,TPEX:exright
20260112,6613,TPEX,EX_DIVIDEND,198.5,195.5,3.0,0.0,0.9848866498740554,TPEX:exright
20260112,6763,TPEX,EX_DIVIDEND,57.9,56.95,0.95,0.0,0.9835924006908464,TPEX:exright
20260112,8093,TPEX,REDUCTION:彌補虧損,13.0,21.67,,,1.666923076923077,TPEX:reduction
20260113,8021,TWSE,EX_RIGHT,218.0,216.11,,,0.9913302752293579,TWSE:exright
20260114,4130,TPEX,EX_RIGHT,36.8,35.32,0.0,0.0,0.9597826086956522,TPEX:exright
20260115,5457,TPEX,EX_RIGHT,40.05,39.26,0.0,0.0,0.980274656679151,TPEX:exright
20260115,5536,TPEX,EX_DIVIDEND,804.0,798.5,5.5,0.0,0.9931592039800995,TPEX:exright
20260119,7780,TWSE,PAR_VALUE_CHANGE,185.0,18.5,,,0.1,TWSE:par_value
20260120,3363,TPEX,EX_RIGHT,402.5,394.89,0.0,0.0,0.9810931677018633,TPEX:exright
20260122,0050,TWSE,EX_DIVIDEND,71.85,70.85,1.0,,0.9860821155184412,TWSE:exright
20260122,0056,TWSE,EX_DIVIDEND,38.21,37.34,0.8699999999999974,,0.9772310913373463,TWSE:exright
20260122,1437,TWSE,EX_DIVIDEND,32.8,32.31,0.4899999999999949,,0.9850609756097563,TWSE:exright
20260126,2070,TPEX,EX_RIGHT,46.8,45.11,0.0,0.0,0.9638888888888889,TPEX:exright
20260126,3189,TWSE,EX_RIGHT,214.0,204.83,,,0.9571495327102805,TWSE:exright
20260127,3289,TPEX,EX_DIVIDEND,124.5,123.47,1.03088514,0.0,0.9917269076305221,TPEX:exright
20260128,6733,TPEX,EX_RIGHT,37.95,37.8,0.0,0.0,0.9960474308300393,TPEX:exright
20260203,4174,TPEX,REDUCTION:彌補虧損,27.6,55.2,,,2.0,TPEX:reduction
20260204,2374,TWSE,EX_RIGHT,79.6,79.11,,,0.9938442211055277,TWSE:exright
20260204,3162,TPEX,EX_RIGHT,61.3,59.73,0.0,0.0,0.9743882544861338,TPEX:exright
20260204,6969,TWSE,EX_RIGHT,31.15,30.73,,,0.9865168539325844,TWSE:exright
20260204,8066,TPEX,EX_RIGHT,20.45,20.36,0.0,0.0,0.99559902200489,TPEX:exright
20260205,5534,TWSE,EX_RIGHT,79.7,78.13,,,0.9803011292346298,TWSE:exright
20260209,2338,TWSE,EX_RIGHT,35.5,34.96,,,0.9847887323943663,TWSE:exright
20260223,5604,TPEX,EX_DIVIDEND,39.15,37.15,2.0,0.0,0.9489144316730523,TPEX:exright
20260223,6179,TPEX,EX_RIGHT,26.9,25.66,0.0,0.0,0.9539033457249071,TPEX:exright
20260224,2421,TWSE,EX_RIGHT,147.0,145.96,,,0.9929251700680273,TWSE:exright
20260225,6109,TPEX,EX_RIGHT,12.5,12.0,0.0,0.0,0.96,TPEX:exright
20260304,3605,TWSE,EX_RIGHT,63.4,63.06,,,0.9946372239747635,TWSE:exright
20260305,4807,TWSE,EX_RIGHT,18.15,17.29,,,0.9526170798898072,TWSE:exright
20260309,8932,TPEX,PAR_VALUE_CHANGE,199.5,99.75,,,0.5,TPEX:par_value
20260311,3322,TPEX,EX_RIGHT,14.85,14.55,0.0,0.0,0.9797979797979799,TPEX:exright
20260312,1342,TWSE,EX_DIVIDEND,95.9,89.9,6.0,,0.9374348279457768,TWSE:exright
20260312,2762,TWSE,EX_DIVIDEND,79.4,75.28,4.1200000000000045,,0.9481108312342569,TWSE:exright
20260316,9802,TWSE,EX_DIVIDEND,85.8,83.8,2.0,,0.9766899766899767,TWSE:exright
20260317,2330,TWSE,EX_DIVIDEND,1845.0,1838.99,6.009999999999991,,0.9967425474254743,TWSE:exright
20260318,1712,TWSE,EX_DIVIDEND,47.0,44.5,2.5,,0.9468085106382979,TWSE:exright
20260318,3587,TPEX,EX_RIGHT,187.0,186.27,0.0,0.0,0.9960962566844921,TPEX:exright
20260319,2301,TWSE,EX_DIVIDEND,170.0,167.0,3.0,,0.9823529411764705,TWSE:exright
20260319,2430,TWSE,EX_DIVIDEND,22.75,21.95,0.8000000000000007,,0.9648351648351648,TWSE:exright
20260319,2613,TWSE,EX_DIVIDEND,26.1,25.1,1.0,,0.9616858237547893,TWSE:exright
20260319,3008,TWSE,EX_DIVIDEND,2440.0,2388.0,52.0,,0.978688524590164,TWSE:exright
20260319,3029,TWSE,EX_DIVIDEND,118.0,112.5,5.5,,0.9533898305084746,TWSE:exright
20260319,3038,TWSE,EX_DIVIDEND,23.5,22.3,1.1999999999999993,,0.948936170212766,TWSE:exright
20260319,4440,TWSE,EX_DIVIDEND,18.35,17.35,1.0,,0.9455040871934605,TWSE:exright
20260319,5306,TWSE,EX_DIVIDEND,89.2,88.16,1.0400000000000063,,0.9883408071748878,TWSE:exright
20260319,6720,TPEX,EX_DIVIDEND,173.0,169.5,3.50000001,0.0,0.9797687861271677,TPEX:exright
20260319,6955,TWSE,EX_DIVIDEND,167.0,165.5,1.5,,0.9910179640718563,TWSE:exright
20260319,9105,TWSE,EX_DIVIDEND,5.93,5.84,0.08999999999999986,,0.984822934232715,TWSE:exright
20260320,2006,TWSE,EX_DIVIDEND,75.0,70.7,4.299999999999997,,0.9426666666666667,TWSE:exright
20260320,2630,TWSE,EX_DIVIDEND,51.1,50.2,0.8999999999999986,,0.9823874755381605,TWSE:exright
20260320,3260,TPEX,EX_DIVIDEND,525.0,508.0,17.0,0.0,0.9676190476190476,TPEX:exright
20260320,5234,TWSE,EX_DIVIDEND,392.0,385.5,6.5,,0.9834183673469388,TWSE:exright
20260320,6235,TWSE,EX_DIVIDEND,49.1,47.9,1.2000000000000028,,0.9755600814663951,TWSE:exright
20260320,6548,TPEX,EX_DIVIDEND,46.8,46.35,0.45001156,0.0,0.9903846153846155,TPEX:exright
20260320,6910,TPEX,EX_DIVIDEND,32.3,30.55,1.75,0.0,0.9458204334365327,TPEX:exright
20260323,4163,TPEX,EX_DIVIDEND,108.0,104.5,3.5,0.0,0.9675925925925926,TPEX:exright
20260324,1623,TWSE,EX_DIVIDEND,200.0,192.0,8.0,,0.96,TWSE:exright
20260324,5478,TPEX,EX_DIVIDEND,110.0,102.5,7.5,0.0,0.9318181818181818,TPEX:exright
20260325,3005,TWSE,EX_DIVIDEND,127.0,120.21,6.790000000000006,,0.9465354330708661,TWSE:exright
20260325,4949,TWSE,EX_DIVIDEND,61.0,59.6,1.3999999999999986,,0.9770491803278689,TWSE:exright
20260325,6281,TWSE,EX_DIVIDEND,60.5,57.2,3.299999999999997,,0.9454545454545455,TWSE:exright
20260325,6894,TPEX,EX_DIVIDEND,374.5,366.0,8.5,0.0,0.9773030707610146,TPEX:exright
20260325,8464,TWSE,EX_DIVIDEND,383.0,367.0,16.0,,0.95822454308094,TWSE:exright
20260326,1477,TWSE,EX_DIVIDEND,268.0,259.0,9.0,,0.9664179104477612,TWSE:exright
20260326,1611,TWSE,EX_DIVIDEND,13.3,12.5,0.8000000000000007,,0.9398496240601504,TWSE:exright
20260326,2015,TWSE,EX_DIVIDEND,68.1,64.8,3.299999999999997,,0.9515418502202644,TWSE:exright
20260326,2101,TWSE,EX_DIVIDEND,35.2,34.5,0.7000000000000028,,0.9801136363636362,TWSE:exright
20260326,2108,TWSE,EX_DIVIDEND,25.35,24.35,1.0,,0.960552268244576,TWSE:exright
20260326,2109,TWSE,EX_DIVIDEND,15.15,14.65,0.5,,0.966996699669967,TWSE:exright
20260326,2458,TWSE,EX_DIVIDEND,135.0,130.57,4.430000000000007,,0.9671851851851851,TWSE:exright
20260326,2528,TWSE,EX_DIVIDEND,26.95,25.45,1.5,,0.9443413729128015,TWSE:exright
20260326,2947,TPEX,EX_DIVIDEND,80.0,78.9,1.1,0.0,0.9862500000000001,TPEX:exright
20260326,3188,TPEX,EX_DIVIDEND,32.3,29.1,3.19551547,0.0,0.9009287925696595,TPEX:exright
20260326,3218,TPEX,EX_DIVIDEND,138.5,130.75,7.75,0.0,0.944043321299639,TPEX:exright
20260326,3596,TWSE,EX_DIVIDEND,177.5,168.5,9.0,,0.9492957746478873,TWSE:exright
20260326,4105,TPEX,EX_DIVIDEND,80.0,75.5,4.5,0.0,0.94375,TPEX:exright
20260326,4420,TPEX,EX_DIVIDEND,48.4,45.4,3.0,0.0,0.9380165289256198,TPEX:exright
20260326,4930,TWSE,EX_DIVIDEND,20.0,19.4,0.6000000000000014,,0.97,TWSE:exright
20260326,5403,TPEX,EX_DIVIDEND,107.0,100.5,6.5,0.0,0.9392523364485982,TPEX:exright
20260326,5520,TPEX,EX_DIVIDEND,88.1,81.1,7.0,0.0,0.9205448354143019,TPEX:exright
20260326,6020,TPEX,EX_DIVIDEND,19.3,19.03,0.27266554,0.0,0.9860103626943005,TPEX:exright
20260326,6151,TPEX,EX_DIVIDEND,31.15,29.65,1.5,0.0,0.9518459069020867,TPEX:exright
20260326,6188,TPEX,EX_DIVIDEND,94.9,93.2,1.7,0.0,0.982086406743941,TPEX:exright
20260326,6415,TWSE,EX_DIVIDEND,293.5,290.94,2.5600000000000023,,0.9912776831345826,TWSE:exright
20260326,6423,TPEX,EX_DIVIDEND,89.8,88.8,1.0,0.0,0.9888641425389755,TPEX:exright
20260326,6523,TPEX,EX_DIVIDEND,118.5,116.5,2.0,0.0,0.9831223628691983,TPEX:exright
20260326,6534,TWSE,EX_DIVIDEND,93.4,89.1,4.300000000000011,,0.9539614561027836,TWSE:exright
20260326,6596,TPEX,EX_DIVIDEND,144.0,125.3,18.7,0.0,0.8701388888888889,TPEX:exright
20260326,6642,TPEX,EX_DIVIDEND,55.2,53.4,1.8,0.0,0.967391304347826,TPEX:exright
20260326,6703,TPEX,EX_DIVIDEND,120.5,115.7,4.8,0.0,0.9601659751037345,TPEX:exright
20260326,6761,TPEX,EX_DIVIDEND,189.0,183.0,6.0,0.0,0.9682539682539683,TPEX:exright
20260326,6865,TPEX,EX_DIVIDEND,34.55,33.15,1.40246153,0.0,0.9594790159189581,TPEX:exright
20260326,6953,TPEX,EX_DIVIDEND,227.5,221.5,6.0,0.0,0.9736263736263736,TPEX:exright
20260326,7732,TWSE,EX_DIVIDEND,36.7,35.2,1.5,,0.9591280653950953,TWSE:exright
20260326,7736,TWSE,EX_DIVIDEND,82.9,79.1,3.8000000000000114,,0.9541616405307598,TWSE:exright
20260326,8109,TPEX,EX_DIVIDEND,101.0,96.5,4.5,0.0,0.9554455445544554,TPEX:exright
20260326,8367,TWSE,EX_DIVIDEND,46.0,43.15,2.8500000000000014,,0.9380434782608695,TWSE:exright
20260326,8908,TPEX,EX_DIVIDEND,42.4,40.9,1.5,0.0,0.964622641509434,TPEX:exright
20260326,9949,TPEX,EX_DIVIDEND,27.2,25.0,2.2,0.0,0.9191176470588236,TPEX:exright
20260327,1295,TPEX,EX_DIVIDEND,69.0,66.0,3.0,0.0,0.9565217391304348,TPEX:exright
20260327,1457,TWSE,EX_DIVIDEND,16.3,15.3,1.0,,0.9386503067484663,TWSE:exright
20260327,2324,TWSE,EX_DIVIDEND,31.5,30.4,1.1000000000000014,,0.965079365079365,TWSE:exright
20260327,2344,TWSE,EX_DIVIDEND,96.0,95.5,0.5,,0.9947916666666666,TWSE:exright
20260327,2387,TWSE,EX_DIVIDEND,44.6,40.6,4.0,,0.9103139013452914,TWSE:exright
20260327,2483,TWSE,EX_DIVIDEND,21.15,20.85,0.29999999999999716,,0.9858156028368795,TWSE:exright
20260327,2496,TWSE,EX_DIVIDEND,69.6,66.6,3.0,,0.9568965517241379,TWSE:exright
20260327,2941,TPEX,EX_DIVIDEND,41.75,39.47,2.28,0.0,0.9453892215568862,TPEX:exright
20260327,4583,TWSE,EX_DIVIDEND,679.0,669.0,10.0,,0.9852724594992637,TWSE:exright
20260327,5225,TWSE,EX_DIVIDEND,90.0,82.79,7.209999999999994,,0.919888888888889,TWSE:exright
20260327,5283,TWSE,EX_DIVIDEND,56.0,55.8,0.20000000000000284,,0.9964285714285713,TWSE:exright
20260327,6581,TWSE,EX_DIVIDEND,111.5,106.2,5.299999999999997,,0.9524663677130045,TWSE:exright
20260327,6651,TPEX,EX_DIVIDEND,90.9,86.9,4.0,0.0,0.9559955995599559,TPEX:exright
20260327,6697,TPEX,EX_DIVIDEND,45.05,42.45,2.6,0.0,0.9422863485016649,TPEX:exright
20260327,6752,TPEX,EX_DIVIDEND,118.5,114.0,4.5,0.0,0.9620253164556962,TPEX:exright
20260327,6918,TWSE,EX_DIVIDEND,85.0,80.0,5.0,,0.9411764705882353,TWSE:exright
20260327,6967,TPEX,EX_DIVIDEND,68.8,65.1,3.7,0.0,0.946220930232558,TPEX:exright
20260327,7631,TWSE,EX_DIVIDEND,116.5,115.75,0.75,,0.9935622317596566,TWSE:exright
20260327,7713,TPEX,EX_DIVIDEND,73.5,69.4,4.1,0.0,0.94421768707483,TPEX:exright
20260327,8401,TPEX,EX_DIVIDEND,26.6,25.4,1.2,0.0,0.9548872180451127,TPEX:exright
20260327,8926,TWSE,EX_RIGHT,46.6,44.92,,,0.9639484978540772,TWSE:exright
20260327,8930,TPEX,EX_DIVIDEND,32.1,29.9,2.2,0.0,0.9314641744548285,TPEX:exright
20260327,8938,TPEX,EX_DIVIDEND,65.3,61.3,4.0,0.0,0.9387442572741195,TPEX:exright
20260327,8996,TWSE,EX_DIVIDEND,845.0,840.44,4.559999999999945,,0.994603550295858,TWSE:exright
20260330,2910,TWSE,EX_DIVIDEND,23.05,22.01,1.0399999999999991,,0.9548806941431671,TWSE:exright
20260330,2937,TPEX,EX_DIVIDEND,48.65,46.55,2.1,0.0,0.9568345323741007,TPEX:exright
20260330,3158,TPEX,EX_DIVIDEND,99.5,93.0,6.5,0.0,0.9346733668341709,TPEX:exright
20260330,5222,TWSE,EX_DIVIDEND,135.0,132.5,2.5,,0.9814814814814815,TWSE:exright
20260331,1414,TWSE,EX_DIVIDEND,17.45,17.25,0.1999999999999993,,0.9885386819484241,TWSE:exright
20260331,4728,TPEX,EX_DIVIDEND,394.0,381.9,12.1,0.0,0.9692893401015228,TPEX:exright
20260331,7751,TPEX,EX_DIVIDEND,1500.0,1482.0,18.0,0.0,0.988,TPEX:exright
20260401,1445,TWSE,EX_DIVIDEND,13.4,12.9,0.5,,0.9626865671641791,TWSE:exright
20260401,2065,TPEX,EX_DIVIDEND,31.75,30.25,1.5,0.0,0.952755905511811,TPEX:exright
20260401,2611,TWSE,EX_DIVIDEND,14.35,13.83,0.5199999999999996,,0.9637630662020906,TWSE:exright
20260401,4760,TPEX,EX_DIVIDEND,196.5,192.0,4.5,0.0,0.9770992366412213,TPEX:exright
