strategy,code,name,rank,score,close,status,r7_exposure,risk_on
R7,5314,世紀*,1,0.9907552068046483,46.8,FORMAL_BUY,0.8,True
R7,8227,巨有科技,2,0.9865596156918732,217.5,FORMAL_BUY,0.8,True
R7,6179,亞通,3,0.9855861078823153,38.2,FORMAL_BUY,0.8,True
R7,6620,漢達,4,0.9747465059008869,126.5,FORMAL_BUY,0.8,True
R7,6538,倉和,5,0.9725649006203608,338.5,PREP_HARD_CANDIDATE,0.8,True
R7,6426,統新,6,0.9724755764501194,322.0,PREP_HARD_CANDIDATE,0.8,True
R7,3441,聯一光,7,0.9468415166547595,151.0,PREP_HARD_CANDIDATE,0.8,True
R7,2409,友達,8,0.9331635949269546,31.2,PREP_HARD_CANDIDATE,0.8,True
R7,6739,竹陞科技,9,0.9272910296689751,1320.0,PREP_HARD_CANDIDATE,0.8,True
R7,2801,彰銀,10,0.9268355963104684,26.85,PREP_HARD_CANDIDATE,0.8,True
R7,3693,營邦,11,0.9257253148496932,691.0,PREP_HARD_CANDIDATE,0.8,True
R7,5876,上海商銀,12,0.9253377045941862,47.9,PREP_HARD_CANDIDATE,0.8,True
R7,4908,前鼎,13,0.919727140913185,249.0,PREP_HARD_CANDIDATE,0.8,True
R7,2883,凱基金,14,0.9193666590550991,37.2,PREP_HARD_CANDIDATE,0.8,True
R7,2221,大甲,15,0.9181543450759365,96.5,PREP_HARD_CANDIDATE,0.8,True
R7,6218,豪勉,16,0.9168193607598154,46.15,PREP_HARD_CANDIDATE,0.8,True
R7,1815,富喬,17,0.9140952940127139,126.0,PREP_HARD_CANDIDATE,0.8,True
R7,3229,晟鈦,18,0.9135435872655653,61.4,PREP_HARD_CANDIDATE,0.8,True
R7,3406,玉晶光,19,0.912672564347673,1070.0,PREP_HARD_CANDIDATE,0.8,True
R7,3006,晶豪科,20,0.9099510649045017,312.0,PREP_HARD_CANDIDATE,0.8,True
R7,3055,蔚華科,21,0.9097119788597373,160.0,PREP_HARD_CANDIDATE,0.8,True
R7,3141,晶宏,22,0.90872503252962,92.1,PREP_HARD_CANDIDATE,0.8,True
R7,6224,聚鼎,23,0.9080928559891771,89.0,PREP_HARD_CANDIDATE,0.8,True
R7,8431,匯鑽科,24,0.9064345732888723,60.2,PREP_HARD_CANDIDATE,0.8,True
R7,2892,第一金,25,0.9057141963712401,38.0,PREP_HARD_CANDIDATE,0.8,True
R7,2305,全友,26,0.9045321921504514,38.5,PREP_HARD_CANDIDATE,0.8,True
R7,7711,永擎,27,0.9014230846334863,590.0,PREP_HARD_CANDIDATE,0.8,True
R7,5464,霖宏,28,0.9004063730002382,89.6,PREP_HARD_CANDIDATE,0.8,True
R7,6510,精測,29,0.8996439916960358,3670.0,PREP_HARD_CANDIDATE,0.8,True
R7,2617,台航,30,0.8962580466808909,33.45,PREP_HARD_CANDIDATE,0.8,True
R7,2033,佳大,31,0.8955011381449115,27.6,PREP_HARD_CANDIDATE,0.8,True
R7,6505,台塑化,32,0.8950027744313346,86.2,PREP_HARD_CANDIDATE,0.8,True
R7,7799,禾榮科,33,0.8905403400142395,425.0,PREP_HARD_CANDIDATE,0.8,True
R7,6416,瑞祺電通,34,0.8888575096883253,110.5,PREP_HARD_CANDIDATE,0.8,True
R7,2855,統一證,35,0.8885795053151868,51.7,PREP_HARD_CANDIDATE,0.8,True
R7,2887,台新新光金,36,0.8838477211058052,42.15,PREP_HARD_CANDIDATE,0.8,True
R7,5274,信驊,37,0.8829965090842246,18700.0,PREP_HARD_CANDIDATE,0.8,True
R7,3324,雙鴻,38,0.8803192354501347,1440.0,PREP_HARD_CANDIDATE,0.8,True
R7,5880,合庫金,39,0.8783470229502401,26.85,PREP_HARD_CANDIDATE,0.8,True
R7,3234,光環,40,0.8780416337502661,195.0,PREP_HARD_CANDIDATE,0.8,True
R7,2889,國票金,41,0.8776974552635863,16.55,PREP_HARD_CANDIDATE,0.8,True
R7,2455,全新,42,0.8750139606625855,532.0,PREP_HARD_CANDIDATE,0.8,True
R7,3167,大量,43,0.873803090459077,848.0,PREP_HARD_CANDIDATE,0.8,True
R7,1326,台化,44,0.8723024328609614,71.3,PREP_HARD_CANDIDATE,0.8,True
R7,3374,精材,45,0.86941541674921,488.0,PREP_HARD_CANDIDATE,0.8,True
R7,7792,安葆,46,0.8682180437025506,322.0,PREP_HARD_CANDIDATE,0.8,True
R7,4770,上品,47,0.8652653608009151,239.0,PREP_HARD_CANDIDATE,0.8,True
R7,2834,臺企銀,48,0.8645967058219531,17.9,PREP_HARD_CANDIDATE,0.8,True
R7,2880,華南金,49,0.8585615172773352,44.8,PREP_HARD_CANDIDATE,0.8,True
R7,6667,信紘科,50,0.857303712816029,251.0,PREP_HARD_CANDIDATE,0.8,True
R7,3219,倚強科,51,0.8564074856948568,88.3,PREP_HARD_CANDIDATE,0.8,True
R7,2890,永豐金,52,0.8543758621485895,42.9,PREP_HARD_CANDIDATE,0.8,True
R7,8111,立碁,53,0.8513231227021716,71.2,PREP_HARD_CANDIDATE,0.8,True
R7,2905,三商,54,0.850803970353312,18.35,PREP_HARD_CANDIDATE,0.8,True
R7,6530,創威,55,0.8500522782483861,96.2,PREP_HARD_CANDIDATE,0.8,True
R7,6173,信昌電,56,0.8487132460783944,295.0,PREP_HARD_CANDIDATE,0.8,True
R7,6640,均華,57,0.8461372160462607,1210.0,PREP_HARD_CANDIDATE,0.8,True
R7,2303,聯電,58,0.8430175560833807,142.5,PREP_HARD_CANDIDATE,0.8,True
R7,6830,汎銓,59,0.8387380567918475,591.0,PREP_HARD_CANDIDATE,0.8,True
R7,4961,天鈺,60,0.8365905296616084,172.5,PREP_HARD_CANDIDATE,0.8,True
R7,6949,沛爾生醫*-創,61,0.8360060202674626,58.8,PREP_HARD_CANDIDATE,0.8,True
R7,6226,光鼎,62,0.8357808833023543,32.6,PREP_HARD_CANDIDATE,0.8,True
R7,2897,王道銀行,63,0.8341878095991837,10.8,PREP_HARD_CANDIDATE,0.8,True
R7,2881,富邦金,64,0.8323572935500085,148.5,PREP_HARD_CANDIDATE,0.8,True
R7,2413,環科,65,0.8323373922875845,50.7,PREP_HARD_CANDIDATE,0.8,True
R7,2606,裕民,66,0.8302083473996498,78.4,PREP_HARD_CANDIDATE,0.8,True
R7,2520,冠德,67,0.828298873802641,36.75,PREP_HARD_CANDIDATE,0.8,True
R7,2030,彰源,68,0.8271942379415875,23.65,PREP_HARD_CANDIDATE,0.8,True
R7,1303,南亞,69,0.826588101758058,244.0,PREP_HARD_CANDIDATE,0.8,True
R7,3264,欣銓,70,0.82238015503872,240.0,PREP_HARD_CANDIDATE,0.8,True
R7,6532,瑞耘,71,0.8222342189783802,96.4,PREP_HARD_CANDIDATE,0.8,True
R7,4576,大銀微系統,72,0.8212023834566011,238.0,PREP_HARD_CANDIDATE,0.8,True
R7,2886,兆豐金,73,0.8204133081835651,49.9,PREP_HARD_CANDIDATE,0.8,True
R7,2845,遠東銀,74,0.8203816414793699,13.45,PREP_HARD_CANDIDATE,0.8,True
R7,6271,同欣電,75,0.8203599622816794,227.0,PREP_HARD_CANDIDATE,0.8,True
R7,6588,東典光電,76,0.8194515154809934,112.5,PREP_HARD_CANDIDATE,0.8,True
R7,2612,中航,77,0.8161017971021359,64.3,PREP_HARD_CANDIDATE,0.8,True
R7,6214,精誠,78,0.8152130690699062,187.5,PREP_HARD_CANDIDATE,0.8,True
R7,2357,華碩,79,0.8139458960286412,989.0,PREP_HARD_CANDIDATE,0.8,True
R7,3680,家登,80,0.8131276095602661,535.0,PREP_HARD_CANDIDATE,0.8,True
R7,7610,聯友金屬-創,81,0.8129496105285379,2035.0,PREP_HARD_CANDIDATE,0.8,True
R7,3094,聯傑,82,0.8126104322687719,41.9,PREP_HARD_CANDIDATE,0.8,True
R7,6290,良維,83,0.8125116102829563,275.0,PREP_HARD_CANDIDATE,0.8,True
R7,6141,柏承,84,0.812012047973313,55.4,PREP_HARD_CANDIDATE,0.8,True
R7,1102,亞泥,85,0.8118335151636923,35.45,PREP_HARD_CANDIDATE,0.8,True
R7,2201,裕隆,86,0.8113572514136377,30.2,PREP_HARD_CANDIDATE,0.8,True
R7,6531,愛普*,87,0.8097609896037531,1030.0,PREP_HARD_CANDIDATE,0.8,True
R7,3045,台灣大,88,0.8087992054968516,120.0,PREP_HARD_CANDIDATE,0.8,True
R7,3017,奇鋐,89,0.8055102281805433,3460.0,PREP_HARD_CANDIDATE,0.8,True
R7,2812,台中銀,90,0.805200531474638,19.1,PREP_HARD_CANDIDATE,0.8,True
R7,1709,和益,91,0.804720074972523,35.3,PREP_HARD_CANDIDATE,0.8,True
R7,2882,國泰金,92,0.7998929339347376,110.5,PREP_HARD_CANDIDATE,0.8,True
R7,6937,天虹,93,0.7993771575685766,296.0,PREP_HARD_CANDIDATE,0.8,True
R7,6168,宏齊,94,0.7972131405541353,29.8,PREP_HARD_CANDIDATE,0.8,True
R7,2412,中華電,95,0.7952521998833191,139.5,PREP_HARD_CANDIDATE,0.8,True
R7,2885,元大金,96,0.793814733146311,69.7,PREP_HARD_CANDIDATE,0.8,True
R7,2820,華票,97,0.7937528434776965,17.05,PREP_HARD_CANDIDATE,0.8,True
R7,6015,宏遠證,98,0.7921782266449687,17.15,PREP_HARD_CANDIDATE,0.8,True
R7,2421,建準,99,0.7891779739761892,165.0,PREP_HARD_CANDIDATE,0.8,True
R7,1301,台塑,100,0.7891176028781771,65.6,PREP_HARD_CANDIDATE,0.8,True
R7,1560,中砂,101,0.7872055620718011,733.0,PREP_HARD_CANDIDATE,0.8,True
R7,7788,松川精密,102,0.7840786182228648,308.0,PREP_HARD_CANDIDATE,0.8,True
